Czech	Czech	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɟ	ʥ	1.0
ɛ_r	ɔ_ʀ	1.0
ɛ_l	l	1.0
ɛ_#>	ɔ_#>	1.0
z̥	z̥	1.0
z	z	1.0
v_j	ɥ	1.0
v_iː	w_ɪ	1.0
t_o	t_ɔ	1.0
s	s	1.0
r̝̊	ʃ	1.0
r̝	ʀʲ	1.0
r	ʀ	1.0
ou̯	u	1.0
n_#>	ɲ_#>	1.0
n	n	1.0
m̩	ɔ_m	1.0
m_ɲ	mʲ	1.0
l̩	-	1.0
l_a	w_o	1.0
f	-	1.0
d̥	d̥	1.0
c	ʨ	1.0
b̥	b̥	1.0
aː	a	1.0
a_v	ɔ_w	1.0
a	a	1.0
<#	<#_w	1.0
#>	ɔ_#>	1.0
ɦ	ɦ	0.895
o	ɔ	0.838
x	x	0.833
k	k	0.821
d	d	0.818
u	u	0.8
j	j	0.8
m	m	0.765
b	b	0.75
p	p	0.667
v	w	0.632
uː	ɔ	0.571
l	w	0.529
iː	ɪ	0.528
t	ʨ	0.515
t	t	0.485
l	l	0.471
ɪ	i	0.467
ɛː	ɛ	0.429
uː	o	0.429
ɛ	ɛ	0.426
ɪ	ɪ	0.4
v	ɥ	0.368
r̩	ʀ	0.333
r̩	ɔ_ʀ	0.333
r̩	e_ʀ	0.333
p	pʲ	0.333
ɛː	ɔ	0.286
ɛː	e	0.286
ɛ	e	0.259
iː	i	0.25
b	bʲ	0.25
m	mʲ	0.235
u	-	0.2
j	-	0.2
d	ʥ	0.182
x	xʲ	0.167
iː	e	0.167
o	o	0.162
ɪ	u	0.133
ɛ	ɔ	0.111
k	kʲ	0.107
ɦ	x	0.105
ɛ	ɪ	0.093
ɛ	a	0.074
k	-	0.071
iː	-	0.056
