Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɛ_d	ˈeː	1.0
ˈɔː	ˈʊː	1.0
ˈøʏ̯	ˈœi̯	1.0
ˈu	-	1.0
ˈoʊ̯	-	1.0
ˈo_n	n	1.0
ˈa_ɫ	ˈaː	1.0
ʋ	β	1.0
ʀ_ˈoː	ʀ_ˈɒː	1.0
ʀ	ʀ	1.0
ɪ	-	1.0
ɣ̊	ɣ̊	1.0
ɣ	-	1.0
ə_f	ə_v̥	1.0
ə	ə	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
v	v	1.0
t	t	1.0
p	p	1.0
m_ˈɔ	m	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
h	ɦ	1.0
f_ʀ	v_ʀ	1.0
f_ə	p_ə	1.0
e	i	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ə	j_ə	1.0
b	b	1.0
#>	ɣ̊_#>	1.0
d	d	0.938
k	k	0.923
ʦ	t	0.867
j	ɣ	0.867
f	v	0.833
s	t	0.789
n	n	0.773
ɡ̊	d̥	0.727
ˈøː	ˈøː	0.667
ˈo	ˈʊː	0.667
x	x	0.625
ˈɔ	ˈɔ	0.6
ˈeɪ̯	ˈɛː	0.571
ʃ	s	0.571
ɫ	l	0.571
ˈeː	ˈeː	0.545
ˈɔʊ̯	ˈɔu̯	0.5
ˈɔʊ̯	-	0.5
ˈuː	ˈuː	0.467
ɐ	ʀ	0.459
ˈœ	ˈœ	0.444
ˈa	ˈaː	0.44
ˈyː	ˈyː	0.429
ˈiː	ˈiː	0.429
ˈeɪ̯	ˈɛːi̯	0.429
ŋ	ŋ	0.429
ŋ	n	0.429
ˈaː	ˈaː	0.417
ˈoː	ˈʊː	0.409
ˈɛː	ˈeː	0.4
ˈuː	ˈu	0.4
ɐ	ə_ʀ	0.378
x	k	0.375
ˈɪ	ˈɪː	0.364
ˈiː	ˈi	0.357
ɕ	ɣ̊	0.35
ɕ	k	0.35
ˈœ	-	0.333
ˈøː	-	0.333
ˈo	-	0.333
ˈaː	ˈɑ	0.333
ˈeː	ˈɛː	0.318
ɕ	x	0.3
ˈɛ	ˈæː	0.294
ˈɛ	ˈeː	0.294
ˈyː	ˈøː	0.286
ˈyː	-	0.286
ˈa	ˈɑ	0.28
ˈɪ	ˈi	0.273
ɡ̊	k	0.273
ˈe	ˈɪː	0.263
ˈaː	ˈɒː	0.25
ʃ	ʃ	0.25
ˈɛ	-	0.235
ˈoː	ˈɒː	0.227
ˈœ	ˈʏː	0.222
ˈiː	-	0.214
ˈe	ˈɛ	0.211
ˈe	-	0.211
s	s	0.211
ˈɛː	ˈeː_ʀ	0.2
ˈɛː	ʀ	0.2
ˈɛː	-	0.2
ˈɔ	ˈɔː	0.2
ˈɔ	ˈoː	0.2
ˈa	ˈɑː	0.2
ɫ	l_ə	0.19
ˈɪ	ˈɪ	0.182
ˈɪ	-	0.182
ˈoː	ˈoː	0.182
ʃ	z	0.179
ˈɛ	ˈæ	0.176
f	p	0.167
ɐ	ʀ_ə	0.162
ˈe	ˈɛː	0.158
ˈe	ˈeː	0.158
ŋ	n_d	0.143
ˈeː	ˈi	0.136
ˈuː	ˈɔu̯	0.133
ʦ	ʀ_t	0.133
j	j	0.133
ɫ	ə_l	0.095
ɫ	j	0.095
ˈoː	ˈɔː	0.091
ˈoː	-	0.091
n	ʀ_ə	0.091
ˈa	ˈɪː	0.08
k	-	0.077
d	j_ə	0.062
