Jin	Sichuanese	probability
⁵³	⁵³	1.0
⁴⁵	²¹³	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʔ_²	²¹	1.0
ʐ	z	1.0
ɥ	ɥ	1.0
ə̃	ə	1.0
ə_ɻ	ɚ	1.0
ɕ	ɕ	1.0
ɒ̃	a_ŋ	1.0
²	²¹	1.0
z̩	z̩	1.0
ỹ	y	1.0
y	y	1.0
x	x	1.0
w_ə	u	1.0
w_¹¹	w_²¹	1.0
w_a_ʔ	o	1.0
w	w	1.0
v	v	1.0
ũ	o	1.0
u	u	1.0
tʰ͡x	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
m	m	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j_⁵³	²¹	1.0
j	j	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
a_ʔ	ɛ	1.0
a	a	1.0
<#_ɣ	<#_ŋ	1.0
<#_v	<#_w	1.0
<#_l	<#_n	1.0
æ̃	a_n	0.833
ŋ	n	0.692
ɤ	o	0.667
ə	ə	0.643
ə_ʔ	ɛ	0.6
n	nʲ	0.6
¹¹	⁵⁵	0.541
¹¹	²¹	0.459
ə_ʔ	e	0.4
n	n_a	0.4
e	ɛ_n	0.375
e	a	0.375
ɤ	ɛ	0.333
ŋ	ŋ	0.308
e	e	0.25
ə	u	0.214
æ̃	n	0.167
ə	-	0.143
