Polish	Czech	probability
ˈɛ_ɲ	ˈɛ	1.0
ˈɛ_w̃	ˈa	1.0
ˈɛ_r	ˈr̩	1.0
ˈi	ˈɪ	1.0
ˈa_r	ˈr̩	1.0
ʦ	ʦ	1.0
ʑ	z	1.0
ɲ_#>	n_#>	1.0
ɡ	ɦ	1.0
ɛ_ɲ	ɛ	1.0
ɛ_m	m̩	1.0
ɕ	s	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
w_#>	l_#>	1.0
w	l	1.0
v	v	1.0
t_f	t_v	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j_ˈa	ˈiː	1.0
j_ɛ	ɛ	1.0
i	iː	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	a	1.0
k	k	0.885
ɨ	iː	0.882
ɛ	ɛ	0.769
ˈɛ	ˈɛ	0.76
ʨ	t	0.737
ɔ	o	0.733
ʂ	ʃ	0.714
ʐ	r̝	0.667
ʈ͡ʂ	ʧ	0.667
ˈɨ	ˈɪ	0.6
ʥ	d	0.6
ɲ	ɲ	0.6
j	j	0.579
ˈɔ	ˈo	0.515
ˈa	ˈɛ	0.429
ˈɨ	ˈiː	0.4
ʥ	ɟ	0.4
ɲ	n	0.4
ˈu	ˈuː	0.333
ʐ	ʒ	0.333
ʈ͡ʂ	c	0.333
j	-	0.316
ʂ	r̝̊	0.286
ʨ	c	0.263
ɛ	ˈɛ	0.231
ˈa	ˈaː	0.214
ˈa	ˈa	0.214
ˈu	ˈu	0.167
ˈu	ˈou̯	0.167
ˈu	ˈo	0.167
ˈu	ˈaː	0.167
ˈɛ	ˈɛː	0.16
ˈa	ɛ	0.143
ɔ	ˈo	0.133
ɔ	-	0.133
ˈɔ	ˈa	0.121
ɨ	ɪ	0.118
k	x	0.115
j	ɛ	0.105
ˈɔ	ˈuː	0.091
ˈɔ	ˈu	0.091
ˈɛ	-	0.08
ˈɔ	ˈaː	0.061
ˈɔ	ɛ	0.061
ˈɔ	-	0.061
