Northern Low Saxon	Yiddish	probability
aɪ̯	-	1.0
b	b	0.702
b	f	0.271
d	t	0.449
d	s	0.254
d	d	0.222
f	f	0.793
f	b	0.083
f	-	0.07
f	l_b	0.054
h	h	1.0
i	ɪ	1.0
k	k	1.0
kʰ	k	1.0
l	l	0.955
m	m	0.684
m	b	0.17
m	n	0.055
n	n	0.974
p	f	1.0
r	ʀ	1.0
s	z	0.567
s	ʃ	0.178
s	s	0.129
s	k_s	0.066
s	d_z	0.059
t	t	0.834
t	ʦ	0.166
tʰ	ʦ	1.0
v	v	0.989
x	χ	0.578
x	ɡ	0.422
z	z	1.0
ç	χ	0.367
ç	ɡ	0.321
ç	k	0.312
ŋ	ŋ	0.753
ŋ	ɡ	0.247
ɐ	ə	0.46
ɐ	ʀ	0.395
ɐ	d_ə	0.058
ɐ	ɡ_ə	0.058
ə	ə	1.0
ɡ	ɡ	0.466
ɡ	χ	0.359
ɡ	k	0.176
ɪ	ɪ	0.748
ɪ	ə	0.252
ʃ	ʃ	0.971
ʒ	j	0.84
ʒ	-	0.16
ˈa	ˈa	0.911
ˈa	ˈɔ	0.071
ˈaɪ̯	ˈɪ	0.397
ˈaɪ̯	ˈɛɪ̯	0.352
ˈaɪ̯	ˈɛ	0.232
ˈaʊ̯	ˈɔɪ̯	0.452
ˈaʊ̯	ˈʊ	0.355
ˈaʊ̯	ˈɔ	0.136
ˈaʊ̯	ˈa	0.058
ˈaː	ˈa	0.796
ˈaː	ʀ	0.204
ˈeɪ̯	ˈɛ	0.865
ˈeɪ̯	ˈɛɪ̯	0.135
ˈeː	ˈɛ	0.542
ˈeː	ˈɔ	0.201
ˈeː	ˈaɪ̯	0.186
ˈeː	ˈɪ	0.07
ˈiː	ˈaɪ̯	0.769
ˈiː	ˈɪ	0.231
ˈoː	ˈɔ	0.609
ˈoː	ˈa	0.113
ˈoː	ˈʊ	0.112
ˈoː	ˈɛɪ̯	0.08
ˈoː	ˈɔɪ̯	0.075
ˈuː	ˈɔɪ̯	0.898
ˈuː	ˈʊ	0.102
ˈyː	ˈaɪ̯	1.0
ˈø	ˈɪ	0.901
ˈø	ˈɛ	0.099
ˈøː	ˈʊ	0.299
ˈøː	ˈɪ	0.289
ˈøː	ˈɔ	0.202
ˈøː	ˈa	0.124
ˈøː	ˈi	0.086
ˈœ	ˈaɪ̯	0.5
ˈœ	ˈɛ	0.5
ˈœː	ˈɛ	1.0
ˈɔ	ˈɔ	0.495
ˈɔ	ˈʊ	0.33
ˈɔ	ˈa	0.114
ˈɔ	ˈɔɪ̯	0.062
ˈɔʏ̯	ˈɪ	0.37
ˈɔʏ̯	ˈɛɪ̯	0.215
ˈɔʏ̯	ˈɛ	0.196
ˈɔʏ̯	ˈɔɪ̯	0.115
ˈɔʏ̯	ˈʊ	0.104
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɔ	0.488
ˈɛ	ˈɛ	0.421
ˈɛ	ˈɪ	0.091
ˈɛɪ̯	ˈɛ	0.808
ˈɛɪ̯	ˈɛɪ̯	0.192
ˈɛː	ˈɪ	1.0
ˈɪ	ˈɪ	0.78
ˈɪ	ˈa	0.067
ˈɪ	ˈɛ	0.057
ˈʊ	ˈʊ	0.817
ˈʊ	ˈɔ	0.124
ˈʊ	ˈɔɪ̯	0.058
ˈʏ	ˈɪ	0.421
ˈʏ	ˈaɪ̯	0.223
ˈʏ	ˈɛ	0.161
ˈʏ	ˈɔ	0.146
