Lower Sorbian	Polish	probability
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v_ˈɛ	<#_ˈɔ	1.0
<#_vʲ	<#_v	1.0
<#_ɕ	<#_ʨ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʐ	<#_ʐ	1.0
<#_ʑ	<#_ʥ	1.0
<#_ʦ	<#_ʈ͡ʂ	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	a_#>	1.0
b	b	1.0
bʲ	b_j	1.0
d	d	1.0
k	k	1.0
k_#>	k_#>	1.0
kʲ_i	k_i	1.0
l	l	1.0
l_#>	l_#>	1.0
mʲ	m_j	1.0
n	n	1.0
p	p	1.0
p_#>	p_#>	1.0
r	r	1.0
rʲ	ʐ	1.0
s_#>	s_#>	1.0
t	t	1.0
t_#>	t_#>	1.0
vʲ	v_j	1.0
w	w	1.0
w_#>	w_#>	1.0
w_ˈɔ	w_ˈɔ	1.0
x	x	1.0
ɕ_#>	ʨ_#>	1.0
ɛ	ɛ	1.0
ɡ	ɡ	1.0
ɨ	ɨ_#>	1.0
ɨ_m	ɛ_m	1.0
ʑ	ʥ	1.0
ʦ	ʦ	1.0
ʦ_#>	ʦ_#>	1.0
ʨ	ʨ	1.0
ˈa_#>	ˈa_#>	1.0
ˈe	ˈɛ	1.0
ˈi	ˈi	1.0
ˈɛ_rʲ	ˈɔ_ʐ	1.0
ˈɨ	ˈɨ	1.0
ˈa	ˈa	0.571
v	-	0.2
v	f	0.2
ˈɛ	ɔ	0.2
ˈɛ	ˈa	0.2
ˈɪ	ˈa	0.312
ˈɪ	ˈɛ	0.312
ɲ	ɲ	0.333
ˈɛ	ˈɔ	0.3
ˈɛ	ˈɛ	0.3
e	ɛ_ɲ	0.4
pʲ	-	0.4
z	ʑ_ˈɔ	0.4
ɔ	ɛ_#>	0.154
ʂ	r	0.4
ˈu	ˈu	0.4
<#	<#_v	0.5
<#	<#_p	0.5
<#_s	<#_ɕ	0.375
<#_s	<#_s	0.625
<#_z	<#_z	0.5
<#_z	<#_ʑ	0.5
s	s	0.455
s	ɕ	0.545
ɕ	ɲ_ʨ	0.5
ɕ	ʂ	0.5
ˈɔ	ˈɔ	0.545
e	ɛ	0.6
pʲ	p_j	0.6
v	v	0.6
z	z	0.6
ɔ	ɔ_#>	0.846
ʂ	ʂ	0.6
ˈu	ˈɔ	0.6
ˈɔ	ˈɛ	0.136
ɲ	ɲ_#>	0.667
ˈɔ	ˈu	0.318
ˈɪ	j_ˈa	0.188
ˈɪ	ˈɛ_w̃	0.188
ˈa	ˈɛ	0.429
