Kashubian	Kashubian	probability
ˈ	-	1.0
ʤ	ɦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʉ	-	1.0
ʃ	ʃ	1.0
ɾ	r̝	1.0
ɲ	n	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ɞ_ˈ	aː	1.0
ɔ	o	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w_#>	l_#>	1.0
v_j	v	1.0
v	v	1.0
u̯ɛ	o	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	#>	1.0
n	n	1.0
m_ə	m̩	1.0
m_j	m	1.0
m	m	1.0
l	l	1.0
j_ɞ	iː	1.0
j_a	iː	1.0
i_ˈ	ɪ	1.0
i	iː	1.0
f_j	v	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
ã_ˈ	a	1.0
<#_ʦ	<#_ʦ	1.0
<#_u̯ɛ	<#_o	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
k	k	0.913
p	p	0.818
a	a	0.811
ə	ɪ	0.8
ɛ	ɛ	0.781
j	j	0.75
w	l	0.72
ʦ	t	0.714
ʣ	d	0.667
r̝	r̝	0.667
r	r	0.667
e	ɛ	0.636
a_ˈ	ɛ	0.625
õ	u	0.6
ɔ_ˈ	ɛ	0.5
ɔ_ˈ	a	0.5
ʧ	ʧ	0.444
ã	ɛ	0.444
õ	-	0.4
ɞ	ɛ	0.375
ɞ	a	0.375
a_ˈ	aː	0.375
ʧ	c	0.333
ʣ	ɟ	0.333
r̝	r̝̊	0.333
ã	u	0.333
w	-	0.28
u	ɛ	0.267
u	uː	0.267
u	-	0.267
ɞ	l̩	0.25
j	ɲ	0.25
ʧ	k	0.222
ã	-	0.222
ə	iː	0.2
u	o	0.2
ʦ	ʦ	0.19
p	-	0.182
e	ɛː	0.182
e	-	0.182
ɛ	-	0.156
r	r̩	0.143
ʦ	ɛ_t	0.095
r	r_aː	0.095
r	aː	0.095
k	-	0.087
a	-	0.081
ɛ	r̩	0.062
a	ɛ	0.054
a	r	0.054
