Russian	Polish	probability
ˈ	-	1.0
ʨ_#>	ʦ_#>	1.0
ʨ	ʈ͡ʂ	1.0
ʦ_ə	ʦ_ɛ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ɵ	-	1.0
ɫ_ɨ	a_w	1.0
ɫ_a	w_a	1.0
ɫ_#>	w_#>	1.0
ɪ_lʲ	ɛ_l	1.0
ɪ_j	i	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
æ	ɲ	1.0
z̥	z̥	1.0
zʲ	ʑ	1.0
z	z	1.0
x_o	x	1.0
x	x	1.0
v_ə	v_a	1.0
v	v	1.0
u_ˈ	u	1.0
t	t	1.0
sʲ	ɕ	1.0
s_#>	s_#>	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
o_ˈ	ɛ	1.0
nʲ	ɲ	1.0
n_#>	n_#>	1.0
n	n	1.0
m	m	1.0
lʲ_e	l_a	1.0
lʲ_#>	l_#>	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
j_#>	#>	1.0
j	ɨ	1.0
e_#>	ɛ_#>	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
<#_ɐ	<#_ɔ	1.0
<#_tʲ	<#_ʨ	1.0
<#_r	<#_r	1.0
<#_j	<#_j	1.0
a	a	0.903
ɫ	w	0.895
tʲ	ʨ	0.895
s	s	0.87
ə_#>	ɔ_#>	0.846
ɨ	ɨ	0.815
rʲ	ʐ	0.8
dʲ	ʥ	0.75
e	ɛ	0.696
pʲ	p	0.667
i	i	0.636
ʦ	ʦ	0.6
u	ɔ	0.6
<#	<#_j	0.6
o	ɔ	0.543
ʊ	u	0.5
ʊ	-	0.5
ɵ_ˈ	ɛ	0.5
ɵ_ˈ	a	0.5
ɐ	ɔ	0.5
ɐ	-	0.5
mʲ	m_j	0.5
mʲ	m	0.5
ɪ	ɛ	0.423
ʦ	k	0.4
u	ɔ_w̃	0.4
<#	<#_s	0.4
ə	a	0.389
vʲ	v_j	0.385
vʲ	v	0.385
i	-	0.364
ɪ	-	0.346
pʲ	p_j	0.333
o	u	0.286
dʲ	-	0.25
vʲ	f	0.231
ə	ɛ	0.222
ə	-	0.222
rʲ	ʐ̊	0.2
o	-	0.171
ə	ɔ	0.167
ə_#>	#>	0.154
s	ɕ	0.13
e	j_a	0.13
ɨ	ɛ	0.111
ɫ	l	0.105
tʲ	-	0.105
a	ɛ_w̃	0.097
e	j	0.087
e	-	0.087
ɪ	ɛ_ɲ	0.077
ɪ	j_a	0.077
ɪ	j	0.077
ɨ	-	0.074
