Sassarese	Bellunese	probability
ˈɛ_rː	ˈɛ_r	1.0
ˈɛ_j	ˈɛ_r	1.0
ˈo_r	ˈo_l	1.0
ˈi_#>	e_r_#>	1.0
ˈe_#>	ˈe_r_#>	1.0
ˈa_#>	ˈa_r_#>	1.0
ˈa	ˈa	1.0
ʧː	ʧ	1.0
ʧ	ʧ	1.0
ʦː	θ	1.0
ʤː	-	1.0
ʤ	ð	1.0
ʒ	-	1.0
ʎː	j	1.0
ʃː	s	1.0
ɮ	-	1.0
ɬ_t	t	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
w	w	1.0
v	v	1.0
u_r	o_l	1.0
u_d	o_d	1.0
u_#>	#>	1.0
tː	t	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r_u	r_o	1.0
pː	-	1.0
p	p	1.0
nː	n	1.0
n_u_#>	ŋ_#>	1.0
n_i_#>	ŋ_#>	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
i_m	e_m	1.0
i_d	ˈe_d	1.0
i_#>	#>	1.0
f	f	1.0
a_r	r	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
#>	r_#>	1.0
a	a	0.905
b	b	0.882
m	m	0.867
d	d	0.833
β	v	0.75
r	r	0.743
ˈɛ	ˈe	0.739
ˈi	ˈi	0.708
ˈo	ˈo	0.692
ʦ	θ	0.692
u	o	0.689
n	n	0.667
mː	m	0.667
ˈɔ	ˈo	0.621
ˈu	ˈu	0.615
ˈe	ˈɛ	0.571
ɬ	s	0.571
i	e	0.571
xː	s_k	0.5
xː	k	0.5
j	j	0.5
j	-	0.5
bː	v	0.5
bː	-	0.5
<#_i	<#_s	0.5
<#_i	<#	0.5
ɬ	r	0.429
dː	l	0.412
ˈu	ˈo	0.385
ˈɔ	ˈɔ	0.379
ɲː	ŋ_ð	0.333
ɲː	ŋ	0.333
ɲː	n	0.333
n	ŋ	0.333
mː	-	0.333
ʦ	z	0.308
ˈe	ˈe	0.286
ˈɛ	ˈɛ	0.261
β	-	0.25
dː	t	0.235
i	i	0.214
ˈi	-	0.208
dː	d	0.176
dː	-	0.176
d	-	0.167
ˈo	ˈɔ	0.154
ˈo	ˈu	0.154
ˈe	j_ˈe	0.143
r	l	0.143
m	-	0.133
b	-	0.118
r	o	0.114
u	s	0.089
ˈi	i	0.083
i	ˈɛ	0.071
i	ˈe	0.071
i	-	0.071
a	e	0.063
