Yiddish	German	probability
b	b	0.904
b	p	0.093
d	d	0.678
d	t	0.318
d_z	s	1.0
f	f	0.979
h	h	1.0
j	j	1.0
k	kʰ	0.443
k	k	0.431
k	ç	0.121
l	l	1.0
m	m	0.918
n	n	0.977
p	p͡f	0.683
p	p	0.223
s	s	0.765
s	s_ə	0.216
t	t	0.744
t	tʰ	0.241
v	v	0.945
v	f	0.054
z	z	0.759
z	s	0.236
ŋ	ŋ	0.928
ŋ	ə	0.067
ə	ɐ	0.62
ə	ə	0.237
ə	-	0.106
ɛ	-	0.349
ɛ	ɐ	0.262
ɛ	ə	0.198
ɡ	ɡ	0.587
ɡ	-	0.278
ɡ	k	0.095
ɪ	ɪ	1.0
ʀ	ʁ	0.377
ʀ	-	0.34
ʀ	ɐ	0.248
ʁ	ʁ	0.326
ʁ	-	0.161
ʃ	ʃ	1.0
ʎ	l	0.495
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈa	0.907
ˈa	ˈɛ	0.059
ˈaɪ̯	ˈaɪ̯	0.653
ˈaɪ̯	ˈɔʏ̯	0.332
ˈi	ˈyː	0.245
ˈɔ	ˈaː	0.497
ˈɔ	ˈɔ	0.345
ˈɔ	ˈa	0.088
ˈɔɪ̯	ˈaʊ̯	0.573
ˈɔɪ̯	ˈoː	0.347
ˈɛ	ˈɛ	0.523
ˈɛ	ˈeː	0.244
ˈɛ	ˈøː	0.07
ˈɛ	ˈœ	0.07
ˈɛɪ̯	ˈaɪ̯	0.817
ˈɛɪ̯	ˈeː	0.094
ˈɛɪ̯	ˈøː	0.072
ˈɪ	ˈɪ	0.547
ˈɪ	ˈiː	0.241
ˈɪ	ˈyː	0.1
ˈɪ	ˈʏ	0.09
ˈʊ	ˈuː	0.459
ˈʊ	ˈʊ	0.349
ˈʊ	ˈɔ	0.145
χ	ç	0.559
χ	x	0.434
