East Low German	Upper Franconian	probability
ˈɔʏ̯	ˈiː	1.0
ˈœː	-	1.0
ˈœ	ˈɛ	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː	ˈoː	1.0
ˈeː	ˈeː	1.0
ˈae̯_n_#>	ˈaː_#>	1.0
ʃ	ʃ	1.0
ɾ	ɾ	1.0
ɪ	i	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ̊	1.0
ŋ	ŋ	1.0
ç_#>	#>	1.0
z	s	1.0
x	x	1.0
w	v	1.0
v	v	1.0
tʰ	ʦ	1.0
t_æ	d̥_ɐ	1.0
t_n	z̥_n	1.0
t_#>	ʦ_#>	1.0
r	r	1.0
p_#>	f_#>	1.0
p	b̥͡v̥	1.0
n_ʃ	n_ʃ	1.0
m	m	1.0
l_t	l_d̥	1.0
l	l	1.0
kʰ	ɡ̊	1.0
k_n	ɡ̊_n	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
<#_n	<#_n	1.0
æ	ɐ	0.943
n	n	0.922
ˈɒː	ˈoː	0.857
ˈa	ˈɒ	0.826
ˈʊ	ˈʊ	0.769
s	s	0.75
ˈaː	ɐ	0.714
ˈiː	ˈaɪ̯	0.706
ˈaʊ̯	ˈuː	0.682
ˈuː	ˈaʊ̯	0.667
k	x	0.667
j	ɡ̊	0.667
ˈɪ	ˈɪ	0.654
t	d̥	0.59
ˈɛ	ˈɛ	0.583
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ˈɔ	ˈɔ	0.5
k_#>	ɡ̊_#>	0.5
k_#>	#>	0.5
ˈae̯	ˈiː	0.474
ˈʏ	ˈɪ	0.455
ˈae̯	ˈaː	0.421
ç	ç	0.357
k	ç	0.333
j	j	0.333
t	s	0.308
ˈɔ	ˈʊ	0.3
ˈaː	ˈoː	0.286
ˈɛ	ˈeː	0.25
ˈʊ	ˈɔ	0.231
ˈaʊ̯	ˈaː	0.227
ç	ɡ̊	0.214
ˈɔ	ˈɒ	0.2
ˈuː	ˈɔ	0.2
ˈɪ	ˈiː	0.192
ˈʏ	ˈʊ	0.182
ˈʏ	ˈɛ	0.182
ˈʏ	ˈaɪ̯	0.182
ˈiː	ˈiː	0.176
ˈɛ	ˈɪ	0.167
ˈɒː	ˈɒ	0.143
ç	ɡ̊_n	0.143
ç	ç_d̥	0.143
ç	x	0.143
ˈuː	ˈuː	0.133
s	ʃ	0.125
s	ɡ̊_s	0.125
ˈiː	ˈiː_ɐ	0.118
ˈae̯	ˈaɪ̯	0.105
t	ʦ	0.103
ˈaʊ̯	ˈɒ	0.091
ˈa	ˈɔ	0.087
ˈa	-	0.087
ˈɪ	ˈaː	0.077
ˈɪ	ˈaɪ̯	0.077
æ	ˈɘ	0.057
