Macedonian	Upper Sorbian	probability
ˈ_ɛ	ʨ	1.0
ˈ	-	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_#>	w_#>	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ɛ_#>	ɔ_#>	1.0
z	z	1.0
v_a	w_a	1.0
t_#>	t_ɪ_#>	1.0
s_#>	s_#>	1.0
s	s	1.0
r_a	ʀ_ɔ	1.0
o_ˈ	o	1.0
o_k	kʲ_i	1.0
l	l	1.0
k_o	k_o	1.0
k_#>	#>	1.0
d̥	d̥	1.0
b̥	b̥	1.0
a_r	ʀ_ɪ	1.0
<#_v	<#_w	1.0
<#_r	<#_ʀ	1.0
<#_d	<#_ʥ	1.0
k	k	0.905
a	a	0.878
o_#>	ɔ_#>	0.857
o	ɔ	0.846
v	ɥ	0.769
ɛ_ˈ	e	0.75
u	u	0.75
j	j	0.75
d	d	0.737
n	n	0.727
m	m	0.714
b	b	0.7
#>	ɪ_#>	0.667
ɫ	w	0.64
p	p	0.636
<#_t	<#_ʨ	0.625
<#	<#_w	0.615
ʧ	ʧ	0.6
ʦ	ʦ	0.6
t	t	0.591
ɛ	ɛ	0.583
i	i	0.571
r	ʀ	0.529
a_ˈ	u	0.5
ɔ	ɔ	0.444
r̩	ɔ_ʀ	0.429
t	ʨ	0.409
ʧ	-	0.4
ʦ	-	0.4
<#_t	<#_t	0.375
p	pʲ	0.364
r	ʀʲ	0.353
ɔ	-	0.333
i	ɪ	0.333
f	x	0.333
f	w_ɪ	0.333
f	-	0.333
b	bʲ	0.3
r̩	e_ʀ	0.286
r̩	-	0.286
m	mʲ	0.286
a_ˈ	ɔ	0.286
ɫ	l	0.28
n	ɲ	0.273
u	ɔ	0.25
j	-	0.25
v	x	0.231
<#	<#_x	0.231
ɛ	ɔ	0.222
ɔ	o	0.222
a_ˈ	o	0.214
#>	ʨ_#>	0.167
#>	ʦ_#>	0.167
d	-	0.158
<#	<#_j	0.154
o_#>	#>	0.143
ɛ	-	0.139
ɛ_ˈ	ɪ	0.125
ɛ_ˈ	a	0.125
a	-	0.122
r	ʃ	0.118
d	ʥ	0.105
k	x	0.095
i	-	0.095
ɫ	d_w	0.08
o	w	0.077
o	-	0.077
ɛ	a	0.056
