Limburgish	German	probability
<#_b	<#_b	1.0
<#_j	<#_j	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p͡f	1.0
<#_s	<#_ʃ	1.0
<#_t	<#_ʦ	1.0
<#_v	<#_f	1.0
<#_z	<#_z	1.0
<#_ɣ	<#_ɡ	1.0
<#_ɦ	<#_h	1.0
<#_ʀ	<#_ʁ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ˈeː	<#_ˈɛ	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_β	<#_v	1.0
d_ə	d	1.0
f_#>	f_#>	1.0
j_#>	ə	1.0
k_#>	ç_#>	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ə	l	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
p	p͡f	1.0
p_#>	f_#>	1.0
p_ə	f_n	1.0
t_#>	s_#>	1.0
t_ə	s	1.0
v_ə	b_n	1.0
v̥_#>	b̥	1.0
z_β	<#_ʃ_v	1.0
ŋ_#>	ŋ_ə_#>	1.0
ŋ_ə	ŋ	1.0
ŋ_ɡ̊	ŋ_#>	1.0
ə_#>	n_#>	1.0
ə_k	ç	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɣ_ə	ɡ	1.0
ɪ	ɪ	1.0
ʀ_#>	ɐ_#>	1.0
ʀ_ˈu	ʁ_ˈoː	1.0
ˈaː_j	ˈa_l	1.0
ˈeː_v	ˈeː_b	1.0
ˈi_#>	ˈeː_#>	1.0
ˈi_x	ˈɪ_ç	1.0
ˈiː	ˈaɪ̯	1.0
ˈu	ˈoː	1.0
ˈuː	ˈaʊ̯	1.0
ˈyː	ˈøː	1.0
ˈæ	ˈa	1.0
ˈæː	ˈɛ	1.0
ˈæː_ʀ	ˈa_ɐ	1.0
ˈøː	ˈyː	1.0
ˈœ_k	ˈʏ_k_ə	1.0
ˈœi̯	ˈɔʏ̯	1.0
ˈœː_ʀ	ˈʊ_ɐ	1.0
ˈɑː	ˈaː	1.0
ˈɑː_n	ˈa_n	1.0
ˈɔ	ˈɔ	1.0
ˈɔu̯	ˈaʊ̯	1.0
ˈɛː_k	ˈaɪ̯_ç	1.0
ˈɛːi̯_#>	ˈaɪ̯_#>	1.0
ˈɪː	ˈɪ	1.0
ˈʊː_n	ˈʊ_n	1.0
ˈʊː_ʀ	ˈɔ_ɐ	1.0
β	v	1.0
d̥_#>	t_#>	0.481
ˈeː	ˈɛ	0.111
ˈeː	ˈɪ	0.111
t	ʦ	0.412
ˈaː	ˈaː	0.312
ˈaː	ˈa	0.562
ˈɑ	ˈɛ	0.182
ˈɒː	ˈoː	0.182
ˈʊː	ˈuː	0.462
k	k	0.583
s_#>	s_#>	0.583
ə	-	0.833
#>	n_#>	0.444
<#_d	<#_tʰ	0.484
j	-	0.4
s	k_s	0.154
s	ʃ	0.154
ŋ	ç	0.4
ʀ	ɐ	0.364
ˈeː	-	0.074
ˈi	ˈaɪ̯	0.4
ˈɛ	ˈɛ	0.4
ˈɛː	ˈaɪ̯	0.714
ˈɪ	ˈɪ	0.4
ˈʊː	ˈoː	0.154
j_ə	t	0.5
j_ə	d_l	0.5
k	x	0.25
n	-	0.125
n_d	n_d	0.5
n_d	n	0.5
s	s_t	0.385
x	ɡ̊	0.25
x	x	0.375
ə_x	ɪ_ç_#>	0.5
ə_x	ɡ̊	0.5
ˈaː	ˈa_l	0.125
ˈeː	ˈeː	0.185
ˈoː	ˈuː	0.5
ˈoː	ˈoː	0.5
ˈɔː	ˈɔ	0.5
ˈɔː	ˈaʊ̯	0.5
ˈʊː	ˈʊ	0.385
#>	t_#>	0.556
<#_d	<#_d	0.516
j	t	0.6
ŋ	ŋ	0.6
ʀ	ʁ	0.636
ˈi	ˈeː	0.6
ˈɛ	ˈɪ	0.6
ˈɛː	ˈɪ	0.286
ˈɪ	ˈɛ	0.6
k	x_ə	0.167
n	n_ə	0.167
s_#>	ʃ_#>	0.417
ə	d̥	0.167
n	n	0.708
s	z_ə	0.308
t	t	0.588
x	ə	0.188
x	ç	0.188
ˈɑ	ˈa	0.818
ˈɒː	ˈaː	0.818
d̥_#>	d̥_#>	0.519
ˈeː	ˈiː	0.519
