Provençal	Lengadocian	probability
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_j	ˈe_j	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈỹ	ˈy	1.0
ˈy	ˈy	1.0
ˈu_j	ˈu_l	1.0
ˈu	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ_ŋ	n	1.0
ˈe_n	n	1.0
ˈã_m	ˈa_m	1.0
ˈã	ˈa	1.0
ˈa_k	ˈa_k	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɥ	ɥ	1.0
ɔ	ɔ	1.0
ŋ_ʤ	n_ʤ	1.0
ŋ_n	nː	1.0
z	z	1.0
y	y	1.0
w_ˈe	ˈɔ	1.0
w_ɾ	w_ɾ	1.0
ũ	u	1.0
u	u	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_ɔ	s_ɔ	1.0
s_k	s_k	1.0
s_e	s_e	1.0
s	s	1.0
p	p	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_e	l_e	1.0
l	l	1.0
k	k	1.0
j_ˈe	ˈi	1.0
ĩ	i	1.0
f	f	1.0
ẽ	e	1.0
b_w	b_ˈu	1.0
ã	a	1.0
a	a	1.0
ɾ	ɾ	0.969
w	w	0.945
ʀ	ʀ	0.93
e	e	0.865
ˈũ	ˈu	0.767
ŋ	n	0.714
v	b	0.669
i	i	0.669
ˈẽ	ˈɛ	0.667
j	j	0.627
b	β	0.586
ˈe	ˈe	0.581
d	d	0.52
ɡ	ɣ	0.484
d	ð	0.48
ˈe	ˈɛ	0.419
b	b	0.414
ɡ	ɡ	0.402
ˈẽ	ˈe	0.333
v	β	0.331
i	e	0.331
ŋ	ŋ	0.286
ˈũ	ˈy	0.233
j	ʎ	0.155
j	-	0.124
ɡ	-	0.114
j	l	0.095
e	s	0.074
ʀ	n	0.07
e	-	0.062
w	l	0.055
