Northern Low Saxon	East Low German	probability
ˈʏ	ˈʏ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ	ˈɛ	1.0
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɔ	ˈɔ	1.0
ˈœ	ˈœ	1.0
ˈøː	ˈœː	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeɪ̯	ˈae̯	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɐ	æ	1.0
ç	ç	1.0
z	z	1.0
x	x	1.0
tʰ	tʰ	1.0
t	t	1.0
s_l	ʃ_l	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n	n	1.0
kʰ	kʰ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
d_n	t_n	1.0
l	l	0.96
ˈa	ˈa	0.917
m	m	0.889
ŋ	ŋ	0.867
v	v	0.862
ˈʊ	ˈʊ	0.857
ˈaʊ̯	ˈaʊ̯	0.821
ˈaɪ̯	ˈae̯	0.808
ˈoː	ˈɒː	0.792
ˈeː	ˈɛː	0.75
b	b	0.71
ˈaː	ˈaː	0.667
d	d	0.56
ɡ	k	0.471
ɡ	ɡ	0.382
d	t	0.381
ˈaː	ˈa_l	0.333
b	p	0.29
ˈeː	ˈɛ	0.25
ˈoː	ˈoː	0.208
ˈaʊ̯	ˈuː	0.179
ˈʊ	ˈɔ	0.143
v	w	0.138
ŋ	ŋ_k	0.133
ˈaɪ̯	ˈiː	0.115
ɡ	j	0.088
ˈa	ˈaː	0.083
ˈaɪ̯	ˈaɪ̯	0.077
d	ɾ	0.06
ɡ	ç	0.059
m	n	0.056
m	b_m	0.056
