Upper Franconian	East Low German	probability
β	-	1.0
ˈɘ	æ	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaː_#>	ˈae̯_n_#>	1.0
ˈaʊ̯	ˈuː	1.0
ˈa_ɐ	ˈaː	1.0
ʦ_#>	t_#>	1.0
ɾ	ɾ	1.0
ɡ̊_s	s	1.0
ç_d̥	ç	1.0
s_n	t_n	1.0
r	r	1.0
n_ʃ	n_ʃ	1.0
n_d̥	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
d̥_ɐ	t_æ	1.0
b̥͡v̥	p	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
a	-	1.0
<#_n	<#_n	1.0
ʃ	ʃ	0.929
f	f	0.929
ˈuː	ˈaʊ̯	0.882
ŋ	ŋ	0.875
ɐ	æ	0.872
n	n	0.855
v	v	0.852
ˈa	ˈa	0.76
ˈɪ	ˈɪ	0.708
ˈʊ	ˈʊ	0.667
ˈoː	ˈɒː	0.667
ʦ	tʰ	0.667
ç	ç	0.625
d̥	d	0.625
ˈeː	ˈɛ	0.6
#>	ç_#>	0.6
ˈaɪ̯	ˈiː	0.571
ˈaː	ˈae̯	0.533
ɡ̊	kʰ	0.52
ɡ̊_n	ç	0.5
ɡ̊_n	k_n	0.5
ɡ̊_#>	ç_#>	0.5
ɡ̊_#>	k_#>	0.5
x	x	0.438
x	k	0.438
s	z	0.432
ˈiː	ˈae̯	0.429
ˈeː	ˈeː	0.4
#>	k_#>	0.4
ˈɛ	ˈɛ	0.389
ç	k	0.375
d̥	t	0.347
ˈɔ	ˈɔ	0.333
ˈaː	ˈaʊ̯	0.333
ʦ	t	0.333
ɡ̊	ɡ	0.32
s	t	0.295
s	s	0.273
ˈiː	ˈɪ	0.238
ˈɪ	ˈʏ	0.208
ˈʊ	ˈɔ	0.2
ˈɔ	ˈʊ	0.2
ˈɔ	ˈuː	0.2
ˈiː	ˈɔʏ̯	0.19
ˈɛ	ˈɛː	0.167
ɡ̊	j	0.16
v	w	0.148
n	-	0.145
ˈiː	ˈiː	0.143
ˈaɪ̯	ˈyː	0.143
ˈʊ	ˈʏ	0.133
ˈɔ	ˈa	0.133
ˈɔ	-	0.133
ˈaː	ˈɪ	0.133
ŋ	ɡ_n	0.125
x	ç	0.125
ˈuː	ˈuː	0.118
ˈɛ	ˈʏ	0.111
ˈɛ	ˈœ	0.111
ˈɛ	ˈiː	0.111
ˈɛ	-	0.111
ˈoː	ˈoː	0.111
ˈoː	ˈaː	0.111
ˈoː	n	0.111
ˈaɪ̯	ˈʏ	0.095
ˈaɪ̯	ˈɪ	0.095
ˈaɪ̯	ˈae̯	0.095
ˈɪ	ˈɛ	0.083
ˈa	ˈɔ	0.08
ˈa	ˈɒː	0.08
ˈa	ˈaʊ̯	0.08
ɐ	ˈaː	0.077
ʃ	s	0.071
f	p	0.071
ɐ	-	0.051
