North Frisian	West Frisian	probability
ˈʏ	-	1.0
ˈʊ_n	ˈu_n	1.0
ˈɛi̯_#>	ˈɛi̯_#>	1.0
ˈɛi̯	ˈiə̯	1.0
ˈɛ	ˈiə̯	1.0
ˈɔ_r	ˈoə̯	1.0
ˈɒ	ˈa	1.0
ˈœi̯_f	ˈuə̯	1.0
ˈœ_nʲ_#>	ˈɔː_n_#>	1.0
ˈœ_dʲ_#>	ˈuə̯_d̥_#>	1.0
ˈyː_dʲ_#>	ˈɪə̯_#>	1.0
ˈyː_dʲ	ˈɪə̯	1.0
ˈyː_#>	ˈoː_#>	1.0
ˈyː	ˈuː	1.0
ˈiː_ə	ˈeː	1.0
ˈiː_nʲ_#>	ˈiə̯_n_#>	1.0
ˈeː_#>	ˈi_#>	1.0
ˈaː	ˈɪ	1.0
ˈai̯_ŋ	ˈɪ_ŋ	1.0
ˈa_r	ˈɛː	1.0
ʃ_ˈi	k_ˈi	1.0
ŋ_ə	ŋ_ə	1.0
ŋ_#>	ŋ_#>	1.0
x	χ	1.0
w_#>	χ_#>	1.0
w	ɣ	1.0
v_ə	v_ə	1.0
v_#>	f_#>	1.0
tʲ_#>	t_#>	1.0
tʲ	t	1.0
t_ə	t_ə	1.0
t_#>	t_#>	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	-	1.0
r_#>	r_#>	1.0
p_#>	p_#>	1.0
p	p	1.0
nʲ	n	1.0
n_i	n_ɪ	1.0
n	n	1.0
m_ə	m_ə	1.0
m_#>	m_#>	1.0
l_ə	l	1.0
l	l	1.0
k_ə	k_ə	1.0
k_#>	k_#>	1.0
k	k_j	1.0
j_ˈa_r	ˈɛː	1.0
j_#>	χ_#>	1.0
i_#>	χ_#>	1.0
f_#>	f_#>	1.0
dʲ	d	1.0
d_ə_r_#>	r_#>	1.0
d_#>	d̥_#>	1.0
<#_ˈɒː	<#_ˈaː	1.0
<#_ˈyː	<#_ˈyː	1.0
<#_ˈuː	<#_ˈɪə̯	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_ʋ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
#>	d̥_#>	1.0
n_#>	n_#>	0.897
<#_t	<#_t	0.895
ə_#>	ə_#>	0.872
ˈʊ	ˈɔ	0.8
ˈuː	ˈɪə̯	0.778
ə	ə	0.769
r	r	0.75
l_#>	l_#>	0.75
ˈa	ˈɪ	0.733
v	v	0.692
ˈɔu̯	ˈoə̯	0.6
ˈɒː	ˈa	0.6
ˈœ	ˈuə̯	0.6
ˈøː	ˈuː	0.6
z	z	0.6
ʃ	s_k	0.583
ˈɔː	ˈɔ	0.571
ˈɛː	ˈaː	0.5
ˈɛː	-	0.5
ŋ	n	0.5
ŋ	-	0.5
lʲ	l	0.5
lʲ	d̥	0.5
d	t	0.5
ˈeː	ˈɪ	0.444
<#	<#_s	0.444
ˈɔː	ˈa	0.429
ʃ	k	0.417
ˈɔu̯	ˈuə̯	0.4
ˈɒː	ˈɛː	0.4
ˈœ	ˈy	0.4
ˈøː	ˈuə̯	0.4
ˈi	ˈi	0.4
z	t	0.4
ˈiː	ˈiə̯	0.375
j	j	0.375
j	-	0.375
ˈi	ˈiː	0.333
ˈeː	ˈɛ	0.333
v	-	0.308
l_#>	l_ə_#>	0.25
j	ɣ_j	0.25
d	z	0.25
d	d	0.25
ə	d_ə	0.231
ˈuː	ˈuː	0.222
ˈeː	ˈɛː	0.222
ˈiː	j	0.208
ˈʊ	ˈa	0.2
ˈiː	ˈɪə̯	0.167
ˈi	ˈɪ	0.133
ˈi	ˈeː	0.133
ˈa	ˈa	0.133
ˈa	-	0.133
ə_#>	#>	0.128
ˈiː	ˈiː	0.125
ˈiː	j_ˈɪ	0.125
<#	<#_ʦ	0.111
<#	<#_ʋ	0.111
<#	<#_l	0.111
<#	<#_j	0.111
<#	<#_d	0.111
r	r_ˈɛ	0.107
<#_t	<#_ʦ	0.105
n_#>	#>	0.103
r	ˈoə̯	0.071
r	-	0.071
