Bulgarian	Bulgarian	probability
ˈ	-	1.0
ʧ	ʈ͡ʂ	1.0
ʦʲ	ʦ	1.0
ʒ̊	-	1.0
ʒ	ʐ	1.0
ʃ_t	ʦ	1.0
ɫ_a	w_ɔ	1.0
ɫ_#>	l_#>	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ɔ	1.0
ɛ_n	n_ɨ	1.0
ɛ_#>	ɛ_#>	1.0
ɐ_k	k_i	1.0
x	x	1.0
v_ɐ	v_a	1.0
v	v	1.0
u	u	1.0
tʲ	ʨ	1.0
t_ɛ	ʨ_ɛ	1.0
t_a	t_a	1.0
s_ɐ	s_ɛ	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
rʲ	r	1.0
r_ɛ	ʐ_ɛ	1.0
r_a	r_ɔ	1.0
pʲ	p_j	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
o	ɔ	1.0
nʲ	-	1.0
n_#>	ɲ_#>	1.0
mʲ	m_j	1.0
m	m	1.0
lʲ	l	1.0
k_a	k_a	1.0
j_ɐ	ʨ	1.0
i_ˈ	ɛ	1.0
d̥	d̥	1.0
dʲ	ʥ	1.0
b̥	m_b̥	1.0
bʲ	b_j	1.0
b	b	1.0
<#_x	<#_x	1.0
<#_u	<#_u	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#	<#_j	1.0
a	a	0.841
ɫ	w	0.826
n	n	0.818
k	k	0.792
l	l	0.778
r	r	0.737
d	d	0.737
ɔ	ɔ	0.72
ʦ	ʦ	0.667
z	z	0.615
vʲ	v_j	0.6
f	f	0.6
t	t	0.577
s	s	0.571
r_#>	r_#>	0.571
i	ɨ	0.524
ɛ	ɛ	0.444
s	ɕ	0.429
r_#>	r_ɨ_#>	0.429
ɐ	-	0.424
vʲ	j	0.4
f	v_ɨ	0.4
z	ʑ	0.385
i	i	0.381
ɤ	ɛ	0.35
ʦ	k	0.333
ɤ	ɔ	0.3
ɔ	u	0.28
t	ʨ	0.269
d	ʥ	0.263
ɤ	-	0.25
ɛ	j_ɛ	0.222
l	-	0.222
ɐ	ɛ	0.182
ɐ	a	0.182
n	ɲ	0.182
r	ʐ̊	0.158
t	ɲ_ʨ	0.154
ɐ	ɔ	0.152
k	-	0.125
a	ɛ	0.114
ɛ	ɔ	0.111
r	ʐ	0.105
ɤ	ɔ_w̃	0.1
i	-	0.095
ɫ	l	0.087
ɫ	d_w	0.087
k	k_j	0.083
ɛ	u	0.067
ɛ	a	0.067
ɐ	ʨ	0.061
