Pennsylvania German	Pennsylvania German	probability
ˈuː	ˈuə̯	1.0
ˈa_l	ˈu	1.0
ʦ_#>	t_ə_#>	1.0
ʦ	t	1.0
ɣ	ɦ_ə	1.0
ɡ̊_#>	#>	1.0
ɡ	ɦ	1.0
ə_#>	#>	1.0
t	t	1.0
p	p	1.0
m	m	1.0
k_s	s	1.0
k_#>	ɦ_ə_#>	1.0
k	k	1.0
eː	iə̯_n	1.0
d̥_#>	#>	1.0
d_ɑ	ɾ	1.0
b̥	v̥	1.0
b	b	1.0
<#_ʦ	<#_t	1.0
<#_ɾ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h_ˈa	<#_ˈɑ	1.0
<#_h	<#	1.0
#>	n_#>	1.0
d̥	d̥	0.926
ɾ	ɾ	0.923
ʋ	ʋ	0.864
d	d	0.862
ɪ	-	0.833
ə	n	0.806
ˈaʊ̯	ˈyː	0.8
n	n	0.788
f	v	0.788
l	l	0.769
ˈiː	ˈiə̯	0.714
ɑ	ɾ	0.679
ç	k	0.667
ˈoː	ˈoː	0.636
ʃ	s	0.633
ˈa	ˈɑ	0.6
ŋ	ŋ	0.6
j	ɦ	0.6
ˈɛː	ˈæ	0.571
ˈaː	ɾ	0.571
ˈɪ	ˈɪ	0.565
x	h	0.5
ˈɔ	ˈɔ	0.455
ˈɛː	ˈɒː	0.429
ˈaː	-	0.429
ˈeː	ˈɛː	0.4
ŋ	ŋ_k	0.4
s	z	0.4
j	j	0.4
ˈaɪ̯	ˈi	0.381
s	t	0.375
ˈɔ	-	0.364
ˈoː	ˈɒː	0.364
ˈʊ	ˈu	0.357
ˈɛ	ˈeː	0.333
ˈɔː	ˈɒː	0.333
ˈeː	ˈeː	0.3
x	k	0.3
ˈʊ	ˈɔ	0.286
ˈiː	ˈuə̯	0.286
ˈɛ	ˈæ	0.278
ˈɛ	-	0.278
ˈɔː	ˈɑ	0.278
ˈɔː	ˈoː	0.278
ˈaɪ̯	ˈiə̯	0.238
l	w	0.231
ç	h	0.222
ˈʊ	ˈoː	0.214
f	p	0.212
ˈaʊ̯	-	0.2
ˈa	ˈɒː	0.2
ʃ	ʃ_h	0.2
x	k_ə	0.2
ˈɔ	ˈœ	0.182
ɑ	ə_ɾ	0.179
s	z̥	0.175
ˈɪ	ˈœ	0.174
ʃ	z	0.167
ɪ	ɪ	0.167
ˈeː	ˈoː	0.15
ˈeː	ˈiə̯	0.15
ˈʊ	ˈuə̯	0.143
ˈaɪ̯	ˈyː	0.143
ˈaɪ̯	-	0.143
ɑ	ɾ_ə	0.143
d	t	0.138
ʋ	-	0.136
n	n_d	0.121
ˈa	-	0.12
ˈɛ	ˈɛ	0.111
ˈɔː	-	0.111
ç	ç	0.111
ˈaɪ̯	ˈɛ	0.095
n	-	0.091
ˈɪ	ˈɛ	0.087
ˈɪ	ˈæ	0.087
ˈɪ	-	0.087
ə	-	0.083
ˈa	ˈoː_ɾ	0.08
ɾ	-	0.077
d̥	d_ə	0.074
ə	ə_n	0.056
ə	ə	0.056
