Saterland Frisian	Nynorsk Norwegian	probability
a	-	0.5
a	ˈyː	0.5
b	b	0.897
b	-	0.099
d	d	0.663
d	-	0.201
d	tʰ	0.131
d_ə	ɾ	0.549
d_ə	ɑ	0.211
d_ə	e	0.06
f	f	0.873
f	-	0.127
h	h	1.0
j	-	0.682
j	j	0.232
j	ˈiː	0.049
j	ˈʉː	0.039
j_ˈoː	ˈyː	0.74
j_ˈoː	ˈiː	0.129
j_ˈuː	ˈiː	0.363
j_ˈuː	ˈyː	0.174
k	k	0.464
k	kʰ	0.239
k	ɡ	0.096
k	ç	0.084
k	-	0.055
k_ˈi	ˈiː	0.479
l	l	0.881
l	-	0.058
l	lː	0.058
l_d	lː	1.0
l_ə	l	1.0
m	m	0.955
m	mː	0.048
n	n	0.669
n	-	0.148
n	nː	0.141
n	ŋ	0.04
n_d	nː	1.0
p	p	0.728
p	pʰ	0.148
p	-	0.105
r	ɾ	0.947
r	-	0.05
s	s	0.867
s	ʃ	0.083
s	ç	0.044
s_k	ʃ	1.0
t	t	0.53
t	-	0.224
t	tʰ	0.123
t	ç	0.074
t	çː	0.029
t_v	tʰ	1.0
v	ʋ	0.596
v	-	0.28
v	kʰ_ʋ	0.082
v	v	0.04
v_ˈʊ	ˈʉ	1.0
w	ʋ	0.629
w	m	0.361
x	-	0.47
x	ɡ	0.319
x	k	0.109
x	ɡː	0.081
x_t	ʰtː	1.0
z	s	0.903
z	ɾ	0.06
ŋ	ŋː	0.878
ŋ	ɲ	0.105
ŋ_k	ʰkː	1.0
ə	ɑ	0.348
ə	e	0.308
ə	-	0.292
ə_l	l	1.0
ɣ	ɡ	0.58
ɣ	-	0.228
ɣ	m	0.068
ɣ	ɡː	0.068
ɣ	j	0.055
ɪ	e	0.28
ɪ	ɑ	0.28
ɪ	-	0.192
ɪ	ʋ	0.106
ɫ	lː	0.229
ˈa	ˈɛ	0.45
ˈa	ˈøː	0.297
ˈa	ˈɔ	0.177
ˈaː	ˈɑ	0.322
ˈaː	ˈɛ	0.192
ˈaː	ˈeː	0.177
ˈaː	ˈæɪ̯	0.106
ˈaːi̯	ˈeː	0.392
ˈaːi̯	ˈɑ	0.392
ˈaːi̯	ˈɑː	0.119
ˈaːu̯	ˈoː	0.363
ˈaːu̯	ɾ	0.174
ˈeː	ˈæɪ̯	0.307
ˈeː	ˈœʏ̯	0.159
ˈeː	ˈeː	0.105
ˈeː	ˈoː	0.105
ˈeː	ˈøː	0.065
ˈeːu̯	ˈeː	0.479
ˈi	ˈeː	0.436
ˈi	ˈiː	0.394
ˈi	-	0.101
ˈi	ˈɛ	0.043
ˈiː	ˈiː	0.272
ˈiː	ˈɛ	0.201
ˈiː	ˈɪ	0.201
ˈiː	ˈoː	0.124
ˈiː	ˈyː	0.062
ˈiː_d	ˈiː	0.229
ˈiːu̯	ˈeː	1.0
ˈoː	ˈæʉ̯	0.277
ˈoː	ˈɑ	0.164
ˈoː	ˈʉː	0.143
ˈoː	ˈoː	0.132
ˈoː	ˈɑː	0.064
ˈoː_d	ˈæʉ̯	1.0
ˈoːu̯	ˈuː	0.318
ˈoːu̯	ˈɑ	0.239
ˈoːu̯	ˈoː	0.145
ˈoːu̯	ˈɔ	0.073
ˈoːu̯	ˈʏ	0.073
ˈoːu̯_d	ˈuː	1.0
ˈu	ˈʉ	0.407
ˈu	ˈʉː	0.148
ˈuː	ˈʉː	0.371
ˈuː	ˈuː	0.207
ˈuː	ˈʊ	0.13
ˈuː	ˈyː	0.091
ˈuː	ˈɔ	0.061
ˈyː	ˈɛ	0.574
ˈyː	ˈʏ	0.275
ˈœː	ˈʊ	0.479
ˈɔ	ˈɑ	0.485
ˈɔ	ˈʉː	0.175
ˈɔ	ˈʉ	0.111
ˈɔ	ˈʏ	0.082
ˈɔ	ˈɔ	0.076
ˈɔː	ˈɑ	0.361
ˈɔː	ˈɑː	0.228
ˈɔː	ˈœ	0.169
ˈɔː	ˈɔ	0.097
ˈɔː	ˈɛ	0.067
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈɑː	0.409
ˈɛ	ˈɛ	0.263
ˈɛ	ˈæɪ̯	0.174
ˈɛ	ˈoː	0.115
ˈɛɪ̯	ˈoː	0.233
ˈɛɪ̯	ˈøː	0.187
ˈɛɪ̯	ˈuː	0.123
ˈɛɪ̯	ˈʉː	0.081
ˈɛɪ̯	ˈɛː	0.078
ˈɛː	ˈʏ	0.447
ˈɛː	-	0.153
ˈɛː	ˈɑː	0.153
ˈɛː	ˈɑ	0.105
ˈɛː	ˈʊ	0.105
ˈɪ	ˈɪ	0.569
ˈɪ	ˈiː	0.131
ˈɪ	ˈɛ	0.086
ˈɪ	ˈʉː	0.086
ˈɪ	ˈʏ	0.067
ˈʊ	ˈʊ	0.287
ˈʊ	ˈʏ	0.287
ˈʊ	ˈʉ	0.213
ˈʊ	ˈɔ	0.089
ˈʊ	ˈɛ	0.089
