Jin	Standard Mandarin	probability
⁵³	²¹⁴	1.0
⁴⁵	⁵¹	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʔ_⁵⁴	³⁵	1.0
ʔ	-	1.0
ʐ	ʐ	1.0
ɻ	ɻ	1.0
ɥ	ɥ	1.0
ə_ʔ	u	1.0
ɕ	ɕ	1.0
ɒ̃	ɑ_ŋ	1.0
æ̃	a_n	1.0
ỹ	y	1.0
y	y	1.0
x	x	1.0
w_¹¹	w_⁵⁵	1.0
ũ	ʊ	1.0
u	u	1.0
tʰ͡x	tʰ	1.0
t	t	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
m	m	1.0
l	l	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j	j	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
<#_ɣ	<#	1.0
<#_ə	<#_ɤ	1.0
<#_n	<#_n	1.0
w	w	0.903
ə	o	0.846
ʦʰ	ʈ͡ʂʰ	0.75
s	ʂ	0.75
ə̃	ə	0.7
a	a	0.654
z̩	ʐ̩	0.625
<#_v	<#_w	0.625
ʦ	ʈ͡ʂ	0.6
ɤ	ɤ	0.6
e	ɛ	0.583
¹¹	³⁵	0.557
²	⁵¹	0.538
ŋ	ŋ	0.536
ʔ_²	⁵¹	0.5
ʔ_²	²¹⁴	0.5
a_ʔ	ɤ	0.5
a_ʔ	ɔ	0.5
ŋ	n	0.464
¹¹	⁵⁵	0.443
e	e	0.417
ʦ	ʦ	0.4
ɤ	w_ɔ	0.4
z̩	z̩	0.375
<#_v	<#	0.375
a	ɑ	0.346
²	⁵⁵	0.308
ə̃	ɤ	0.3
ʦʰ	ʦʰ	0.25
s	s	0.25
ə	ɛ	0.154
²	³⁵	0.154
w	-	0.097
