Gothic	Nynorsk Norwegian	probability
a	ɑ	0.492
a	e	0.249
a	-	0.195
aː	ɑ	0.815
aː	-	0.185
b	b	0.789
b	-	0.15
b	tʰ	0.061
d	d	0.527
d	-	0.327
d	ɡː	0.146
e	-	1.0
f	f	0.737
f	ʋ	0.263
h	h	0.496
h	-	0.285
h	k	0.137
i	-	0.651
i	ʋ	0.128
i	ɛ	0.091
i	e	0.066
i	ʉ	0.064
iː	-	0.948
iː	ˈøː	0.052
j	-	0.904
j	ɾ	0.096
k	k	0.41
k	kʰ	0.213
k	-	0.201
k	ɡ	0.099
k	ɕ	0.057
kʷ	kʰ	1.0
l	l	0.799
l	lː	0.149
lː	lː	1.0
m	m	0.885
m	mː	0.066
n	n	0.782
n	nː	0.169
nː	nː	1.0
oː	e	0.49
oː	ɑ	0.236
oː	-	0.189
oː	ʋ	0.085
p	p	0.791
p	-	0.147
p	ʰpː	0.062
r	ɾ	0.917
r	-	0.083
s	-	0.704
s	s	0.213
s	ʃ	0.083
t	t	0.581
t	tʰ	0.139
t	-	0.128
t	ɕ	0.07
t	ɕː	0.06
u	-	0.577
u	e	0.339
u	ˈʉː	0.085
w	ʋ	0.505
w	-	0.309
w	ˈɔ	0.095
w	v	0.091
x	ɡ	1.0
z	ɾ	0.685
z	s	0.315
ð	-	0.972
ŋ	ŋː	0.637
ŋ	ɲ	0.202
ŋ	-	0.137
ɔː	e	1.0
ɡ	ɡ	0.483
ɡ	-	0.352
ɡ	j	0.139
ɡʷ	j	1.0
ɡːʷ	ɡ	1.0
ɣ	-	0.851
ɣ	ɡ	0.149
ʍ	kʰ	0.878
ʍ	ˈoː	0.122
ˈa	ˈɑ	0.541
ˈa	ˈɑː	0.138
ˈa	ˈɛ	0.131
ˈa	ˈoː	0.075
ˈeː	ˈoː	0.912
ˈeː	ˈeː	0.088
ˈi	ˈɪ	0.371
ˈi	ˈɛ	0.149
ˈi	ˈeː	0.118
ˈi	ˈʏ	0.088
ˈi	ˈiː	0.058
ˈi	ˈuː	0.055
ˈi	ˈœ	0.052
ˈiu̯	ˈʉː	0.368
ˈiu̯	ˈyː	0.23
ˈiu̯	ˈiː	0.142
ˈiu̯	ˈʏ	0.121
ˈiu̯	ˈeː	0.111
ˈiː	ˈiː	0.837
ˈiː	ˈeː	0.095
ˈiː	ˈɪ	0.067
ˈoː	ˈuː	0.651
ˈoː	ˈyː	0.267
ˈoː	ˈøː	0.082
ˈu	ˈʉ	0.757
ˈu	ˈɔ	0.1
ˈu	ˈɑ	0.051
ˈuː	ˈʉː	0.578
ˈuː	ˈeː	0.422
ˈɔ	ˈʊ	0.418
ˈɔ	-	0.209
ˈɔ	ˈuː	0.209
ˈɔ	ˈæʉ̯	0.133
ˈɔː	ˈæʉ̯	0.451
ˈɔː	ˈɔ	0.214
ˈɔː	ˈœʏ̯	0.203
ˈɔː	ˈoː	0.133
ˈɛ	j	0.423
ˈɛ	ˈɛ	0.369
ˈɛ	ˈæ	0.139
ˈɛː	ˈæɪ̯	0.677
ˈɛː	ˈøː	0.138
ˈɛː	ˈʉː	0.103
β	ʋ	0.86
β	-	0.14
θ	-	0.478
θ	d	0.278
θ	tʰ	0.196
