Gothic	Nynorsk Norwegian	probability
a	-	0.597
a	e	0.241
a	ɑ	0.092
a	ɛ	0.061
a_n	ɑ	1.0
aː	-	0.479
b	b	0.852
b	-	0.139
d	d	0.659
d	-	0.27
d	ɡː	0.049
d_s	d	1.0
e	-	0.479
f	f	0.553
f	-	0.438
h	h	0.493
h	-	0.349
h	m	0.048
h	k	0.041
h	ŋː	0.041
h	ɡ	0.036
h_t	ʰtː	1.0
i	-	0.53
i	e	0.117
i	ɛ	0.117
i	ʉ	0.117
i	ʋ	0.117
iː	-	1.0
j	-	0.859
j	ɾ	0.113
k	kʰ	0.515
k	k	0.126
k	ɡ	0.091
k	sː	0.087
k	ʰkː	0.085
k_s	k	0.479
kʷ	kʰ	1.0
l	l	0.861
l	lː	0.087
l	-	0.049
lː	lː	1.0
m	m	0.911
m	mː	0.059
m	ʃ	0.035
m_s	m	1.0
n	n	0.636
n	-	0.25
n	nː	0.088
n	lː	0.031
n_d	nː	1.0
n_s	n	1.0
n_θ	nː	1.0
nː	nː	1.0
oː	e	0.477
oː	ɑ	0.241
oː	n	0.132
oː	ʋ	0.087
oː	-	0.05
p	p	0.882
p	-	0.084
r	ɾ	0.927
r	-	0.051
r	n	0.029
s	-	0.63
s	s	0.338
s	ʃ	0.035
s_k	ʃ	1.0
t	t	0.452
t	tʰ	0.247
t	-	0.095
t	ç	0.095
t	d	0.054
t	çː	0.046
t_s	t	0.618
t_s	ʰtː	0.347
u	-	0.612
u	e	0.286
u	ˈœ	0.051
u	ˈʉː	0.035
w	ʋ	0.51
w	-	0.397
w	ˈɔ	0.084
w_ˈu	ˈʉ	1.0
x	ɡ	1.0
z	ɾ	0.66
z	s	0.151
ð	-	0.74
ð	ɾ	0.129
ŋ	-	0.594
ŋ	ɲ	0.392
ŋ_ɡ	ŋː	1.0
ɔː	e	0.229
ɡ	ɡ	0.69
ɡ	j	0.225
ɡ	k	0.064
ɡ_s	ɡ	1.0
ɡʷ	j	1.0
ɡːʷ	ɡ	0.479
ɣ	-	0.5
ɣ	ɡ	0.5
ʍ	kʰ	0.199
ʍ	ˈoː	0.199
ˈa	ˈɑ	0.484
ˈa	ˈɑː	0.156
ˈa	ˈɛ	0.124
ˈa	ˈeː	0.07
ˈa	ˈoː	0.055
ˈa	-	0.04
ˈa	ˈʊ	0.034
ˈa	ˈɔ	0.033
ˈa	ˈøː	0.028
ˈeː	ˈoː	0.803
ˈeː	ˈeː	0.194
ˈi	ˈɪ	0.314
ˈi	ˈiː	0.157
ˈi	ˈeː	0.151
ˈi	ˈɛ	0.104
ˈi	ˈʏ	0.101
ˈi	ˈuː	0.051
ˈi	ˈʉː	0.051
ˈi	j	0.033
ˈi	-	0.029
ˈiu̯	ˈyː	0.32
ˈiu̯	ˈeː	0.242
ˈiu̯	ˈʉː	0.242
ˈiu̯	ˈiː	0.077
ˈiu̯	ˈʏ	0.052
ˈiː	ˈiː	0.693
ˈiː	ˈɪ	0.127
ˈiː	ˈeː	0.123
ˈoː	ˈuː	0.663
ˈoː	ˈyː	0.138
ˈoː	ˈɛ	0.101
ˈoː_θ	ˈuː	1.0
ˈu	ˈʉ	0.393
ˈu	ˈʊ	0.255
ˈu	ˈɔ	0.132
ˈu	ˈɑ	0.061
ˈu	ˈʉː	0.061
ˈu	ˈoː	0.048
ˈu	ˈʏ	0.048
ˈuː	ˈʉː	1.0
ˈɔ	ˈʊ	0.398
ˈɔ	ˈoː	0.229
ˈɔ	ˈuː	0.144
ˈɔ	ˈɔ	0.144
ˈɔ_θ	ˈæʉ̯	0.229
ˈɔː	ˈæʉ̯	0.603
ˈɔː	ˈɔ	0.272
ˈɔː	ˈoː	0.081
ˈɔː_s	ˈœʏ̯	1.0
ˈɛ	ˈɛ	0.322
ˈɛ	j	0.274
ˈɛ	ˈæ	0.137
ˈɛ	ˈœ	0.099
ˈɛ	-	0.064
ˈɛ	ˈiː	0.064
ˈɛː	ˈæɪ̯	0.639
ˈɛː	-	0.14
ˈɛː	ˈɛ	0.14
ˈɛː	ˈuː	0.068
ˈɛː_w	ˈøː	1.0
β	ʋ	0.715
β	-	0.192
θ	-	0.401
θ	tʰ	0.271
θ	d	0.223
θ	ç	0.076
