Proto-Slavic	Proto-Slavic	probability
̌_ĭ	̌_ĭ	1.0
̌_e	̌_e	1.0
̌	̌	1.0
̂_ĭ	̂_ĭ	1.0
̂	̂	1.0
ˀ	ˀ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɨː	ɨː	1.0
ɨ	ɨ	1.0
ɡ	ɡ	1.0
ɛː	ɛː	1.0
ɛ	ɛ	1.0
z	z	1.0
x	x	1.0
v	v	1.0
ŭ_t	ŭ_t	1.0
ŭ_k	ŭ_k	1.0
ŭ	ŭ	1.0
uː	uː	1.0
t_̌	t_̌	1.0
t_ŭ	t_ŭ	1.0
t	t	1.0
s_̌	s_̌	1.0
s	s	1.0
r_̌	r_̌	1.0
r_ŭ	r_ŭ	1.0
r_t	r_t	1.0
r	r	1.0
p	p	1.0
õː	õː	1.0
oː	oː	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l_̂	l_̂	1.0
l_ŭ	l_ŭ	1.0
l_o	l_o	1.0
l	l	1.0
k_̂	k_̂	1.0
k	k	1.0
j	j	1.0
ĭː	ĭː	1.0
ĭ	ĭ	1.0
iː	iː	1.0
i	i	1.0
ẽː	ẽː	1.0
ẽ	ẽ	1.0
eː	eː	1.0
e	e	1.0
d	d	1.0
b	b	1.0
aː	aː	1.0
a	a	1.0
<#_̌	<#_̌	1.0
