English	Afrikaans	probability
b	b	1.0
d	d	0.405
d	t	0.356
d	-	0.143
d	r_t	0.069
f	f	0.881
f	χ	0.075
h	ɦ	0.959
h	-	0.053
j	j	0.574
j	ˈi	0.171
j	χ	0.171
k	k	0.782
k	-	0.205
kʰ	k	1.0
l	ɫ	1.0
m	m	0.951
n	n	0.881
n	ə_ŋ	0.066
n	-	0.052
p	p	1.0
pʰ	p	0.517
s	s	1.0
t	t	0.769
t	χ	0.151
t	-	0.07
tʰ	t	0.94
tʰ	b	0.063
v	f	0.411
v	-	0.338
v	v	0.244
w	v	0.782
w	w	0.147
z	s	1.0
ð	d	0.675
ð	-	0.304
ŋ	ŋ	1.0
ə	ə	0.486
ə	r	0.445
ə	-	0.065
əʊ̯	-	1.0
ɡ	χ	0.809
ɡ	-	0.178
ɪ	ə	0.322
ɪ	ə_χ	0.252
ɪ	ˈɛ	0.167
ɪ	-	0.107
ɫ	ɫ	0.896
ɫ	-	0.059
ɫ	n	0.057
ɫ_d	t	1.0
ɹ	r	0.931
ɹ	-	0.064
ʃ	s	0.536
ʃ	s_k	0.441
ʤ	χ	1.0
ʧ	k	1.0
ˈaɪ̯	ˈəɪ̯	0.323
ˈaɪ̯	ˈə	0.237
ˈaɪ̯	ˈʊə̯_χ	0.111
ˈaɪ̯	ˈa	0.094
ˈaɪ̯	ˈi_χ	0.056
ˈaɪ̯	ˈyː	0.054
ˈaɪ̯	ˈœi̯	0.054
ˈaʊ̯	ˈœɪ̯	0.626
ˈaʊ̯	ˈɔ	0.189
ˈaʊ̯	ˈuːi̯	0.097
ˈaʊ̯	ˈʊə̯	0.074
ˈe	ˈʊə̯	0.206
ˈe	ˈɪə̯	0.144
ˈe	-	0.144
ˈe	ˈɑː	0.107
ˈe	ˈi	0.093
ˈe	ˈɛ	0.093
ˈe	ˈoːi̯	0.061
ˈe	ˈɪ	0.056
ˈe	ˈa	0.055
ˈe_ð	ˈɪə̯	1.0
ˈeɪ̯	ˈɑː	0.332
ˈeɪ̯	ˈa_χ	0.14
ˈeɪ̯	ˈɛ	0.106
ˈeɪ̯	ˈɛː	0.106
ˈeɪ̯	ˈʊə̯	0.085
ˈeɪ̯	ˈa	0.081
ˈeɪ̯	ˈɔː	0.067
ˈeɪ̯	ˈɪə̯	0.067
ˈiː	ˈi	0.24
ˈiː	ˈʊə̯	0.233
ˈiː	ˈɑː	0.197
ˈiː	ˈu	0.144
ˈiː	ˈəɪ̯	0.095
ˈiː	ˈɪə̯	0.081
ˈuː	ˈɑː	0.193
ˈuː	ˈɔ	0.193
ˈuː	ˈa_n	0.164
ˈuː	ˈɪə̯	0.137
ˈuː	-	0.124
ˈuː	ˈu	0.092
ˈæ	ˈa	0.815
ˈæ	ˈæː	0.091
ˈæ	ˈɛː	0.091
ˈɐ	ˈɔ	0.435
ˈɐ	ˈu	0.16
ˈɐ	ˈɪø̯	0.099
ˈɐ	ˈuː	0.092
ˈɐ	ˈʊə̯	0.092
ˈɐ	-	0.063
ˈɐ	ˈa	0.062
ˈɑː	ˈa	0.404
ˈɑː	ˈɑː	0.172
ˈɑː	ˈa_r	0.154
ˈɑː	ˈæː	0.122
ˈɑː	ˈæ	0.071
ˈɒ	ˈɔ	0.488
ˈɒ	ˈa	0.333
ˈɒ	ˈœu̯	0.142
ˈɔː	ˈʊə̯_r	0.293
ˈɔː	ˈɔ	0.241
ˈɔː	ˈa_r	0.108
ˈɔː	ˈa	0.094
ˈɔː	ˈɛ	0.079
ˈɔː	w	0.065
ˈɔː	ˈɑː	0.065
ˈɔː	r	0.063
ˈəʊ̯	ˈəɪ̯	0.234
ˈəʊ̯	ˈɪə̯	0.193
ˈəʊ̯	ˈœu̯	0.188
ˈəʊ̯	ˈʊə̯	0.121
ˈəʊ̯	w	0.07
ˈəʊ̯	ˈi	0.066
ˈəʊ̯	ˈɪø̯	0.066
ˈəʊ̯	ˈɔ	0.059
ˈɛ	ˈɑː	0.415
ˈɛ	ˈɪə̯	0.096
ˈɜː	ˈɑː	0.28
ˈɜː	ˈɛ	0.28
ˈɜː	ˈœ	0.181
ˈɜː	ˈʊə̯	0.181
ˈɪ	ˈə	0.383
ˈɪ	ˈœ	0.135
ˈɪ	ˈɛ	0.108
ˈɪ	ˈi	0.102
ˈɪ	ˈʊə̯	0.094
ˈɪ	ˈɪə̯	0.061
ˈʊ	ˈɔ	0.519
ˈʊ	ˈu	0.441
θ	d	0.704
θ	t	0.196
θ	n_t	0.085
