Čakavian	Proto-Slavic	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
ǔː	l	1.0
ûː	ĭ̂_l	1.0
uː	õː	1.0
s	s	1.0
r	r	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l_âː	ôː_l	1.0
l_aː	o_l	1.0
l	l	1.0
îː	ɛ̂ː	1.0
i	i	1.0
êː	ẽ̂ː	1.0
eː	ẽː	1.0
d	d	1.0
c	k_t	1.0
b	b	1.0
a_r	r_ŭ	1.0
a_n	m_ĭ	1.0
<#_t	<#_t	1.0
<#_ô	<#_ǒ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
t	t	0.889
k	k	0.846
e	e	0.786
p	p	0.769
â	ǎ	0.667
#>	ŭ_#>	0.596
ôː	ô	0.571
r̩̂	r	0.5
r̩̂	ĭ̌_r	0.5
ô	ô	0.5
ôː	ôː	0.429
ê	ê	0.429
#>	ĭ_#>	0.404
î	ɛ̌	0.4
î	ɛˀ	0.4
a	a	0.368
ô	ǒ	0.333
ê	ě	0.286
ê	e	0.286
p	b	0.231
e	ẽ	0.214
a	ǎ	0.211
î	ɨ̌	0.2
â	aˀ	0.2
ô	o	0.167
a	ŭ	0.158
a	ĭ	0.158
k	ɡ_ŭ	0.154
â	-	0.133
t	d_ŭ	0.111
a	-	0.105
