Bokmål Norwegian	West Flemish	probability
b	b	1.0
d	d	0.683
d	t	0.198
d	-	0.11
e	ˈu	1.0
f	v	0.983
h	-	0.899
h	z	0.061
i	ə	1.0
j	-	0.441
j	ɦ	0.36
j	j	0.124
j	k	0.054
k	k	0.591
k	-	0.356
k	h	0.053
kʰ	k	0.863
kʰ	v	0.137
kː	k	1.0
l	l	0.833
l	w	0.162
lː	l	0.264
lː	w_f	0.241
lː	t	0.212
lː	w	0.185
lː	ɾ	0.055
m	m	0.898
m	v	0.102
mː	m	1.0
n	n	0.901
nː	n	0.368
nː	n_t	0.338
nː	n_d	0.167
nː	-	0.096
p	p	1.0
pʰ	p	1.0
pː	p	1.0
s	s	0.494
s	z	0.465
sː	s	1.0
t	t	1.0
tʰ	d	0.681
tʰ	t	0.188
tʰ	b	0.078
tʰ	t_ʋ	0.052
tː	t	0.521
tː	h	0.479
ŋ	-	0.507
ŋ	ɪ	0.35
ŋ	n	0.143
ŋː	ŋ	1.0
ɕ	k	0.845
ɕ	d	0.118
ə	n	0.336
ə	-	0.334
ə	ə	0.317
ɡ	ɦ	0.784
ɡ	h	0.17
ɡː	ɦ	0.664
ɡː	-	0.168
ɡː	k	0.168
ɪ	m	0.793
ɪ	-	0.207
ɳ	ɾ_n	0.879
ɳ	ɾ	0.121
ɾ	ɾ	0.944
ɾ	-	0.056
ʂ	z	1.0
ʃ	ʃ_h	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	ʋ	0.701
ʋ	f	0.151
ʋ	v	0.081
ʋ	-	0.067
ˈeː	ˈiə̯	0.278
ˈeː	ˈeː	0.213
ˈeː	ˈɛː	0.132
ˈeː	ˈɑ	0.127
ˈeː	ˈøː	0.125
ˈeː	ˈoː	0.087
ˈiː	ˈi	0.389
ˈiː	ˈiə̯	0.165
ˈiː	ˈeː	0.156
ˈiː	ˈi_d	0.152
ˈiː	ˈɛ	0.077
ˈiː	ˈɪ	0.06
ˈoː	ˈɒː	0.644
ˈoː	ˈɒː_n	0.228
ˈoː	ˈɑ	0.073
ˈuː	ˈoː	0.38
ˈuː	ˈuə̯	0.313
ˈuː	ˈɛː	0.137
ˈuː	ˈuə̯_t	0.099
ˈuː	-	0.052
ˈyː	ˈiə̯	0.949
ˈyː	ˈœ	0.051
ˈæ	ə	0.502
ˈæ	ˈæ	0.498
ˈæɪ̯	ˈɛː	0.341
ˈæɪ̯	ˈɪ	0.23
ˈæɪ̯	ˈeː	0.203
ˈæɪ̯	ˈæ	0.177
ˈæː	ˈeː	0.734
ˈæː	ˈæ	0.166
ˈæː	ˈiə̯	0.099
ˈøː	ˈoː	0.432
ˈøː	ˈoː_t	0.289
ˈøː	ˈuə̯	0.157
ˈøː	ˈɛː	0.122
ˈœ	ˈæ	0.234
ˈœ	ˈøː	0.234
ˈœ	ˈuə̯	0.171
ˈœ	ˈoː	0.157
ˈœ	-	0.096
ˈœ	ˈɔ	0.064
ˈœʏ̯	ˈoː	1.0
ˈɑ	ˈɑ	0.737
ˈɑ	ˈɒː	0.133
ˈɑ	ˈæ	0.051
ˈɑː	ˈɒː	0.723
ˈɑː	ˈɑ	0.277
ˈɔ	ˈɔ	0.344
ˈɔ	ˈoː	0.343
ˈɔ	ˈɑ	0.193
ˈɔ	ˈøː	0.087
ˈɛ	ˈæ	0.262
ˈɛ	ˈɑ	0.183
ˈɛ	ˈeː	0.129
ˈɛ	ˈɛ	0.111
ˈɛ	ˈœ	0.101
ˈɛ	ˈɪ	0.101
ˈɛ	ˈiə̯	0.072
ˈɛː	ˈɒː	1.0
ˈɪ	ˈɪ	0.74
ˈɪ	ˈɛ	0.091
ˈɪ	-	0.088
ˈɪ	ˈæ	0.076
ˈʉ	ˈu	0.779
ˈʉ	ˈyː	0.08
ˈʉ	ˈœ	0.075
ˈʉ	ˈɔ	0.066
ˈʉː	ˈyː	0.312
ˈʉː	ˈeː	0.212
ˈʉː	ˈiə̯	0.195
ˈʉː	ˈuə̯	0.086
ˈʉː	ˈɔ	0.075
ˈʉː	ˈoː	0.061
ˈʉː	ˈøː	0.059
ˈʊ	ˈoː	0.5
ˈʊ	ˈɛː	0.5
ˈʏ	ˈɪ	0.51
ˈʏ	ˈœ	0.247
ˈʏ	ˈyː	0.105
ˈʏ	-	0.079
ˈʏ	ˈiə̯	0.06
