East Low German	Northern Low Saxon	probability
b	b	0.886
b	-	0.111
d	d	0.944
d	-	0.059
f	f	1.0
h	h	1.0
j	ɡ	0.538
j	ʒ	0.367
j	j	0.066
k	ɡ	0.721
k	k	0.15
k	-	0.114
kʰ	kʰ	1.0
l	l	0.972
m	m	1.0
n	n	0.974
p	b	0.792
p	p	0.201
r	r	1.0
s	s	1.0
t	d	0.76
t	t	0.203
tʰ	tʰ	1.0
v	v	1.0
w	v	1.0
x	x	1.0
z	z	0.928
z	s	0.071
æ	ɐ	0.913
æ	-	0.063
ç	ç	0.723
ç	-	0.134
ç	ɡ	0.134
ŋ	ŋ	0.949
ŋ	n	0.056
ɡ	ɡ	1.0
ɣ	-	0.5
ɪ	ɪ	0.758
ɪ	i	0.185
ɾ	d	0.778
ɾ	l	0.217
ʃ	ʃ	0.863
ʃ	s	0.134
ˈa	ˈa	0.891
ˈa	ˈaː	0.054
ˈa	ˈoː	0.054
ˈae̯	ˈaɪ̯	0.724
ˈae̯	ˈeɪ̯	0.095
ˈae̯	ˈɛɪ̯	0.063
ˈae̯	ˈɪ	0.063
ˈae̯	ˈeː	0.053
ˈaɪ̯	ˈaɪ̯	1.0
ˈaʊ̯	ˈaʊ̯	0.955
ˈaː	ˈaː	0.673
ˈaː	ˈa	0.303
ˈeː	ˈeɪ̯	0.287
ˈeː	ˈeː	0.287
ˈiː	ˈiː	0.778
ˈiː	ˈaɪ̯	0.119
ˈiː	ˈaː	0.055
ˈoː	ˈoː	0.734
ˈoː	ˈɔː	0.257
ˈuː	ˈuː	0.635
ˈuː	ˈaʊ̯	0.304
ˈuː	ˈɔ	0.062
ˈyː	ˈyː	0.693
ˈyː	ˈɔʏ̯	0.278
ˈøː	ˈɔʏ̯	1.0
ˈœ	ˈœ	0.574
ˈœ	ˈø	0.287
ˈœː	ˈøː	0.815
ˈœː	ˈœː	0.151
ˈɒː	ˈoː	1.0
ˈɔ	ˈɔ	0.71
ˈɔ	ˈʏ	0.104
ˈɔ	ˈaʊ̯	0.096
ˈɔ	ˈʊ	0.069
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɛ	ˈɛ	0.552
ˈɛ	ˈeː	0.142
ˈɛ	ˈœː	0.105
ˈɛ	ˈø	0.082
ˈɛ	ˈeɪ̯	0.08
ˈɛɪ̯	ˈɛɪ̯	0.5
ˈɛː	ˈeː	0.648
ˈɛː	ˈøː	0.189
ˈɛː	ˈɛ	0.13
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	0.829
ˈʊ	ˈaʊ̯	0.093
ˈʊ	ˈuː	0.075
ˈʏ	ˈʏ	1.0
