Catalan	Campidanese	probability
ˈɛ_w	ˈɛ	1.0
ˈɔ_w	ˈɔ_i	1.0
ˈɔ_r	ɾ_ˈo	1.0
ˈa_#>	ˈa_i_#>	1.0
ʤ	-	1.0
ʎ_#>	ɖː_u_#>	1.0
ʃ	ʃ	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ə_r	ɾ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
w_ɾ	ɾ	1.0
t_ə	t_a	1.0
t_#>	#>	1.0
s_ə	s_i	1.0
r_n	r_u	1.0
r_#>	ɾ_u_#>	1.0
p	p	1.0
n_ə	n_a	1.0
n_#>	n_t_u_#>	1.0
m_#>	m_i_n_i_#>	1.0
m	m	1.0
l_ə	ɖː_a	1.0
l_t	t_ɛ	1.0
k_l	k_ɾ	1.0
k_#>	ɣ_u_#>	1.0
j_t	t_u	1.0
j	-	1.0
i	i	1.0
f	f	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
k	k	0.947
b	b	0.917
ˈa	ˈa	0.891
ʒ	ʤ	0.846
ð	ð	0.818
ˈi	ˈi	0.808
t	t	0.792
ɡ	ɡ	0.778
l_#>	l_u_#>	0.778
d	d	0.75
s	s	0.725
ə	a	0.714
ɾ	ɾ	0.704
n	n	0.688
ˈu	ˈu	0.667
ˈi_#>	ˈi_n_i_#>	0.6
z	z	0.6
s_#>	z_ŭ_#>	0.6
β	β	0.571
ɲ	n_ʤ	0.556
l	l	0.556
ˈo	ˈu	0.538
ˈɔ	ˈo	0.517
ɾ_ə	ɾ_u	0.5
ɣ	ɣ	0.5
ɣ	-	0.5
r	r	0.474
#>	u_#>	0.464
ˈe	ˈɛ	0.459
ʎ	ɭː	0.438
<#_ə	<#	0.438
β	-	0.429
#>	i_#>	0.429
r	ɾ	0.421
ˈɔ	ˈɔ	0.414
w	u	0.412
ˈi_#>	ˈi_n_u_#>	0.4
z	-	0.4
s_#>	z_ĭ_#>	0.4
ˈɛ	ˈɛ	0.355
u	u	0.35
l	ɾ	0.333
n	nː	0.312
<#_ə	<#_a	0.312
u	ɔ	0.3
ˈɛ	ˈi	0.29
ˈu	ˈɔ	0.25
ʎ	u	0.25
ɾ_ə	u	0.25
ɾ_ə	i	0.25
u	o	0.25
d	-	0.25
ˈe	ˈi	0.243
w	w	0.235
ˈo	ˈɔ	0.231
ˈo	ˈo	0.231
ˈɛ	ˈe	0.226
ɲ	nː	0.222
ɲ	n	0.222
ɡ	-	0.222
l_#>	i_#>	0.222
ʎ	ɣ_u	0.188
ð	-	0.182
ə	i	0.179
w	ʒ_i	0.176
w	i	0.176
ˈe	ˈe	0.162
ʒ	-	0.154
ˈe	ˈa	0.135
ʎ	ɣ	0.125
t	ð_u	0.125
<#_ə	<#_ˈa	0.125
<#_ə	<#_i	0.125
ˈi	ˈe	0.115
ɾ	ɛ_ɾ	0.111
ɾ	-	0.111
l	-	0.111
ˈa	ˈa_n	0.109
r	-	0.105
u	-	0.1
ˈu	ˈu_n	0.083
t	ð_i	0.083
b	-	0.083
s	z	0.078
ˈi	-	0.077
ɾ	u	0.074
ˈɔ	-	0.069
ˈɛ	ˈɔ	0.065
ˈɛ	i	0.065
s	ʧ	0.059
s	ɔ_z	0.059
k	k_ɾ	0.053
