Slovenian	Slovak	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ	ɦ	1.0
ɛ	ɛ	1.0
ə́_r	ˈr̩	1.0
ə̀	-	1.0
ɔ́ː_w	ˈɫ̩	1.0
ɔ́	ʊ̯ˈɔ	1.0
ɔ̀ː	ˈɔ	1.0
ɔ	ɔ	1.0
z	z	1.0
x	x	1.0
t_i	c	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
óː_k	ˈɔ_x	1.0
óː_#>	ɔ_#>	1.0
òː	ˈɔ	1.0
o	ˈɔ	1.0
m	m	1.0
k	k	1.0
íː	ˈi	1.0
ìː	ˈi	1.0
e	ˈɛ	1.0
b	b	1.0
áː	ˈa	1.0
á	ˈa	1.0
a	a	1.0
<#_t	<#_c	1.0
#>	iː_#>	1.0
r	r	0.862
t	t	0.741
ʋ	ʋ	0.739
óː	ˈɔ	0.714
àː	ˈa	0.714
d	d	0.706
ɛ̀ː	ˈɛ	0.667
n	n	0.611
w	ɫ	0.6
i	-	0.6
èː	ɪ̯ˈɛ	0.583
éː	ˈɛ	0.571
ʧ	ʧ	0.5
ʧ	ʦ	0.5
j	j	0.5
j	-	0.5
ə	-	0.455
l	ɫ	0.44
w	ʎ	0.4
i	i	0.4
n	ɲ	0.389
ə	ɛ	0.364
ɛ̀ː	ˈa	0.333
l	l	0.32
d	ɟ	0.294
óː	ˈu	0.286
àː	ˈaː	0.286
ʋ	v	0.261
t	c	0.259
èː	ˈɛ	0.25
ə	ɔ	0.182
èː	ɪ̯ˈa	0.167
l	ʎ	0.16
éː	ˈa	0.143
éː	ɪ̯ˈɛ	0.143
éː	ɛ	0.143
r	ˈr̩	0.138
l	d_ɫ	0.08
