Slovenian	Slovak	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ	ɦ	1.0
ɛ̀ː	ˈɛ	1.0
ɛ	ɛ	1.0
ə́_r	ˈr̩	1.0
ə_r	ˈr̩	1.0
ɔ́ː_w	ˈɫ̩	1.0
ɔ́	ʊ̯ˈɔ	1.0
ɔ̀ː	ˈɔ	1.0
ɔ	ɔ	1.0
z	z	1.0
w_#>	ɫ_#>	1.0
t_i	c	1.0
s	s	1.0
r	r	1.0
p	p	1.0
òː	ˈɔ	1.0
o	ˈɔ	1.0
m	m	1.0
l_ɛ́	l	1.0
íː	ˈi	1.0
ìː	ˈi	1.0
e	ˈɛ	1.0
b	b	1.0
áː	ˈa	1.0
á	ˈa	1.0
a	a	1.0
<#_t	<#_c	1.0
<#_r	<#_r	1.0
k	k	0.87
x	x	0.75
t	t	0.741
ʋ	ʋ	0.739
àː	ˈa	0.714
d	d	0.706
n	n	0.611
i	-	0.6
èː	ɪ̯ˈɛ	0.583
éː	ˈɛ	0.571
ʧ	ʧ	0.5
ʧ	ʦ	0.5
w	ʎ	0.5
w	l	0.5
óː	ˈɔ	0.5
j	j	0.5
j	-	0.5
l	ɫ	0.478
ə	ɛ	0.4
ə	-	0.4
i	i	0.4
n	ɲ	0.389
óː	ɔ	0.357
d	ɟ	0.294
àː	ˈaː	0.286
ʋ	v	0.261
l	l	0.261
t	c	0.259
x	x_iː	0.25
èː	ˈɛ	0.25
ə	ɔ	0.2
l	ʎ	0.174
èː	ɪ̯ˈa	0.167
óː	ˈu	0.143
éː	ˈa	0.143
éː	ɪ̯ˈɛ	0.143
éː	ɛ	0.143
k	x	0.13
l	d_ɫ	0.087
