American English	Gothic	probability
b	b	0.936
b	t	0.064
d	d	0.493
d	θ	0.391
d	ð	0.06
f	f	0.869
f	l_b	0.082
h	h	1.0
i	j	0.663
i	a	0.337
j	j	0.771
j	ˈɔː	0.229
k	k	0.848
k	h	0.152
kʰ	k	0.817
kʰ	kʷ	0.183
l	l	0.955
m	m	0.912
m	-	0.088
n	n	0.918
oʊ̯	r	1.0
p	p	1.0
s	s	1.0
t	t	0.722
t	h_t	0.254
tʰ	t	0.934
tʰ	b	0.066
v	β	0.61
v	f	0.266
v	h	0.124
w	w	0.803
w	ʍ	0.122
w	-	0.052
z	s	1.0
ð	θ	0.622
ð	ð	0.378
ŋ	ŋ	0.861
ŋ	h	0.139
ə	-	0.568
ə	u	0.285
ə	ˈɛː	0.147
ɚ	a	0.424
ɚ	r	0.209
ɚ	-	0.133
ɚ	oː	0.113
ɚ	w	0.054
ɚ	iː	0.052
ɡ	ɡ	0.914
ɡ	d	0.062
ɫ	l	0.525
ɫ	ɡ_l	0.331
ɫ	lː	0.103
ɹ	r	0.958
ɾ	i	0.843
ɾ	t	0.157
ʃ	s	0.81
ʃ	z	0.19
ʧ	k	1.0
ˈaɪ̯	ˈi	0.307
ˈaɪ̯	ˈiː	0.297
ˈaɪ̯	ˈiu̯	0.117
ˈaɪ̯	ˈɔː	0.093
ˈaɪ̯	ˈɛ	0.072
ˈaɪ̯	ˈa	0.057
ˈaɪ̯	ˈoː	0.057
ˈaʊ̯	ˈu	0.621
ˈaʊ̯	ˈuː	0.379
ˈeɪ̯	ˈa	0.845
ˈeɪ̯	ˈi	0.155
ˈi	ˈɔː	0.241
ˈi	ˈiu̯	0.2
ˈi	ˈi	0.181
ˈi	ˈeː	0.113
ˈi	ˈiː	0.099
ˈi	ˈa	0.068
ˈi	ˈoː	0.05
ˈoʊ̯	ˈɛː	0.576
ˈoʊ̯	ˈa	0.164
ˈoʊ̯	ˈu	0.161
ˈoʊ̯	ŋ	0.099
ˈu	ˈoː	0.288
ˈu	-	0.224
ˈu	ˈeː	0.156
ˈu	ˈu	0.096
ˈu	ˈa	0.095
ˈu	ˈuː	0.068
ˈæ	ˈa	0.924
ˈæ	-	0.076
ˈɑ	ˈa	0.622
ˈɑ	ˈɛ	0.282
ˈɑ	ˈu	0.054
ˈɔ	ˈɔ	0.422
ˈɔ	ˈa	0.279
ˈɔ	ˈi	0.187
ˈɔ	ˈɔː	0.112
ˈɛ	ˈa	0.263
ˈɛ	ˈi	0.194
ˈɛ	ˈɔ	0.17
ˈɛ	ˈɛ	0.11
ˈɛ	ˈɛː	0.091
ˈɝ	ˈɔ	0.77
ˈɝ	ˈɛ	0.23
ˈɪ	ˈi	0.757
ˈɪ	ˈiː	0.122
ˈɪ	ˈɛ	0.076
ˈʊ	ˈu	0.664
ˈʊ	ˈoː	0.336
ˈʌ	ˈu	0.547
ˈʌ	-	0.115
ˈʌ	ˈeː	0.083
ˈʌ	ˈa	0.058
ˈʌ	ˈoː	0.05
θ	θ	0.712
θ	n_θ	0.288
