Saterland Frisian	Limburgish	probability
a	j	0.5
a	ə	0.5
b	b	0.952
b	-	0.051
d	t	0.418
d	d	0.412
d	-	0.152
f	v	0.899
f	f	0.058
f	ˈv	0.045
h	ɦ	1.0
j	-	0.554
j	ˈeː	0.209
j	ɣ	0.122
j	j	0.095
j_ˈoː	ˈiː	0.373
j_ˈoː	ˈi	0.183
k	k	0.934
k	-	0.056
k	ɦ	0.032
k_s	s	1.0
l	l	0.893
l	-	0.056
m	m	1.0
n	n	0.772
n	-	0.204
p	p	0.977
p	t	0.038
r	ʀ	0.982
s	z	0.452
s	s	0.44
s	k	0.071
s	ʦ	0.033
s_k	s	0.494
s_k	ʃ	0.488
s_t	s	1.0
t	t	0.663
t	-	0.238
t	d	0.095
v	β	0.82
v	-	0.086
v	v	0.083
w	f	0.392
w	v	0.221
w	β	0.221
x	x	0.719
x	f	0.094
x	ŋ	0.082
x	k	0.054
x	-	0.047
z	s	0.591
z	-	0.232
z	z	0.142
ŋ	ŋ	1.0
ə	ə	0.566
ə	-	0.402
ə	j	0.029
ɡ	ɣ	1.0
ɣ	ɣ	0.677
ɣ	v	0.113
ɣ	x	0.068
ɣ	ɡ	0.062
ɣ	k	0.06
ɪ	ə	0.8
ɪ	ɪ	0.2
ɫ	l	1.0
ˈa	ˈɑ	0.425
ˈa	ˈɛ	0.28
ˈa	ˈɪ	0.28
ˈaː	ˈɑ	0.293
ˈaː	ˈɛː	0.243
ˈaː	ˈɑː	0.215
ˈaːi̯	ˈaː	0.683
ˈaːi̯	ˈeː	0.221
ˈaːu̯	ˈeː	0.324
ˈaːu̯	ˈœ	0.16
ˈeː	ˈɛː	0.306
ˈeː	ˈi	0.2
ˈeː	ˈeː	0.111
ˈeː	ˈæ	0.078
ˈeː	ˈɛːi̯	0.078
ˈeːu̯	ˈeː	1.0
ˈi	ˈiː	0.436
ˈi	ˈeː	0.397
ˈi	ˈɪ	0.085
ˈi	ˈi	0.069
ˈiː	ˈiː	0.284
ˈiː	ˈɒː	0.15
ˈiː	ˈɪː	0.15
ˈiː	ˈæː	0.131
ˈiː	ˈi	0.069
ˈiːu̯	ˈeː	0.242
ˈoː	ˈu	0.201
ˈoː	-	0.166
ˈoː	ˈɒː	0.14
ˈoː	ˈɔː	0.136
ˈoː	ˈi	0.077
ˈoːu̯	ˈʊː	0.284
ˈoːu̯	ˈɑː	0.118
ˈoːu̯	ˈɔ	0.115
ˈoːu̯	ˈoː	0.1
ˈoːu̯	ˈɔː	0.093
ˈu	ˈʊː	0.322
ˈu	ˈoː	0.197
ˈu	ˈyː	0.182
ˈu	ˈuː	0.111
ˈuː	ˈuː	0.291
ˈuː	ˈoː	0.125
ˈuː	ˈøː	0.125
ˈuː	ˈœi̯	0.107
ˈuː	ˈʊː	0.107
ˈyː	ˈœi̯	0.574
ˈyː	ˈʏː	0.282
ˈœː	ˈøː	1.0
ˈɔ	ˈɔ	0.433
ˈɔ	ˈaː	0.195
ˈɔ	ˈɪː	0.107
ˈɔ	ˈɑ	0.104
ˈɔ	ˈɪ	0.073
ˈɔː	ˈaː	0.308
ˈɔː	ˈɑ	0.194
ˈɔː	ˈeː	0.093
ˈɔː	ˈɒː	0.093
ˈɔː	ˈɪ	0.07
ˈɔːɪ̯	ˈɛːi̯	0.242
ˈɛ	ˈɑ	0.346
ˈɛ	ˈɛː	0.173
ˈɛ	ˈæː	0.122
ˈɛ	ˈœ	0.122
ˈɛ	ˈɛ	0.083
ˈɛɪ̯	ˈøː	0.252
ˈɛɪ̯	ˈɒː	0.166
ˈɛɪ̯	ˈi	0.153
ˈɛɪ̯	ˈeː	0.126
ˈɛɪ̯	ˈuː	0.071
ˈɛː	ˈœ	0.237
ˈɛː	ˈaː	0.136
ˈɛː	ˈʏ	0.136
ˈɛː	ˈæ	0.101
ˈɛː	ˈæː	0.101
ˈɪ	ˈɪː	0.374
ˈɪ	ˈi	0.144
ˈɪ	-	0.095
ˈɪ	ˈʏ	0.095
ˈɪ	ˈɛ	0.088
ˈʊ	ˈʊː	0.252
ˈʊ	ˈɔ	0.162
ˈʊ	ˈæ	0.081
ˈʊ	ˈɪ	0.081
ˈʊ	ˈʊ	0.081
