Scots	East Low German	probability
b	b	1.0
d	d	0.53
d	t	0.416
d_ə	æ	1.0
e	-	0.561
e	n	0.425
f	f	1.0
h	h	1.0
i	ɪ	0.49
j	j	0.562
j	ˈiː	0.416
k	k	0.729
k	kʰ	0.17
k	ç	0.083
k_s	s	1.0
kʰ	kʰ	0.715
kʰ	f	0.28
l	l	1.0
m	m	0.938
m	-	0.061
n	n	0.919
n	-	0.074
p	p	0.851
p	b	0.123
r	-	0.326
r	æ	0.316
r	r	0.316
r_t	t	0.118
s	z	0.334
s	s	0.324
s	ʃ	0.305
t	t	0.783
t	-	0.119
t	t_n	0.095
tʰ	tʰ	0.867
tʰ	b	0.114
v	m	0.437
v	f	0.138
w	v	0.766
w	w	0.126
w	r	0.058
w	-	0.05
x	x	0.655
x	ç	0.306
z	n	0.239
z	s	0.239
z	z	0.239
ð	ɾ	0.691
ð	d	0.173
ð	n	0.117
ŋ	ŋ	1.0
ə	æ	0.678
ə	-	0.211
ə	ɾ	0.055
ə	ˈɛ	0.055
əi̯	ɪ	0.49
ɡ	ɡ	0.441
ɡ	-	0.211
ɡ	j	0.194
ɡ	k	0.07
ɡ	ç	0.07
ɪ	-	0.608
ɪ	æ	0.259
ɫ	l	1.0
ɹ	r	0.118
ʃ	ʃ	1.0
ʍ	v	1.0
ʧ	kʰ	0.803
ʧ	k	0.082
ˈa	ˈœ	1.0
ˈaːɪ̯	ˈuː	0.323
ˈaːɪ̯	ˈiː	0.158
ˈe	ˈae̯	0.32
ˈe	ˈa	0.183
ˈe	ˈɒː	0.177
ˈe	ˈaʊ̯	0.105
ˈe	ˈɪ	0.056
ˈe	ˈyː	0.056
ˈei̯	ˈaʊ̯	0.302
ˈei̯	ˈuː	0.132
ˈei̯	ˈoː	0.115
ˈei̯	ˈyː	0.087
ˈei̯	ˈiː	0.066
ˈei̯	ˈœ	0.066
ˈei̯	ˈaː	0.057
ˈei̯	-	0.055
ˈei̯	ˈœː	0.055
ˈeː	ˈɛ	0.644
ˈeː	ˈa	0.111
ˈeː	ˈɒː	0.111
ˈi	ˈeː	0.263
ˈi	ˈɛ	0.17
ˈi	ˈaʊ̯	0.148
ˈi	ˈiː	0.148
ˈi	ˈɔʏ̯	0.096
ˈiː	ˈae̯	0.204
ˈiː	ˈɔʏ̯	0.168
ˈiː	ˈaʊ̯	0.146
ˈiː	ˈiː	0.115
ˈiː	ˈɒː	0.076
ˈiː	ˈeː	0.066
ˈiː	ˈaɪ̯	0.056
ˈiː	ˈɛɪ̯	0.056
ˈiː	ˈɔ	0.055
ˈø	ˈaʊ̯	0.771
ˈø	ˈɒː	0.104
ˈø	ˈɛː	0.101
ˈɑ	ˈa	0.582
ˈɑ	ˈœ	0.119
ˈɑ	ˈaː	0.108
ˈɑ	ˈɒː	0.076
ˈɑ	ˈɪ	0.051
ˈɑː	ˈa	0.359
ˈɑː	ˈa_l	0.162
ˈɑː	ˈɔ	0.162
ˈɑː	ˈae̯	0.141
ˈɑː	ˈaʊ̯	0.079
ˈɑː	ˈeː	0.064
ˈɔ	ˈuː	0.346
ˈɔ	ˈɔ	0.282
ˈɔ	ˈʊ	0.214
ˈɔ	ˈɛː	0.084
ˈɔ	ˈœː	0.069
ˈəi̯	ˈiː	0.575
ˈəi̯	ˈɪ	0.158
ˈəi̯	ˈyː	0.083
ˈəi̯	ˈøː	0.063
ˈəi̯	ˈɛː	0.062
ˈɛ	ˈae̯	0.264
ˈɛ	ˈɛ	0.174
ˈɛ	ˈiː	0.14
ˈɛ	ˈɛː	0.122
ˈɛ	ˈɪ	0.094
ˈɛ	ˈa	0.066
ˈɛ	ˈoː	0.062
ˈɛ	ˈaː	0.05
ˈɛ_r	ˈaː	1.0
ˈɪ	ˈɪ	0.379
ˈɪ	ˈa	0.126
ˈɪ	ˈʏ	0.119
ˈɪ	ˈaʊ̯	0.098
ˈɪ	ˈiː	0.058
ˈɪ	ˈɛ	0.053
ˈʉ	ˈuː	0.505
ˈʉ	ˈʊ	0.246
ˈʉ	-	0.082
ˈʉ	ˈaʊ̯	0.067
ˈʉ	ˈœː	0.053
ˈʉ	ˈɒː	0.052
ˈʌ	ˈʊ	0.71
ˈʌ	ˈɔ	0.136
ˈʌ	ˈaː	0.092
ˈʌʉ̯	ˈœː	0.425
ˈʌʉ̯	ˈɔ	0.239
ˈʌʉ̯	ˈiː	0.135
θ	d	0.911
θ	n	0.071
