Eastphalian	Eastphalian	probability
ˈɪ_l	ˈɛː_l	1.0
ˈɛɪ̯_#>	ˈi_#>	1.0
ˈɛə̯	ˈaː	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈɛː	1.0
ˈa_l	ˈaː	1.0
ɣ̊	ɣ̊	1.0
ɣ_ə	ɣ̊	1.0
ɣ	ɣ	1.0
ɡ	-	1.0
ə_#>	#>	1.0
ɒː	i	1.0
ɐ_t	ʀ_t	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
w	β	1.0
v̥	v̥	1.0
v_ə	v̥	1.0
v_n	v_ə	1.0
t_ə_#>	j_#>	1.0
s_t	ʀ_s	1.0
r_ˈøː	ʀ	1.0
r	ʀ	1.0
p	p	1.0
n_ə	n	1.0
k	k	1.0
h	ɦ	1.0
b_m	p_ə	1.0
b	b	1.0
<#_ˈeo̯	<#	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
t	t	0.953
d	d	0.935
l	l	0.929
d̥	d̥	0.926
m	m	0.917
v	β	0.913
ˈʏ	-	0.818
f	v	0.774
ˈɔʏ̯	ˈøː	0.714
ˈiː	ˈiː	0.714
x	x	0.714
s	s	0.688
ˈeː	ˈeː	0.667
ˈeo̯	ˈu	0.667
ɪ	ə	0.667
j	ɣ	0.667
ˈɒː	ˈɒː	0.625
ç	ɣ̊	0.6
ˈuː	ˈuː	0.571
ŋ	ŋ	0.538
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈɛ	-	0.5
ˈaʊ̯	ˈʊː	0.5
ʃ	ʃ	0.5
ʃ	s	0.5
ɐ	ʀ	0.5
#>	j_#>	0.5
#>	d̥_#>	0.5
n	n	0.486
n	ə	0.446
ˈɪ	ˈɪː	0.44
ˈɛɪ̯	ˈeː	0.44
ˈa	ˈɑ	0.44
ˈʊ	ˈʊː	0.429
ə	-	0.429
ˈɔ	ˈɔ	0.417
ˈɔ	-	0.417
ç	-	0.4
ˈʊ	ˈɔ	0.357
ˈeː	-	0.333
ˈeo̯	ˈɔː	0.333
ɪ	ɪ	0.333
j	-	0.333
ɐ	ə_ʀ	0.325
ˈɛɪ̯	ˈɛː	0.32
s	z	0.312
ŋ	ŋ_k	0.308
ˈɛ	ˈeː	0.3
ˈoː	ˈʊː	0.3
ˈoː	-	0.3
ˈɔʏ̯	-	0.286
ˈuː	ˈɔu̯	0.286
ˈiː	-	0.286
ə	ɣ̊	0.286
ə	k	0.286
x	-	0.286
ˈɒː	ˈaː	0.25
ˈaʊ̯	ˈoː	0.25
ˈaʊ̯	-	0.25
ˈa	ˈaː	0.24
f	v̥	0.226
ˈɪ	ˈɪ	0.2
ˈɛ	ˈɛː	0.2
ˈoː	ˈɔː	0.2
ˈoː	ˈøː	0.2
ˈa	ˈɑː	0.2
ˈʏ	ˈʏː	0.182
ɐ	ʀ_ə	0.175
ˈɔ	ˈʊː	0.167
ˈɪ	ˈɛ	0.16
ŋ	ɣ_ə	0.154
ˈʊ	-	0.143
ˈuː	-	0.143
ˈɒː	-	0.125
ˈɪ	ˈeː	0.12
ˈa	ˈæː	0.12
v	β_ˈæ	0.087
m	v_ə	0.083
ˈɪ	-	0.08
ˈɛɪ̯	ˈɛːi̯	0.08
ˈɛɪ̯	ˈiː	0.08
ˈɛɪ̯	ˈi	0.08
d̥	-	0.074
ˈʊ	ˈʊ	0.071
n	n_d	0.068
d	j_ə	0.065
