Belarusian	Belarusian	probability
ˈ	-	1.0
ʧ_a	ʧ_ɛ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ̥	c	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʌ_ɫ	l	1.0
ʌ	l	1.0
ʃ	ʃ_c	1.0
ɵ_ˈ	ɛ	1.0
ɵ	-	1.0
ɫ_#>	l_#>	1.0
ɨ_ˈ	ɪ	1.0
ɣʲ	ou̯_ɦ	1.0
ɣ	ɦ	1.0
ɛ	ɛ	1.0
æ_lʲ	ɛ_l	1.0
z̥	z̥	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
v_o	o	1.0
v	v	1.0
t_ɨ	t_iː	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r_a	r̝_ɛ	1.0
r_#>	r_#>	1.0
pʲ	p	1.0
p	p	1.0
o_ˈ	ɛ	1.0
nʲ_#>	n_#>	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	m	1.0
lʲ	l	1.0
kʲ	k	1.0
j_æ	j_a	1.0
j	j	1.0
i_ˈ	ɪ	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_r	r	1.0
a_d	o_d	1.0
<#_ʦʲ	<#_t	1.0
<#_w	<#_v	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_a	<#_o	1.0
k	k	0.92
m	m	0.846
a_#>	o_#>	0.846
a_ˈ	a	0.833
x	x	0.818
ɨ	iː	0.769
ʦʲ	t	0.762
u	u	0.692
ɫ	l	0.684
e	ɛ	0.677
i	iː	0.667
ʣʲ	d	0.6
vʲ	v	0.538
æ	ɛ	0.533
r	r	0.5
o	o	0.471
vʲ	v_j	0.462
a	a	0.424
ʣʲ	ɟ	0.4
w	l̩	0.333
w	f	0.333
w	-	0.333
u	ou̯	0.308
a	ɛ	0.242
ʦʲ	c	0.238
a	o	0.212
r	r̩	0.208
æ	iː	0.2
x	k	0.182
o	uː	0.176
o	-	0.176
r	r̝	0.167
i	ɪ	0.167
i	-	0.167
a_ˈ	aː	0.167
e	iː	0.161
ɨ	-	0.154
m	m̩	0.154
a_#>	#>	0.154
æ	a	0.133
æ	-	0.133
r	r̝̊	0.125
ɫ	ɛː	0.105
ɫ	d_l	0.105
ɫ	-	0.105
e	-	0.097
k	-	0.08
ɨ	ɪ	0.077
e	ɛː	0.065
a	aː	0.061
a	-	0.061
o	l_u	0.059
o	aː	0.059
o	a	0.059
