Sichuanese	Cantonese	probability
⁵⁵	⁵⁵	1.0
ʨ	k	1.0
ɚ	j_iː	1.0
ŋ	ŋ	1.0
z	j	1.0
x_w	w	1.0
w_⁵⁵	w_⁵⁵	1.0
w_a	aː	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
k	k	1.0
j_ɛ	iː	1.0
j_ə	ɐ	1.0
j_a	iː	1.0
f	f	1.0
a_n	n	1.0
a_j	ɔː_j	1.0
<#_ŋ_a	<#_ɔː	1.0
<#_w	<#_m	1.0
<#_n	<#_l	1.0
<#_i	<#_j_ɐ	1.0
w	w	0.833
ʦ	ʦ	0.8
ə	ɐ	0.75
z̩	iː	0.75
x	h	0.75
n	n	0.719
⁵³	³⁵	0.679
ɕ	s	0.667
kʰ	h	0.667
ʦʰ	ʦʰ	0.6
²¹	²¹	0.574
j	j	0.571
²¹³	²²	0.542
e	yː_t̚	0.5
e	-	0.5
o	ʊ	0.429
j	-	0.429
ʦʰ	ʧʰ	0.4
²¹³	³³	0.375
a	aː	0.375
ʨʰ	ʦʰ	0.333
ʨʰ	h	0.333
ʨʰ	-	0.333
ɥ	yː	0.333
ɥ	j	0.333
ɥ	-	0.333
ɛ	ɛː	0.333
ɛ	ɐ_k̚	0.333
ɛ	aː_k̚	0.333
ɕ	h	0.333
y	ɵ_ɥ	0.333
y	w_ɐ	0.333
y	j_yː	0.333
u	ʊ_k̚	0.333
kʰ	f	0.333
⁵³	¹³	0.321
i	ɐ_j	0.308
o	ɔː	0.286
ə	-	0.25
z̩	-	0.25
x	f	0.25
a	ɔː	0.25
i	ɪ	0.231
i	ɐ	0.231
i	e_j	0.231
ʦ	ʧ	0.2
w	ɵ	0.167
u	ɐ_t̚	0.167
u	uː	0.167
u	o_w	0.167
u	-	0.167
n	m	0.156
²¹	³	0.148
²¹	²	0.148
o	ɔː_k̚	0.143
o	u	0.143
n	ŋ	0.125
a	o	0.125
a	œː	0.094
a	aː_t̚	0.094
²¹	⁵	0.093
²¹³	-	0.083
a	yː	0.062
