Swedish	Nynorsk Norwegian	probability
ˈʏ	ˈʏ	1.0
ˈɑː_d	ˈɑː	1.0
ˈœː	ˈœʏ̯	1.0
ˈœ_tː	ˈøː_t	1.0
ˈøː_d	ˈæʉ̯	1.0
ˈæː	ˈæː	1.0
ˈæ	-	1.0
ˈyː	ˈyː	1.0
ˈuː_#>	ˈʉː_#>	1.0
ˈiː	ˈiː	1.0
ʊ	-	1.0
ʈː	-	1.0
ɳ	ɾ_n	1.0
ɪ	-	1.0
ɧ	ʂ	1.0
ɡ	ɡ	1.0
ɛ_r	ɾ	1.0
ɛ_l	l	1.0
ɖ	ɾ	1.0
ɕ	ç	1.0
ŋː	ŋː	1.0
ŋ_n	n	1.0
ŋ	ŋ	1.0
tʰ	tʰ	1.0
sː	-	1.0
s	s	1.0
r_ˈœ	ɾ	1.0
r_a	ɾ_ɑ	1.0
r	ɾ	1.0
pː	-	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	nː	1.0
n_d	nː	1.0
m	m	1.0
lː	lː	1.0
l_d	lː	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ˈʉː	ˈyː	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_r	<#_ɾ	1.0
#>	ɑ_#>	1.0
n	n	0.923
ˈʉː	ˈʉː	0.913
ˈa	ˈɑ	0.913
t	t	0.893
ˈɪ	ˈɪ	0.875
ˈuː	ˈuː	0.867
ˈoː	ˈoː	0.833
v	ʋ	0.833
j	j	0.778
k	k	0.762
ɡː	ɡː	0.714
mː	m	0.714
d	d	0.71
ˈɵ	ˈʉ	0.706
ˈɑː	ˈɑː	0.692
ɛ	e	0.684
ˈɛ	ˈɛ	0.643
a	ɑ	0.636
ˈeː	ˈæɪ̯	0.615
tː	ʰtː	0.6
kː	k	0.6
ˈɔ	ˈɔ	0.556
ˈʊ	ˈʉ	0.5
ˈʊ	-	0.5
ˈɛː	ˈeː	0.5
ˈœ	ˈʏ	0.5
ˈœ	-	0.5
ˈøː	ˈøː	0.471
kː	ʰkː	0.4
ˈeː	ˈeː	0.385
ɛ	ə	0.316
a	e	0.291
d	-	0.29
ɡː	jː	0.286
mː	mː	0.286
ˈɛː	ˈɑː	0.25
ˈɛː	-	0.25
ˈøː	ˈæʉ̯	0.235
ˈɔ	ˈʉ	0.222
ˈɔ	-	0.222
j	-	0.222
tː	tː	0.2
tː	t	0.2
ˈɵ	ˈɔ	0.176
ˈøː	ˈœ	0.176
ˈoː	-	0.167
ˈɑː	ˈɑ	0.154
ˈɑː	-	0.154
ˈɛ	ˈæɪ̯	0.143
k	ç	0.143
ˈuː	ˈʊ	0.133
ˈɪ	-	0.125
ˈɵ	-	0.118
ˈøː	-	0.118
ˈɛ	ˈeː	0.107
ˈɛ	-	0.107
t	ʰtː	0.107
k	-	0.095
ˈʉː	ˈuː	0.087
ˈa	-	0.087
v	kʰ_ʋ	0.083
v	-	0.083
n	nː	0.077
a	-	0.073
