Gallurese	Sicilian	probability
ˈu	ˈu	1.0
ˈa_i_#>	ˈa_#>	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʒ	-	1.0
ʃː	ʃː	1.0
ŋ	ŋ	1.0
z	z	1.0
w	w	1.0
v	v	1.0
r_a	r_a	1.0
pː	p	1.0
p_j	c	1.0
p	p	1.0
o	ʊ	1.0
nː	nː	1.0
n_d	nː	1.0
n	n	1.0
mː	-	1.0
l_p	ɾ_p	1.0
l_a	l_a	1.0
kː	-	1.0
k_r	k_ɾ	1.0
k	k	1.0
i_ʧ	ɪ_ɕ	1.0
i_d	ˈi_ɾ	1.0
f_j	ç	1.0
f	f	1.0
e	-	1.0
cː	cː	1.0
bː	-	1.0
a_r	ɪ_ɾ	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_ʐ	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
t	t	0.949
ˈa	ˈa	0.947
a	a	0.942
ʧ	ɕ	0.889
m	m	0.88
u	ʊ	0.826
ˈɔ	ˈɔ	0.757
ɡ	ɡ	0.75
tː	tː	0.75
ˈi	ˈi	0.738
s	s	0.731
ɟ	j	0.714
ɖː	ɖː	0.7
l	l	0.688
j	j	0.667
i	ɪ	0.651
b	b	0.619
ˈe	ˈɛ	0.609
ɲː	ɲː	0.6
ɟː	-	0.6
sː	-	0.6
r	ɾ	0.6
ˈo	ˈu	0.571
d	d	0.533
ˈɛ	ˈɛ	0.517
#>	ɪ_#>	0.517
rː	ʐː	0.5
rː	ɾ_n	0.5
d	ɾ	0.467
ˈo	ˈɔ	0.429
#>	ɾ_ɪ_#>	0.414
ɟː	j	0.4
sː	sː	0.4
ˈɛ	ˈi	0.379
j	-	0.333
ɟ	ʤ	0.286
b	v	0.286
r	r	0.28
ɡ	-	0.25
ɲː	n_ɕ	0.2
ɲː	-	0.2
ɖː	ɟː	0.2
s	ʃ	0.192
i	i	0.19
ˈe	ˈi	0.174
ˈɔ	ˈu	0.162
ˈi	ɪ	0.143
ˈe	ɪ	0.13
tː	t	0.125
tː	-	0.125
l	ɾ	0.125
r	ɽ	0.12
m	mː	0.12
ʧ	-	0.111
l	r	0.104
ˈɛ	-	0.103
ɖː	-	0.1
b	-	0.095
ˈe	ˈɛ_ʦː	0.087
ˈɔ	ˈo	0.081
s	-	0.077
u	u	0.074
ˈi	i	0.071
#>	a_#>	0.069
ˈa	ˈɛ	0.053
t	ʈ	0.051
