Friulian	Brazilian Portuguese	probability
a	a	0.515
a	-	0.107
a	u	0.103
a	e	0.091
a	ɐ̃	0.084
aː	n	1.0
b	b	0.724
b	v	0.192
b	k	0.084
c	k	0.874
d	d	0.814
d	ʤ	0.064
d	h	0.053
e	ɐ	0.79
e	-	0.099
f	f	0.737
f	v	0.208
i	u	0.341
i	-	0.244
i	ˈe	0.18
i	i	0.119
i	e	0.056
j	-	0.636
j	ˈɛ	0.083
j	j	0.066
j	ʎ	0.065
j	l	0.063
j	ˈi	0.055
k	k	0.764
k	ɡ	0.171
k	ʃ	0.065
l	l	0.444
l	w	0.241
l	-	0.166
l	ʎ	0.097
m	m	0.896
m	-	0.097
n	-	0.397
n	n	0.252
n	j̃	0.167
n	w̃	0.089
o	o	0.373
o	õ	0.278
o	-	0.228
o	ˈũ	0.064
p	p	0.848
p	v	0.076
r	ɾ	0.541
r	ɦ	0.176
r	h	0.159
r	-	0.105
s	s	0.433
s	ʃ	0.372
s	e_ʃ	0.072
s	-	0.071
t	t	0.443
t	d	0.171
t	ʧ	0.138
t	-	0.127
t	ʤ	0.121
u	o	0.435
u	u	0.198
u	-	0.09
u	e	0.09
u	ĩ	0.086
u	ɐ	0.067
v	v	0.762
v	b	0.152
v	-	0.082
w	ˈo	0.328
w	w	0.287
w	ˈɔ	0.239
w	-	0.098
z	z	0.437
z	s	0.308
z	ʒ	0.208
ŋ	-	0.541
ŋ	ĩ	0.203
ŋ	ˈĩ	0.203
ɟ	ɡ	1.0
ɡ	ɡ	0.882
ɡ	k	0.064
ɲ	j̃	0.669
ɲ	n	0.166
ɲ	-	0.148
ʤ	ʒ	0.815
ʤ	t	0.079
ʧ	s	0.478
ʧ	j	0.187
ʧ	-	0.105
ʧ	t	0.105
ʧ	z	0.066
ˈa	ˈɐ̃	0.494
ˈa	ˈa	0.255
ˈa	ˈẽ	0.053
ˈaː	ˈa	0.874
ˈaː	ɐ	0.064
ˈaː	a	0.062
ˈe	ˈe	0.633
ˈe	ˈẽ	0.142
ˈe	-	0.133
ˈeː	ˈɛ	0.444
ˈeː	ˈe	0.387
ˈeː	ˈi	0.169
ˈi	ˈĩ	0.396
ˈi	ˈẽ	0.252
ˈi	ˈi	0.151
ˈi	ɐ	0.061
ˈiː	ˈi	0.51
ˈiː	ˈɛ	0.358
ˈiː	j	0.093
ˈo	ˈo	0.408
ˈo	ˈɐ̃	0.192
ˈo	ˈu	0.083
ˈo	ˈũ	0.083
ˈo	ˈõ	0.052
ˈoː	ˈɔ	0.591
ˈoː	ˈo	0.345
ˈoː	j	0.064
ˈu	ˈũ	0.458
ˈu	ˈu	0.281
ˈu	u	0.164
ˈu	ˈẽ	0.063
ˈuː	ˈu	0.564
ˈuː	ˈo	0.25
ˈuː	ˈɔ	0.187
ˈɔ	ˈõ	0.56
ˈɔ	j	0.272
ˈɔ	ˈu	0.073
ˈɔː	ˈo	1.0
ˈɛ	ˈɛ	0.548
ˈɛ	ˈe	0.192
ˈɛ	ˈẽ	0.178
ˈɛː	u	1.0
