Afrikaans	Alsatian	probability
ˈɪø̯	-	1.0
ˈɔː	-	1.0
ˈœu̯	ˈɒ_l	1.0
ˈœ	ˈu	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyː	ˈiː	1.0
ˈu_j	ˈʊː	1.0
ɦ	h	1.0
ə_ŋ	i	1.0
v̥_#>	b̥_#>	1.0
v̥	f	1.0
v	ʋ	1.0
s_v	ʃ_w	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
m	m	1.0
j	j	1.0
d̥_#>	#>	1.0
d_r	t_ʁ	1.0
b	b̥	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
r	ʁ	0.964
ɫ	l	0.947
n	n	0.867
d	d̥	0.864
ŋ	ŋ	0.833
ˈə	ˈi	0.789
ə	ə	0.692
k	kʰ	0.684
ˈa	ˈɒ	0.619
ˈɛ	ˈe	0.6
ˈœɪ̯	ˈyː	0.6
ˈɔ	ˈu	0.571
ˈu	ˈʊː	0.545
d̥	t	0.542
χ	ɡ̊	0.5
k_#>	k_ə_#>	0.5
k_#>	#>	0.5
d̥	d̥	0.458
p	f	0.444
t	ʦ	0.424
ˈɑː	ˈoː	0.412
ˈɛ	ˈi	0.4
ˈœɪ̯	-	0.4
s	s	0.395
ˈəɪ̯	ˈəi̯	0.385
ˈəɪ̯	ˈiː	0.385
ˈi	ˈiː	0.385
ˈa	ˈɒː	0.381
ˈɔ	ˈo	0.333
t	s	0.333
p	f_ə	0.333
ˈʊə̯	ˈoː	0.316
ˈɑː	ˈɒ	0.294
ˈu	ˈiː	0.273
s	ʃ	0.263
s	z̥	0.237
ˈəɪ̯	-	0.231
ˈi	ˈeː	0.231
ˈi	ˈei̯	0.231
p	p͡f	0.222
ˈʊə̯	ˈʊː	0.211
ˈʊə̯	-	0.211
k	ʃ	0.211
ˈɪə̯	ˈəi̯	0.2
ˈɪə̯	ˈæː	0.2
ˈɪə̯	-	0.2
χ	x	0.182
ˈu	-	0.182
ˈɑː	-	0.176
ŋ	-	0.167
ˈʊə̯	ˈo	0.158
ˈi	-	0.154
t	t	0.152
χ	k	0.136
d	t	0.136
ˈɪə̯	ˈi	0.133
ˈɪə̯	ˈei̯	0.133
ˈɪə̯	ˈe	0.133
ˈɑː	ˈæː	0.118
ə	n	0.115
ə	-	0.115
ˈʊə̯	ˈeː	0.105
ˈə	ˈiː	0.105
ˈə	ˈe	0.105
k	i_ʃ	0.105
ˈɔ	-	0.095
χ	ʃ_t	0.091
χ	-	0.091
t	s_ə	0.091
ə	i	0.077
n	ˈi_n	0.067
n	-	0.067
ɫ	ˈi_l	0.053
s	ʃ_t	0.053
s	k_s	0.053
