Swabian	Swabian	probability
ˈʌ	ˈiː_ʁ	1.0
ˈɪ	ˈi	1.0
ˈɛ_m	e	1.0
ˈɔə̯	ˈʊː	1.0
ˈuː	ˈøː	1.0
ˈuə̯	ˈʊː	1.0
ˈu	ˈu	1.0
ˈiː	-	1.0
ˈiə̯	ˈiː	1.0
ˈeə̯	n	1.0
ˈaː_ɡ	ˈaː_ʋ	1.0
ʦ	ʦ	1.0
ʣ	ʦ	1.0
ʕ	ʁ	1.0
ʃ	ʃ	1.0
ʁ	ʁ	1.0
ɪ	i	1.0
ɡ_#>	#>	1.0
ŋ	ŋ	1.0
x	x	1.0
t	t	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
eə̯	eː	1.0
e	-	1.0
b̥͡f	p͡f	1.0
<#_ʁ	<#_ʁ	1.0
#>	n_#>	1.0
a	ə	0.917
ˈa	ˈɒ	0.88
ʋ	ʋ	0.864
b	b̥	0.846
ˈɔe̯	ˈəi̯	0.818
s	s	0.791
ˈəi̯	ˈiː	0.778
ʌ	ə_ʁ	0.76
ˈɔː	ˈoː	0.714
ˈe	ˈi	0.714
ˈoː	ˈoː	0.667
ˈaː	ˈɒː	0.667
ç	ʃ	0.667
ˈi	ˈi	0.636
ˈɔ	ˈo	0.6
ˈo	ˈu	0.6
ˈao̯	ˈyː	0.6
d	t	0.528
ˈɛː	ˈæː	0.5
ˈɛː	ˈæ	0.5
ˈeː	ˈeː	0.5
ˈɛ	ˈe	0.462
ˈae̯	ˈi	0.444
ɡ	ɡ̊	0.444
d	d̥	0.444
ˈɔ	ˈu	0.4
ˈo	ˈo	0.4
ˈaː	ˈɒ_n	0.333
ç	i_ʃ	0.333
ˈɛ	-	0.308
ɡ	k	0.296
ˈɔː	ˈɒ	0.286
ˈe	ˈe	0.286
ˈoː	-	0.25
ˈeː	ˈæː	0.25
ˈeː	ˈi	0.25
ʌ	ʁ	0.24
ˈɛ	ˈæ	0.231
ˈəi̯	ˈi	0.222
ˈae̯	ˈiː	0.222
ˈae̯	-	0.222
s	z̥	0.209
ɡ	j	0.185
ˈɔe̯	ˈei̯	0.182
ˈi	ˈiː	0.182
ˈi	ˈe	0.182
ʋ	w	0.136
ˈao̯	ˈʊː	0.133
ˈao̯	-	0.133
ˈa	ˈɒː	0.12
b	-	0.115
ˈae̯	ˈai̯	0.111
ˈoː	ˈø	0.083
a	n	0.083
ɡ	i	0.074
ˈao̯	ˈœ	0.067
ˈao̯	ˈøi̯	0.067
