Doculect,Branch,Classification,Notes
Aromanian,Eastern Romance,Romance > Balkan Romance
Asturian,Western Romance,Romance > Western Romance > Ibero-Romance
Bellunese,Western Romance,Romance > Western Romance > Gallo-Romance > Gallo-Italic
Brazilian Portuguese,Western Romance,Romance > Western Romance > Ibero-Romance
Campidanese,Sardinian,Romance > Sardinian,
Catalan,Western Romance,Romance > Western Romance > Gallo-Romance > Occitano-Romance
Corsican,Italo-Dalmatian,Romance > Italo-Dalmatian > Italo-Romance
Dalmatian,Italo-Dalmatian,Romance > Italo-Dalmatian > Dalmatian
Eastern Lombard,Western Romance,Romance > Western Romance > Gallo-Romance > Gallo-Italic,Bergamasco
Emilian,Western Romance,Romance > Western Romance > Gallo-Romance > Gallo-Italic
Franco-Provençal,Western Romance,Romance > Western Romance > Gallo-Romance > Oïl-Arpitan,Savoyard Arpitan
French,Western Romance,Romance > Western Romance > Gallo-Romance > Oïl-Arpitan
Friulian,Western Romance,Romance > Western Romance > Gallo-Romance > Rhaeto-Romance
Galician,Western Romance,Romance > Western Romance > Ibero-Romance
Gascon,Western Romance,Romance > Western Romance > Gallo-Romance > Occitano-Romance
Italian,Italo-Dalmatian,Romance > Italo-Dalmatian > Italo-Romance,Standard Italian
Ladin,Western Romance,Romance > Western Romance > Gallo-Romance > Rhaeto-Romance
Latin,Italic,Italic > Latin,Classical Latin
Ligurian,Western Romance,Romance > Western Romance > Gallo-Romance > Gallo-Italic
Logudorese,Sardinian,Romance > Sardinian,
Neapolitan,Italo-Dalmatian,Romance > Italo-Dalmatian > Italo-Romance
Occitan,Western Romance,Romance > Western Romance > Gallo-Romance > Occitano-Romance,Lengadocien
Piedmontese,Western Romance,Romance > Western Romance > Gallo-Romance > Gallo-Italic
Portuguese,Western Romance,Romance > Western Romance > Ibero-Romance
Québécois French,Western Romance,Romance > Western Romance > Gallo-Romance > Oïl-Arpitan
Romanian,Eastern Romance,Romance > Balkan Romance
Romansch,Western Romance,Romance > Western Romance > Gallo-Romance > Rhaeto-Romance
Sicilian,Italo-Dalmatian,Romance > Italo-Dalmatian > Italo-Romance
Spanish,Western Romance,Romance > Western Romance > Ibero-Romance,Standard European Spanish
Valencian,Western Romance,Romance > Western Romance > Gallo-Romance > Occitano-Romance
Venetian,Western Romance,Romance > Western Romance > Gallo-Romance > Gallo-Italic
Western Lombard,Western Romance,Romance > Western Romance > Gallo-Romance > Gallo-Italic,Western Lombard
