Alsatian	East Low German	probability
b̥	b	0.878
b̥	-	0.068
b̥	f	0.056
d̥	d	0.834
d̥	ɾ	0.084
d̥	-	0.073
e	-	0.49
f	f	0.744
f	p	0.126
f	-	0.08
h	h	1.0
i	ɪ	0.432
i	-	0.347
i	æ	0.184
j	j	0.683
j	ç	0.221
j_ə	ŋ	1.0
k	ç	0.485
k	-	0.288
k	k	0.162
kʰ	kʰ	1.0
l	l	0.979
m	m	0.985
n	n	0.921
p	p	0.49
p͡f	p	1.0
s	z	0.384
s	t	0.316
s	s	0.265
t	t	0.623
t	d	0.202
t	ɾ	0.087
t	-	0.051
v	ŋ	0.361
v	ɡ	0.361
v	-	0.203
w	w	0.629
w	ˈʏ	0.361
x	x	0.811
x	k	0.149
ŋ	ŋ	1.0
ə	n	0.377
ə	-	0.374
ə	m	0.241
ə_ʁ	æ	1.0
ɡ̊	ɡ	0.523
ɡ̊	j	0.362
ɡ̊	kʰ	0.092
ʁ	r	0.714
ʁ	-	0.247
ʁ_ə	æ	0.49
ʃ	ʃ	0.652
ʃ	s	0.131
ʃ	k	0.1
ʃ	ç	0.066
ʃ_t	ç	1.0
ʋ	v	0.929
ʋ	-	0.071
ʦ	tʰ	0.559
ʦ	t	0.439
ˈai̯	ˈɔʏ̯	1.0
ˈaː	ˈɒː	0.5
ˈaː	ˈɛ	0.5
ˈe	ˈɛː	0.213
ˈe	ˈɪ	0.213
ˈe	-	0.122
ˈe	ˈiː	0.122
ˈe	ˈœ	0.122
ˈe	ˈœː	0.122
ˈe	ˈɛ	0.067
ˈei̯	ˈae̯	0.517
ˈei̯	ˈiː	0.45
ˈeː	ˈae̯	0.303
ˈeː	ˈeː	0.178
ˈeː	ˈɔʏ̯	0.122
ˈeː	ˈyː	0.117
ˈeː	ˈɛ	0.117
ˈi	ˈɪ	0.595
ˈi	ˈʏ	0.094
ˈi	ˈɛ	0.062
ˈiː	ˈiː	0.303
ˈiː	ˈae̯	0.184
ˈiː	ˈɔʏ̯	0.161
ˈiː	ˈɪ	0.137
ˈiː	ˈyː	0.092
ˈiː	ˈɛː	0.055
ˈiː_ʁ	ˈiː	1.0
ˈo	ˈʊ	0.601
ˈo	ˈɔ	0.222
ˈo	ˈɒː	0.169
ˈo_ʁ	ˈuː	0.24
ˈoː	ˈɒː	0.384
ˈoː	ˈaʊ̯	0.354
ˈoː	ˈɔ	0.114
ˈoː	ˈœː	0.085
ˈoː_ʁ	ˈoː	1.0
ˈu	ˈʊ	0.397
ˈu	ˈɔ	0.237
ˈu	ˈʏ	0.19
ˈu	ˈøː	0.083
ˈu	ˈoː	0.064
ˈyː	ˈuː	0.889
ˈyː	ˈʊ	0.085
ˈæ	ˈɛː	0.45
ˈæ	ˈɛ	0.208
ˈæ	ˈaː	0.192
ˈæː	ˈɛ	0.359
ˈæː	ˈae̯	0.179
ˈæː	ˈɛɪ̯	0.179
ˈæː	ˈoː	0.121
ˈæː	ˈɒː	0.121
ˈø	ˈɒː	0.24
ˈøi̯	ˈuː	0.49
ˈøː	ˈaʊ̯	0.66
ˈøː	ˈʊ	0.158
ˈœ	ˈaʊ̯	1.0
ˈɒ	ˈa	0.63
ˈɒ	ˈɒː	0.135
ˈɒ	ˈaʊ̯	0.085
ˈɒ	ˈɔ	0.085
ˈɒː	ˈa	0.331
ˈɒː	ˈɛː	0.266
ˈɒː	ˈɒː	0.175
ˈɒː	ˈaː	0.149
ˈɒː_ʁ	ˈaː	1.0
ˈɔi̯	ˈuː	0.24
ˈəi̯	ˈae̯	0.827
ˈəi̯	ˈɪ	0.138
ˈɛ	ˈɛ	0.49
ˈʊː	ˈaʊ̯	1.0
