Scots	Bokmål Norwegian	probability
b	b	1.0
d	d	0.637
d	-	0.299
d	lː	0.041
d	tʰ	0.03
e	-	0.644
e	ə	0.235
f	f	0.817
f	ʋ	0.111
f	-	0.052
h	h	0.958
h	j	0.046
i	ə	0.482
j	ˈoː	0.306
j	-	0.202
j	ˈyː	0.202
j	ɡ	0.128
j	j	0.085
k	k	0.633
k	kʰ	0.131
k	lː	0.131
k	ç	0.087
kʰ	kʰ	1.0
l	l	0.851
l	lː	0.07
l	ə_l	0.039
l	l_ə	0.036
m	m	0.825
m	mː	0.094
m	ʂ	0.071
n	n	0.608
n	-	0.214
n	nː	0.118
n	ŋ	0.037
n	nː_ə	0.031
n_d	nː	1.0
p	p	0.883
p	ɾ	0.083
pʰ	pʰ	1.0
r	ɾ	0.829
r	-	0.087
r	ɳ	0.031
r_d	ɾ	1.0
r_n	ɳ	1.0
s	s	0.874
s	sː	0.065
s	ʂ	0.056
t	t	0.713
t	-	0.156
t	tː_ə	0.046
t	ʈ	0.046
t	d	0.041
tʰ	tʰ	0.896
tʰ	ç	0.092
v	ʋ	0.631
v	-	0.161
v	m	0.097
w	ʋ	0.603
w	-	0.283
w	ˈuː	0.096
x	k	0.28
x	s	0.28
x	-	0.168
x	j	0.168
x_t	tː	1.0
z	s	1.0
ç	ɡ	1.0
ð	-	0.558
ð	nː	0.232
ð	d	0.147
ŋ	ŋː	0.89
ŋ	ŋ	0.097
ŋ_k	kː	0.482
ə	ə	0.436
ə	-	0.258
ə	ɾ_ə	0.147
ə	ˈæː	0.053
ə	ˈɛ	0.052
əi̯	i	0.45
əi̯	ə	0.297
əi̯	ɪ	0.178
ɡ	ɡ	0.523
ɡ	ɡː	0.232
ɡ	-	0.118
ɡ	j	0.078
ɪ	-	0.561
ɪ	ɪ	0.425
ɫ	-	0.277
ɫ	lː	0.277
ɹ	ɾ	1.0
ʃ	s_k	0.596
ʃ	ʃ	0.185
ʃ	f	0.097
ʍ	ʋ	1.0
ʧ	k	0.5
ʧ	ç	0.5
ˈa	ˈɔ	0.112
ˈaːɪ̯	ˈʉː	0.365
ˈaːɪ̯	ˈɛ	0.176
ˈe	ˈæɪ̯	0.233
ˈe	ˈɑː	0.178
ˈe	ˈeː	0.149
ˈe	ˈyː	0.138
ˈe	ˈøː	0.082
ˈei̯	ˈøː	0.427
ˈei̯	-	0.113
ˈei̯	ˈyː	0.079
ˈei̯	ˈeː	0.075
ˈei̯	j	0.059
ˈeː	ˈɑː	0.45
ˈeː	ˈoː	0.205
ˈeː	ˈiː	0.189
ˈi	ˈœ	0.488
ˈi	ˈøː	0.28
ˈi	ˈæː	0.168
ˈiː	ˈeː	0.264
ˈiː	ˈøː	0.194
ˈiː	ˈyː	0.086
ˈiː	ˈʏ	0.076
ˈiː	ˈiː	0.075
ˈoe̯	ˈɛ	1.0
ˈø	ˈuː	0.642
ˈø	ˈoː	0.214
ˈø	ˈɑ	0.108
ˈø_d	ˈuː	1.0
ˈɑ	ˈɑ	0.584
ˈɑ	ˈɛ	0.187
ˈɑ	ˈoː	0.123
ˈɑ	ˈɑː	0.088
ˈɑː	ˈɑ	0.427
ˈɑː	ˈɑ_l	0.172
ˈɑː	-	0.114
ˈɑː	ˈɑː	0.114
ˈɑː	ˈeː	0.083
ˈɔ	ˈuː	0.361
ˈɔ	ˈœ	0.159
ˈɔ	ˈʊ	0.092
ˈɔ	-	0.072
ˈɔ	ˈʉ	0.072
ˈəi̯	ˈiː	0.678
ˈəi̯	ˈyː	0.107
ˈəi̯	ˈɪ	0.083
ˈəi̯	ˈæɪ̯	0.078
ˈəi̯	-	0.044
ˈɛ	ˈɛ	0.157
ˈɛ	ˈʉː	0.133
ˈɛ	ˈæː	0.107
ˈɛ	ˈɑ	0.107
ˈɛ	ˈoː	0.071
ˈɪ	ˈɪ	0.301
ˈɪ	ˈʏ	0.137
ˈɪ	ˈiː	0.134
ˈɪ	ˈɑ	0.104
ˈɪ	ˈɛ	0.077
ˈɪ_ð	ˈuː	1.0
ˈʉ	ˈʉː	0.54
ˈʉ	ˈʉ	0.217
ˈʉ	-	0.148
ˈʉ	ˈʊ	0.085
ˈʌ	ˈʉ	0.407
ˈʌ	ˈʊ	0.171
ˈʌ	ˈɔ	0.161
ˈʌ	ˈæ	0.097
ˈʌʉ̯	ˈʉ	0.53
ˈʌʉ̯	ˈiː	0.141
ˈʌʉ̯	ˈoː	0.078
θ	tʰ	0.54
θ	nː	0.188
θ	-	0.163
θ	d	0.077
