Meixian	Meixian	probability
⁵	²	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ɛ_t̚	k̚	1.0
ɛ	ɐ	1.0
ŋ	ŋ	1.0
ç	h_ɵ	1.0
¹¹	²¹	1.0
²	³	1.0
z̩	iː	1.0
w	w	1.0
s	s	1.0
p̚	t̚	1.0
pʰ	pʰ	1.0
o	ɔː	1.0
n̩	n_ɵ	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
kʰ	h	1.0
k	k	1.0
j_ɛ	yː	1.0
i_n	ɪ_ŋ	1.0
h	h	1.0
e	ɐ	1.0
c	k	1.0
<#	<#_j	1.0
n	n	0.966
ʊ	ʊ	0.867
⁴⁴	⁵⁵	0.846
t̚	t̚	0.846
ɕ	s	0.833
j_a	iː	0.778
³¹	³⁵	0.769
f	f	0.75
ʦ	ʦ	0.667
tʰ	tʰ	0.667
ɲ	j	0.625
p	p	0.625
ɔ	ɔː	0.619
ʦʰ	ʦʰ	0.6
a	aː	0.562
j	j	0.524
⁵³	²²	0.5
ʋ	w	0.5
ʋ	m	0.5
t	ʦ	0.5
t	t	0.5
cʰ	kʰ	0.5
cʰ	k	0.5
¹	³	0.476
j	-	0.476
⁵³	³³	0.423
ʦʰ	ʧʰ	0.4
u	ɐ	0.4
¹	⁵	0.381
ɲ	-	0.375
p	f	0.375
ʦ	ʧ	0.333
tʰ	t	0.333
i	ɐ	0.269
f	-	0.25
³¹	¹³	0.231
i	e_j	0.231
j_a	yː	0.222
u	ɵ	0.2
u	ɐ_w	0.2
u	uː	0.2
ɔ	œː	0.19
ɕ	ʃ	0.167
a	ɛː	0.156
⁴⁴	¹³	0.154
t̚	k̚	0.154
¹	²	0.143
ʊ	u	0.133
a	o	0.125
i	ɥ	0.115
i	ɐ_j	0.115
i	iː	0.115
ɔ	yː	0.095
ɔ	-	0.095
a	-	0.094
⁵³	⁵⁵	0.077
i	j_ɐ	0.077
i	j	0.077
a	yː	0.062
