Italian	Occitan	probability
f	f	1.0
lː	l	1.0
m	m	1.0
nː	n	1.0
rː	r	1.0
s	s	1.0
z	z	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʤː	-	1.0
a	-	0.061
b	β	0.11
bː	-	0.1
e	s_e	0.051
j	l	0.661
kː	k	0.381
n	-	0.101
o	i	0.121
p	p	0.771
u	y	0.311
ˈa	-	0.081
j	j	0.272
l	-	0.132
n	n	0.872
r	ɾ	0.532
tː	ʧ	0.392
ɡ	ɡ	0.442
ʎː	l	0.262
ʧ	-	0.122
ʧ	s	0.732
ˈe	ˈe	0.872
ˈo	ˈu	0.902
ˈɔ	ɥ_ˈɛ	0.122
d	-	0.403
d	d	0.533
l	l	0.803
o	u	0.123
o	e	0.383
u	e	0.163
v	v	0.723
w	-	0.233
ˈɔ	ˈɔ	0.583
a	ɔ	0.74
d	z	0.064
i	i	0.134
k	k	0.904
o	-	0.094
p	s_#>	0.054
t	ð	0.364
ʤ	ʒ	0.694
ʧː	-	0.144
ˈu	ˈu	0.174
e	a	0.05
e	-	0.145
l	ɾ	0.065
p	β	0.145
ˈɛ	j_ˈɛ	0.085
o	w	0.246
u	a_w	0.526
ɡ	ɣ	0.16
ʤ	-	0.306
ʧ	z	0.146
ʧː	s	0.856
ˈɛ	ˈɛ	0.886
i	-	0.447
j	-	0.067
t	t	0.567
v	β	0.277
w	ɥ	0.767
ˈi	ˈe	0.087
ˈi	ˈi	0.907
ˈu	<#_e	0.247
ˈu	ˈy	0.547
ˈɔ	ˈa_w	0.157
i	e	0.418
r	j_ɾ	0.068
tː	t	0.608
ɡ	-	0.18
ɡ	k	0.218
ʎː	ʎ	0.738
ˈe	ˈɛ	0.128
ˈo	ˈɔ	0.098
ˈɔ	ˈu	0.098
a	a	0.189
b	b	0.89
bː	β	0.9
e	j	0.069
e	e	0.639
kː	-	0.619
r	-	0.069
r	r	0.309
t	j	0.069
ˈa	ˈa	0.899
