Scots	Scots	probability
θ	θ	1.0
ˈʌu̯	ˈəʊ̯	1.0
ˈɪ_ç	ˈaɪ̯	1.0
ˈɪ_t	t	1.0
ˈɪ_r	ˈɜː	1.0
ˈɪ_d	ˈɪ_d	1.0
ˈɛː	ˈeɪ̯	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɔɪ̯	ˈɔː	1.0
ˈøː	ˈuː	1.0
ˈoː	-	1.0
ˈo_r	ˈɔː	1.0
ˈo	ˈɒ	1.0
ˈiː_r	ˈɪ_ə	1.0
ˈeː_r	ˈɑː	1.0
ˈaːɪ̯	ˈaɪ̯	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ʧ	-	1.0
ʤ	ʤ	1.0
ʍ	w	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɛ	-	1.0
ə_r	ə	1.0
ə_#>	əʊ̯_#>	1.0
ŋ	ŋ	1.0
ð	ð	1.0
ç	-	1.0
z	z	1.0
x	-	1.0
v	v	1.0
tʰ	tʰ	1.0
t	t	1.0
r_ˈɪ	ɜː	1.0
r_ˈi	ɹ_ˈe	1.0
pʰ	pʰ	1.0
p	p	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
d_ˈiː	d_ˈɪ	1.0
d	d	1.0
b	b	1.0
<#_k	<#	1.0
s	s	0.962
n	n	0.95
w	w	0.926
ɡ	ɡ	0.867
ˈʌ	ˈɐ	0.846
ˈi	ˈiː	0.846
ˈiː	ˈiː	0.75
ˈu	ˈaʊ̯	0.714
r	ɹ	0.667
l	l	0.66
ˈɪ	ˈɪ	0.647
ˈø	ˈuː	0.636
ˈɛ	ˈe	0.6
ˈuː	ˈaʊ̯	0.5
ˈa	ˈæ	0.385
ˈa	-	0.385
ˈø	-	0.364
ə	ə	0.364
ˈe	ˈəʊ̯	0.35
l	ɫ	0.34
ˈe	ˈeɪ̯	0.3
ˈɑː	ˈəʊ̯	0.286
ˈɑː	-	0.286
ə	ɪ	0.273
ˈuː	ˈʊ_ɫ	0.25
ˈuː	ˈuː	0.25
ˈiː	ˈaɪ̯	0.25
ˈa	ˈe	0.231
ˈɑː	ˈɑː	0.214
ˈɑː	ˈæ	0.214
ˈeː	ˈɛ	0.214
ˈeː	ˈəʊ̯	0.214
ˈeː	ˈeɪ̯	0.214
ˈeː	ˈe	0.214
ˈɪ	ˈɐ	0.206
r	ə	0.205
ˈɛ	ˈɑː	0.2
ˈe	ˈe	0.2
ə	ɡ	0.182
ə	-	0.182
ˈʌ	-	0.154
ˈe	-	0.15
ˈu	ˈɐ	0.143
ˈu	-	0.143
ˈeː	-	0.143
ɡ	ʤ	0.133
r	ˈɔː	0.128
ˈɛ	ˈɛ	0.1
ˈɛ	ˈeɪ̯	0.1
ˈɪ	ˈaɪ̯	0.088
ˈi	ˈɪ	0.077
ˈi	ˈe	0.077
w	-	0.074
ˈɪ	ˈɜː	0.059
