Neapolitan	Ligurian	probability
a	a	0.63
a	-	0.209
a	ɔː	0.065
b	b	1.0
bː	b	1.0
d	d	0.964
dː	d	1.0
e	e	0.339
e	ˈe	0.219
e	i	0.153
e	ˈeː	0.146
e	-	0.143
f	f	1.0
i	i	0.508
i	e	0.239
i	-	0.209
j	-	0.895
k	k	0.703
k	ɡ	0.206
kː	ʤ	0.739
kː	k	0.222
l	l	0.728
l	-	0.244
lː	l	0.77
lː	-	0.17
lː	ŋ	0.06
m	m	0.99
mː	m	1.0
n	ŋ	0.635
n	n	0.334
nː	n	0.628
nː	ŋ	0.273
nː	m	0.099
o	u	1.0
p	p	0.751
p	v	0.181
r	r	0.852
r	w	0.057
r	-	0.053
rː	r	1.0
s	s	0.915
s	z	0.054
sː	-	0.563
sː	ʃ	0.222
sː	s	0.125
sː	sː	0.09
t	t	0.61
t	-	0.351
tː	t	1.0
u	u	0.462
u	w	0.212
u	-	0.185
u	ˈa	0.092
v	v	0.822
v	b	0.123
w	-	0.694
w	ˈu	0.159
w	w	0.147
z	z	1.0
ŋ	ŋ	1.0
ə	u	0.34
ə	a	0.234
ə	-	0.212
ə	e	0.202
ɡ	ɡ	1.0
ɲː	ɲ	0.54
ɲː	ŋ_ʤ	0.292
ɲː	ʤ	0.095
ɲː	ŋ	0.072
ɾ	-	0.479
ɾ	r	0.453
ʃ	s	0.628
ʃ	ʒ	0.303
ʃ	ʃ	0.056
ʃː	ʃ	0.677
ʃː	ʧ	0.228
ʃː	s	0.095
ʎː	ʤ	1.0
ʤ	z	0.782
ʤ	ʒ	0.155
ʤ	-	0.063
ʤː	z	1.0
ʦ	s	1.0
ʦː	s	0.722
ʦː	ʒ	0.176
ʦː	z	0.102
ʧ	ʒ	1.0
ʧː	ʧ	1.0
ˈa	ˈa	0.526
ˈa	ˈaː	0.345
ˈa	ˈɛː	0.11
ˈe	ˈe	0.611
ˈe	ˈeː	0.208
ˈe	ˈɛː	0.093
ˈi	ˈi	0.423
ˈi	ˈe	0.23
ˈi	ˈiː	0.222
ˈo	ˈu	0.576
ˈo	ˈuː	0.36
ˈu	ˈy	0.285
ˈu	ˈu	0.285
ˈu	ˈyː	0.165
ˈu	ˈuː	0.094
ˈu	ˈø	0.055
ˈɔ	ˈɔː	0.488
ˈɔ	ˈɔ	0.152
ˈɔ	ˈøː	0.142
ˈɔ	ˈø	0.096
ˈɔ	j	0.061
ˈɔ	-	0.061
ˈɛ	ˈe	0.424
ˈɛ	ˈeː	0.236
ˈɛ	ˈɛː	0.179
ˈɛ	ˈi	0.096
ˈɛ	ˈɛ	0.054
