Belarusian	Belarusian	probability
ˈ	-	1.0
ʦ	ʦ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ʌ_ɫ	l	1.0
ʌ	-	1.0
ʉ	u	1.0
ʃ	ʂ	1.0
ʂ	ʂ	1.0
ɵ_ˈ	a	1.0
ɫ_#>	w_#>	1.0
ɫ	w	1.0
ɨ_ˈ	ɛ	1.0
ɣʲ	ɡ	1.0
ɣ	ɡ	1.0
ɛ_ˈ	ɛ	1.0
æ_ˈ	ɛ_w̃	1.0
z̥	z̥	1.0
z	z	1.0
xʲ	x	1.0
w_#>	f_#>	1.0
v_o	ɔ	1.0
v	v	1.0
u_ˈ	ɔ	1.0
t_a	t_a	1.0
t	t	1.0
sʲ	ɕ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_a	ʐ_ɛ	1.0
pʲ	p	1.0
p	p	1.0
o_ˈ	ɛ	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
i_ˈ	ɨ	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	a	1.0
a_d	ɔ_d	1.0
<#_ʦʲ	<#_ʨ	1.0
<#_w	<#_v	1.0
<#_j	<#_j	1.0
<#_a	<#_ɔ	1.0
<#	<#_j	1.0
ɨ	ɨ	0.903
ʦʲ	ʨ	0.889
a_#>	ɔ_#>	0.846
r	r	0.774
ʧ	ʈ͡ʂ	0.75
ʣʲ	ʥ	0.75
i	i	0.733
zʲ	ʑ	0.714
vʲ	v_j	0.667
e	ɛ	0.667
o	ɔ	0.618
e_ˈ	ɛ	0.609
ɵ	-	0.6
x	x	0.6
a_r	r	0.6
w	w	0.5
w	-	0.5
ɵ	u	0.4
æ	ɛ	0.4
x	ɡ̊	0.4
a_r	u_r	0.4
u	u	0.364
e	-	0.333
e_ˈ	a	0.304
a	ɛ	0.303
zʲ	-	0.286
u	ɔ_w̃	0.273
a	ɔ	0.273
a	a	0.273
i	-	0.267
o	u	0.265
ʧ	-	0.25
ʣʲ	d	0.25
æ	a	0.2
u	ɛ_ŋ	0.182
u	ɔ_m	0.182
vʲ	v	0.167
vʲ	f	0.167
a_#>	#>	0.154
æ	ɛ_ɲ	0.133
æ	j_a	0.133
æ	-	0.133
r	ʐ	0.129
o	-	0.118
ʦʲ	ɲ_ʨ	0.111
ɨ	-	0.097
r	ʐ̊	0.097
a	-	0.091
e_ˈ	j_a	0.087
a	u	0.061
