Ripuarian	Scots	probability
b	b	1.0
d	d	0.463
d	θ	0.317
d	ð	0.214
f	f	0.799
f	p	0.1
h	h	1.0
j	ɡ	0.552
j	j	0.329
j	-	0.098
k	d	0.276
k	k	0.249
k	kʰ	0.24
k	-	0.076
k	ɡ	0.058
k_ə	k	1.0
l	l	0.829
l	-	0.082
l	ɫ	0.076
l_ə	l	1.0
m	m	1.0
m_ə	m	0.492
n	n	0.74
n	-	0.259
p	p	0.561
p	d	0.276
s	s	0.618
s	t	0.32
s	-	0.06
s_ə	t	1.0
t	d	0.509
t	t	0.326
t	θ	0.12
v	v	0.618
v	ʍ	0.157
v	-	0.102
x	x	0.622
x	-	0.251
x	k	0.101
z	s	0.95
z	z	0.054
ŋ	ŋ	0.464
ŋ	n	0.461
ŋ	-	0.068
ŋ_ə	ŋ	1.0
ɐ	r	0.553
ɐ	ə	0.382
ɕ	-	0.454
ɕ	k	0.253
ɕ	x	0.241
ə	-	0.78
ə	ə	0.098
ə	ɪ	0.074
ə_l	l	1.0
ə_ɕ	əi̯	1.0
ɣ	-	1.0
ɪ	i	0.324
ɪ	ˈɪ	0.324
ʀ	r	0.936
ʃ	s	0.657
ʃ	ʃ	0.336
ʋ	w	0.911
ʋ	ʍ	0.085
ʦ	tʰ	0.553
ʦ	t	0.247
ʦ	r_t	0.183
ˈa	ˈɑ	0.394
ˈa	ˈɑː	0.238
ˈa	ˈe	0.107
ˈa	ˈeː	0.071
ˈa	ˈɪ	0.063
ˈa	ˈø	0.06
ˈa	ˈɛ	0.058
ˈa_l	ˈɑː	1.0
ˈaʊ̯	ˈei̯	0.67
ˈaʊ̯	ˈʉ	0.32
ˈaː	ˈe	0.296
ˈaː	ˈeː	0.145
ˈaː	ˈɑː	0.145
ˈaː	ˈɪ	0.113
ˈaː	ˈɑ	0.095
ˈaː	ˈɔ	0.095
ˈaː	ˈɛ	0.071
ˈe	ˈɪ	0.874
ˈe	ˈəi̯	0.11
ˈeɪ̯	ˈiː	0.53
ˈeɪ̯	ˈɛ	0.299
ˈeː	ˈe	0.299
ˈeː	ˈɛ	0.24
ˈeː	ˈiː	0.197
ˈeː	ˈɪ	0.096
ˈeː	ˈi	0.096
ˈeː	ˈɑː	0.055
ˈiː	ˈəi̯	0.405
ˈiː	ˈɑː	0.179
ˈiː	ˈɪ	0.135
ˈiː	ˈiː	0.101
ˈiː	ˈei̯	0.06
ˈiː	ˈʌʉ̯	0.06
ˈo	ˈʉ	0.375
ˈo	ˈiː	0.247
ˈo	ˈʌʉ̯	0.098
ˈo	ˈɔ	0.093
ˈo	ˈʌ	0.067
ˈoː	ˈø	0.209
ˈoː	ˈɔ_r	0.14
ˈoː	ˈɪ	0.119
ˈoː	ˈiː	0.113
ˈoː	ˈe	0.088
ˈoː	ˈei̯	0.088
ˈoː	ˈʉ	0.077
ˈoː	ˈeː	0.051
ˈoː	ˈɛ	0.051
ˈu	ˈʉ	0.392
ˈu	ˈʌ	0.392
ˈu	ˈɔ	0.125
ˈuː	ˈei̯	0.382
ˈuː	ˈʉ	0.333
ˈuː	ˈiː	0.12
ˈuː	ˈaːɪ̯	0.087
ˈuː	ˈe	0.056
ˈyː	ˈəi̯	0.463
ˈyː	ˈiː	0.131
ˈyː	ˈʉ	0.131
ˈyː	ˈei̯	0.069
ˈyː	ˈe	0.062
ˈøː	ˈei̯	0.253
ˈøː	ˈiː	0.235
ˈøː	ˈi	0.164
ˈøː	ˈɪ	0.164
ˈœ	ˈɪ	0.684
ˈœ	ˈaːɪ̯	0.107
ˈœ	ˈiː	0.101
ˈɔ	ˈɔ	0.58
ˈɔ	ˈʉ	0.192
ˈɔ	ˈø	0.08
ˈɔ	ˈei̯	0.064
ˈɔ	ˈʌʉ̯	0.064
ˈɔʏ̯	j	0.492
ˈɛ	ˈɛ	0.29
ˈɛ	ˈei̯	0.187
ˈɛ	ˈɑ	0.141
ˈɛ	ˈa	0.093
ˈɛ	ˈɪ	0.084
ˈɛ	ˈe	0.074
ˈɛ	ˈi	0.071
ˈɛː	ˈɛ	0.433
ˈɛː	ˈei̯	0.174
ˈɛː	ˈe	0.151
ˈɛː	ˈəi̯	0.088
ˈɛː	ˈʌ	0.067
ˈɛː	ˈɪ	0.065
ˈɪ	ˈɪ	0.621
ˈɪ	ˈei̯	0.1
ˈɪ	ˈɑː	0.096
ˈɪ	ˈiː	0.068
ˈɪ	ˈəi̯	0.068
ˈʊ	ˈʌ	0.574
ˈʊ	ˈɪ	0.282
ˈʏ	ˈəi̯	0.425
ˈʏ	-	0.24
ˈʏ	ˈʌʉ̯	0.136
ˈʏ_n	ˈɪ	0.492
