East Low German	West Flemish	probability
ˈɛː	ˈeː	1.0
ˈɔ_l	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈœː	ˈøː	1.0
ˈyː	ˈiə̯	1.0
ʃ_w	z_ʋ	1.0
ɾ_æ	ɾ	1.0
ɾ	d	1.0
ɪ	ə	1.0
z	z	1.0
x	h	1.0
v	ʋ	1.0
tʰ	t	1.0
r	ɾ	1.0
p	p	1.0
kʰ	k	1.0
k	k	1.0
b	b	1.0
#>	k_#>	1.0
n	n	0.926
ˈa	ˈɑ	0.909
æ	ɾ	0.9
m	m	0.87
h	-	0.867
ˈɒː	ˈɒː	0.857
ɡ	ɦ	0.833
f	v	0.788
ˈɪ	ˈɪ	0.778
ˈɛ	ˈæ	0.778
t	t	0.773
ŋ	ŋ	0.769
l	l	0.769
ˈɔʏ̯	ˈuə̯	0.714
ˈiː	ˈi	0.714
ʃ	s	0.682
ˈʏ	ˈœ	0.667
ˈʊ	ˈu	0.625
d	d	0.605
ˈuː	ˈyː	0.6
ˈaʊ̯	ˈuə̯	0.579
ç	h	0.538
ˈoː	ˈɒː	0.5
ˈoː	ˈoː	0.5
s	z̥	0.5
s	s	0.5
j	ɦ	0.5
j	j	0.5
ˈae̯	ˈiə̯	0.476
ˈaː	ˈæ_ɾ	0.429
ˈaʊ̯	ˈoː	0.421
ˈuː	ˈoː	0.4
d	d̥	0.395
ˈae̯	ˈɛː	0.381
ˈʊ	ˈœ	0.375
ˈʏ	ˈɪ	0.333
ʃ	ʃ_h	0.318
ˈɔʏ̯	ˈoː	0.286
ˈaː	ˈɒː	0.286
ˈaː	ˈɑ	0.286
ŋ	ɦ_n	0.231
ç	ɦ_ə	0.231
ç	k	0.231
l	w	0.231
t	d̥	0.227
ˈɪ	ˈɛ	0.222
ˈɛ	ˈeː	0.222
f	v̥	0.212
ɡ	ɦ_ə	0.167
ˈɒː	ˈoː	0.143
ˈiː	ˈæ	0.143
ˈiː	ˈiə̯	0.143
ˈae̯	ˈeː	0.143
h	ˈoː	0.133
m	v_n	0.13
æ	ɾ_ə	0.1
ˈa	ˈɒː	0.091
n	n_d	0.074
