West Frisian	West Frisian	probability
χ	χ	1.0
ˈɪə̯_l	ˈɑ_ɫ	1.0
ˈɪə̯_#>	ˈoː_d̥_#>	1.0
ˈɛ_j_#>	ˈɛi̯_#>	1.0
ˈɔu̯	ˈɑu̯	1.0
ˈøə̯	ˈi	1.0
ˈø	ˈaː	1.0
ˈyː	ˈœy̯	1.0
ˈy	-	1.0
ˈu̯o	ˈu	1.0
ˈuə̯	ˈu	1.0
ˈu	ˈɔ	1.0
ˈoː	ˈu	1.0
ʦ_j	d	1.0
ʦ	-	1.0
ʋ	ʋ	1.0
ɪ	ɪ	1.0
ɣ_j	χ_ə	1.0
ɣ	χ	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
r	ɾ	1.0
p	p	1.0
n_ə	n_d̥	1.0
m	m	1.0
k_ə	k	1.0
k_j	k_ə	1.0
k	k	1.0
j_ˈɪ	ˈi	1.0
j_ˈuə̯	ˈyː	1.0
j_ɪ	i	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈiː	<#_ˈɛi̯	1.0
<#_ɡ	<#_χ	1.0
<#_t	<#_d	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
l	ɫ	0.96
t	t	0.944
v	ʋ	0.818
n	n	0.774
s_#>	z̥_#>	0.75
ˈa	ˈɑ	0.737
ˈuː	ˈœy̯	0.692
ˈɛː	ˈɑ	0.667
ˈɛ	ˈɛ	0.643
s_k	s_χ	0.636
ˈɔ	ˈɔ	0.632
ˈɛi̯	-	0.625
ˈɔː	ˈɑ	0.6
ˈeː	ˈeː	0.6
#>	v̥_#>	0.6
s	z	0.535
ˈɪ	ˈɪ	0.5
z	χ	0.5
z	ə	0.5
ˈɪə̯	ˈoː	0.474
s	s	0.465
ˈi	ˈɛi̯	0.462
ˈiː	ˈɛi̯	0.455
ˈaː	ˈaː	0.429
ˈɔː	ˈɑu̯	0.4
ˈeː	ˈoː	0.4
#>	χ_#>	0.4
ˈi	ˈɪ	0.385
ˈɛi̯	ˈɛ	0.375
s_k	s	0.364
ˈɛ	-	0.357
ə	ə_n	0.351
ˈɛː	ˈʏ	0.333
ə	ə	0.312
j	-	0.308
ˈoə̯	ˈoː_ɾ	0.286
ˈaː	ˈɑ	0.286
ˈaː	ˈeː	0.286
ˈiə̯	ˈi	0.273
ˈiə̯	ˈeː	0.273
ˈiə̯	ˈaː	0.273
ˈɪə̯	ˈeː	0.263
s_#>	#>	0.25
ˈɪ	ˈɛ	0.231
j	ˈi	0.231
ˈoə̯	ˈoː	0.214
ə	-	0.208
ˈiː	ˈɪ	0.182
ˈiː	ˈi	0.182
ˈiː	-	0.182
ˈiə̯	ˈu	0.182
v	ə	0.182
ˈɪə̯	ˈi	0.158
ˈɔ	-	0.158
ˈa	ˈɛ	0.158
ˈuː	ˈɔ	0.154
ˈuː	ˈoː	0.154
ˈi	ˈeː	0.154
j	χ	0.154
j	ˈɛi̯	0.154
j	ˈoː	0.154
ˈoə̯	ˈɔ_ɾ	0.143
ˈoə̯	ˈɔ	0.143
ˈoə̯	ˈaː	0.143
n	n_d̥	0.132
ə	n	0.13
ˈɪ	ˈʏ	0.115
ˈɪə̯	ˈaː	0.105
ˈɔ	ˈɪ	0.105
ˈɔ	ˈɛ	0.105
ˈa	ˈaː	0.105
ˈɪ	ˈɛi̯	0.077
ˈɪ	ˈeː	0.077
ˈoə̯	ˈøː	0.071
n	-	0.057
t	ɾ_t	0.056
