Luxembourgish	Bokmål Norwegian	probability
b	b	1.0
d	d	0.529
d	tʰ	0.358
d	-	0.073
d	ç	0.036
d_ɐ	ɾ	1.0
e	ŋ	0.482
f	f	0.584
f	-	0.188
f	p	0.114
f	ʋ	0.069
f	pʰ	0.035
h	h	0.909
h	-	0.079
j	-	0.66
j	ˈʊ	0.153
k	ɡː	0.466
k	-	0.374
k	kː	0.055
k	k	0.051
kʰ	kʰ	0.833
kʰ	ç	0.134
l	l	0.81
l	lː	0.171
l	-	0.028
m	m	0.835
m	mː	0.148
m	ʂ	0.031
n	-	0.596
n	n	0.26
n	nː	0.119
n_t	nː	0.657
n_t	n	0.312
p	p	0.482
s	t	0.466
s	s	0.355
s	nː	0.06
s	sː	0.054
s	d	0.05
s	-	0.031
t	t	0.371
t	-	0.298
t	d	0.261
t	tː	0.06
v	ʋ	0.679
v	-	0.317
w	ʋ	0.533
w	ˈʉː	0.182
w	-	0.121
w	ˈuː	0.116
z	s	0.841
z	ʂ	0.152
ŋ	ŋː	0.723
ŋ	-	0.172
ŋ	nː	0.099
ŋ_k	kː	0.482
ɐ	ɾ	0.413
ɐ	ə_ɾ	0.272
ɐ	ɾ_ə	0.129
ɐ	-	0.11
ɐ	ˈæː	0.045
ɐ	ˈɛ	0.033
ɐ	lː	0.029
ɐ_t	ɾ	1.0
ɕ	k	0.366
ɕ	-	0.33
ɕ	ŋ	0.093
ɕ	s	0.072
ɕ	ɡ	0.072
ɕ	j	0.056
ɕ_t	tː	1.0
ə	ə	0.514
ə	-	0.375
ə	i	0.049
ə	ʋ	0.032
ə	ɪ	0.028
ɡ	ɡ	0.616
ɡ	j	0.296
ɡ	-	0.078
ʀ	ɾ	0.857
ʀ	ɳ	0.087
ʀ	-	0.045
ʃ	s	0.597
ʃ	s_k	0.293
ʃ	-	0.053
ʃ	f	0.046
ʃ	ʃ	0.03
ʑ	ɡ	0.482
ʦ	tʰ	0.539
ʦ	-	0.1
ʦ	ç	0.1
ʦ	tː	0.078
ʦ	ʈ	0.075
ʦ	t	0.057
ʦ	ʈː	0.045
ˈaː	ˈɑ	0.258
ˈaː	ˈɑː	0.131
ˈaː	ˈɛ	0.131
ˈaː	ˈɑ_ɾ	0.114
ˈaː	ˈuː	0.105
ˈaː	ˈøː	0.097
ˈaː	ˈœʏ̯	0.048
ˈaː	ˈeː	0.047
ˈaː	ˈœ	0.035
ˈaː	ˈɔ	0.031
ˈe	ˈiː	0.258
ˈe	ˈʏ	0.258
ˈe	ˈɪ	0.258
ˈe	ˈœ	0.148
ˈe	ˈʉ	0.05
ˈeː	ˈæɪ̯	0.47
ˈeː	ˈeː	0.189
ˈeː	ˈɛ	0.142
ˈeː	-	0.081
ˈeː	ˈœ	0.062
ˈi	ˈeː	0.154
ˈi	ˈiː	0.147
ˈi	ˈoː	0.139
ˈi	ˈʊ	0.139
ˈi	ˈyː	0.098
ˈi	ˈɪ	0.092
ˈiə̯	ˈeː	0.397
ˈiə̯	ˈæː	0.301
ˈiə̯	ˈɔ	0.119
ˈiə̯	ˈʉː	0.119
ˈiː	ˈɛ	0.346
ˈiː	ˈæ	0.119
ˈiː	ˈɪ	0.119
ˈiː	ˈyː	0.115
ˈiː	ˈʉː	0.082
ˈiː	ˈœ	0.079
ˈiː	ˈøː	0.038
ˈo	ˈʉ	0.513
ˈo	ˈʏ	0.133
ˈo	ˈœ	0.099
ˈo	ˈʉː	0.099
ˈo	ˈuː	0.088
ˈoː	ˈoː	0.738
ˈoː	ˈiː	0.117
ˈoː	ˈæɪ̯	0.105
ˈu	ˈuː	0.491
ˈu	ˈʉː	0.221
ˈu	ˈʊ	0.168
ˈu	ˈɑː	0.08
ˈuə̯	ˈɔ	0.392
ˈuə̯	ˈeː	0.217
ˈuə̯	ˈɑ	0.12
ˈuə̯	ˈɑː	0.047
ˈuː	ˈʊ	0.392
ˈuː	ˈuː	0.217
ˈuː	ˈɔ	0.217
ˈæ	ˈoː	0.361
ˈæ	ˈɛ	0.361
ˈæ	ˈɑ	0.2
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.686
ˈæːɪ̯	ˈeː	0.174
ˈæːɪ̯	ˈʏ	0.116
ˈæːʊ̯	ˈʉː	1.0
ˈɑ	ˈɑ	0.523
ˈɑ	ˈɪ	0.228
ˈɑ	-	0.068
ˈɑ	ˈœ	0.068
ˈɑ	ˈiː	0.056
ˈɑ	ˈʏ	0.056
ˈɑɪ̯	ˈyː	0.334
ˈɑɪ̯	ˈiː	0.284
ˈɑɪ̯	ˈʉː	0.112
ˈɑɪ̯	ˈæː	0.108
ˈɑɪ̯	ˈɔ	0.052
ˈɑɪ̯	ˈɪ	0.036
ˈɔ	ˈʊ	0.66
ˈɔ	ˈʉ	0.153
ˈə	ˈɛ	0.326
ˈə	ˈɪ	0.233
ˈə	ˈœ	0.169
ˈə	ˈæɪ̯	0.075
ˈə	ˈiː	0.062
ˈə	ˈʉ	0.056
ˈə	ˈʏ	0.045
ˈəɪ̯	ˈøː	0.404
ˈəɪ̯	ˈyː	0.339
ˈəɪ̯	ˈoː	0.066
ˈəɪ̯	ˈʉː	0.066
ˈəɪ̯	ˈiː	0.064
ˈəɪ̯	ˈeː	0.052
ˈəʊ̯	ˈoː	0.322
ˈəʊ̯	ˈøː	0.322
ˈəʊ̯	ˈuː	0.178
ˈəʊ̯	ˈʉː	0.064
ˈəʊ̯_t	ˈøː	1.0
ˈɛ	ˈɛ	0.758
ˈɛ	ˈeː	0.178
ˈɛː	j	0.715
ˈɛː	ˈɛː	0.133
ˈʊ	ˈuː	0.66
ˈʊ	-	0.153
ˈʊ_t	ˈuː	1.0
ˈʊɪ̯	ˈɑ	1.0
χ	k	0.392
χ	-	0.205
χ	ɡ	0.189
χ	tː	0.043
