Neapolitan	Western Lombard	probability
ˈɛ_ɾ	ˈe	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈũ	1.0
ˈo_n	ˈũ	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_tː	ˈɑː_t	1.0
ˈa_n	ˈã	1.0
ˈa_#>	ˈa_#>	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	ʧ	1.0
ʤ	ʒ	1.0
ʎː	j	1.0
ʃː	s	1.0
ʃ_p	s_p	1.0
ʃ_k	s_k	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɡ	ɡ	1.0
ə_ɾ	r	1.0
ə_n	e_n	1.0
ŋ_ɡ	k	1.0
ŋ	-	1.0
w_ˈɔ	ˈɔ	1.0
v_ə_#>	f_#>	1.0
v_j	v	1.0
rː	-	1.0
r	r	1.0
p_ɾ	p_r	1.0
o	-	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ə	k_a	1.0
kː_j	ʧ	1.0
kː	-	1.0
k_ɾ	k_r	1.0
k_ə_#>	k_#>	1.0
k	k	1.0
j_ə_#>	#>	1.0
j	-	1.0
f	f	1.0
e	-	1.0
d_ə	t	1.0
d	d	1.0
bː	b	1.0
b_w	b	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʤ	1.0
<#_a	<#	1.0
ə_#>	#>	0.955
s	s	0.923
ˈɛ	ˈɛ	0.857
p	p	0.808
a	a	0.778
ə	a	0.735
t	t	0.727
n	n	0.714
j_ˈɛ	ˈɛ	0.714
tː	t	0.7
v	v	0.684
sː	s	0.667
k_j	p_j	0.667
ˈa	ˈɑː	0.629
ˈu_n	ˈũ	0.6
ɾ	r	0.6
ɲː	ɲ	0.6
w	-	0.533
ˈe	ˈeː	0.5
ˈa_ɾ	ˈɑː_r	0.5
ˈa_ɾ	ˈa	0.5
nː	n	0.5
nː	-	0.5
<#	<#_ʒ	0.5
<#	<#_v	0.5
u	u	0.417
ˈu_n	ˈỹ	0.4
ˈu	ˈyː	0.4
ˈo	ˈuː	0.4
ɲː	-	0.4
ʃ	s	0.391
ˈɔ	ˈøː	0.385
i	-	0.368
ʃ	ʧ	0.348
w	w	0.333
u	y	0.333
sː	-	0.333
k_j	ʧ	0.333
ˈi	ˈiː	0.318
i	i	0.316
ˈɔ	ˈɔ	0.308
tː	ʧ	0.3
n	-	0.286
j_ˈɛ	ˈeː	0.286
ˈe	ˈɛ	0.278
t	d	0.273
ˈu	ˈu	0.267
u	-	0.25
ˈa	ˈa	0.229
ˈe	-	0.222
v	b	0.211
i	e	0.211
ˈo	ˈɔ	0.2
ˈo	ˈyː	0.2
ˈo	-	0.2
ˈi	ˈɛ	0.182
ˈi	ˈeː	0.182
ˈu	ˈuː	0.167
ɾ	d	0.156
ˈɛ	ˈẽ	0.143
ˈa	ˈã	0.143
ˈi	-	0.136
ɾ	e	0.133
w	ˈœ	0.133
ʃ	f_j	0.13
ʃ	-	0.13
ˈɔ	ˈu	0.115
ˈɔ	-	0.115
p	v	0.115
ɾ	-	0.111
a	e	0.111
a	ã	0.111
v	-	0.105
i	ˈiː	0.105
ˈu	ˈy	0.1
ˈi	ˈi	0.091
ˈi	ˈe	0.091
ˈɔ	ˈoː	0.077
s	-	0.077
p	-	0.077
ə	e	0.074
ˈu	ˈi	0.067
