Meixian	Meixian	probability
⁵	⁵¹	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʦ	1.0
ʊ_k̚	u_³⁵	1.0
ɕ	ɕ	1.0
ɔ_k̚	w_ɔ	1.0
ç	ʨʰ	1.0
¹¹	³⁵	1.0
³¹	²¹⁴	1.0
²	³⁵	1.0
z̩	ʐ̩	1.0
z	z̩	1.0
w	w	1.0
u_t̚	u	1.0
t̚_⁵	⁵¹	1.0
t̚_¹	⁵⁵	1.0
t̚	-	1.0
p̚	-	1.0
pʰ	pʰ	1.0
n̩	n_y	1.0
n_a	n_a	1.0
n	n	1.0
l	l	1.0
k̚_¹	w_⁵¹	1.0
k̚	-	1.0
kʰ	kʰ	1.0
j_a	i	1.0
i_n	i_ŋ	1.0
e	o	1.0
c	ʨ	1.0
<#_ʋ	<#_w	1.0
⁵³	⁵¹	0.923
ŋ	ŋ	0.923
⁴⁴	⁵⁵	0.865
s	ʂ	0.818
o	a	0.75
h	x	0.75
ʦʰ	ʈ͡ʂʰ	0.7
tʰ	tʰ	0.667
ʊ	ʊ	0.636
f	f	0.636
p	p	0.625
j	j	0.606
cʰ	ʨʰ	0.6
ɔ	ɑ	0.579
ɛ	-	0.571
k	k	0.571
ʦ	ʦ	0.5
ʦ	ʈ͡ʂ	0.5
t	ʈ͡ʂ	0.5
t	t	0.5
a	a	0.447
i	i	0.44
ɲ	ʐ	0.429
ɛ	ɛ	0.429
u	u	0.429
m	n	0.429
m	m	0.429
k	ʨ	0.429
cʰ	-	0.4
p	f	0.375
ʊ	-	0.364
f	x_w	0.364
u	ə	0.357
tʰ	t	0.333
ʦʰ	ʦʰ	0.3
¹	⁵¹	0.3
¹	-	0.3
ɲ	n	0.286
ɲ	-	0.286
ɔ	a	0.263
o	w_ɔ	0.25
h	kʰ	0.25
a	ɑ	0.237
u	o_w	0.214
j	-	0.212
¹	⁵⁵	0.2
¹	j_²¹⁴	0.2
s	s	0.182
j	ɥ	0.182
i	y	0.16
ɔ	w_a	0.158
a	ɤ	0.158
a	ɛ	0.158
m	w	0.143
⁴⁴	²¹⁴	0.135
i	ɤ_ɻ	0.12
i	e_j	0.12
i	j_o	0.08
i	-	0.08
⁵³	⁵⁵	0.077
ŋ	-	0.077
