West Flemish	Eastphalian	probability
ˈɛː	ˈɛɪ̯	1.0
ˈɛ	ˈɪ	1.0
ˈu_ʋ	ˈuː	1.0
ˈi	ˈiː	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ɐ	1.0
ə_ɾ	ɐ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
v_ə	v_ə	1.0
v_n	m	1.0
s_#>	ʃ_#>	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
d̥	d̥	1.0
d_n	nː	1.0
b	b	1.0
<#_ˈu	<#_h_ˈʊ	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
t	t	0.955
v	f	0.926
d	d	0.893
n	n	0.885
ˈɪ	ˈɪ	0.867
s	s	0.857
ʋ	v	0.85
ˈyː	ˈuː	0.8
ˈɑ	ˈa	0.792
w	l	0.778
ˈɒː	ˈɒː	0.765
z	z	0.762
h	x	0.714
v̥_#>	f_#>	0.667
ˈiə̯	ˈɛɪ̯	0.65
ˈɔ	ˈɔ	0.636
ˈøː	-	0.6
ˈu	ˈɔ_l	0.571
ˈoː	ˈeo̯	0.55
ɾ	ɐ	0.538
ˈuə̯	ˈaʊ̯	0.533
ɦ	ɣ	0.524
ˈeː	ˈeː	0.5
z̥	z̥	0.5
z̥	z_ə	0.5
ə	-	0.487
ˈæ	-	0.467
ə	ə	0.462
ˈu	ˈʊ	0.429
ɾ	r	0.404
ˈøː	ˈoː	0.4
ˈœ	ˈʊ	0.375
ˈœ	-	0.375
ˈɔ	-	0.364
ˈæ	ˈɛ	0.333
ˈuə̯	ˈɔʏ̯	0.333
ɦ̥	ç	0.333
ɦ̥	x	0.333
ɦ̥	-	0.333
v̥_#>	#>	0.333
ˈeː	ˈɛː	0.3
ɦ	j	0.286
h	ç	0.286
ˈœ	ˈʏ	0.25
ˈoː	ˈoː	0.25
z	s	0.238
ˈɒː	-	0.235
w	ˈœ_l	0.222
ˈæ	ˈa	0.2
ˈyː	-	0.2
ˈiə̯	-	0.2
ˈeː	ˈɛɪ̯	0.2
ˈiə̯	ˈyː	0.15
ʋ	w	0.15
s	ʃ	0.143
ˈɪ	ˈʏ	0.133
ˈuə̯	-	0.133
ˈɑ	ˈaː	0.125
n	-	0.115
d	-	0.107
ˈoː	ˈøː	0.1
ˈoː	-	0.1
ɦ	ɡ	0.095
ɦ	-	0.095
ˈɑ	-	0.083
v	v	0.074
ɾ	-	0.058
ə	ɪ	0.051
