Luxembourgish	Proto-Germanic	probability
b	b	1.0
d	θ	0.469
d	d	0.368
d	ð	0.077
d	θ_r	0.077
e	i	1.0
f	ɸ	0.701
f	p	0.167
f	p_ɑ̃	0.052
f	β	0.045
f	-	0.031
h	x	0.942
h	-	0.058
j	j	1.0
k	ɡ_ɑ	0.344
k	k	0.336
k	ɣ_j	0.255
k	x	0.05
kʰ	k	1.0
l	l	0.735
l	lː	0.061
l	x_l	0.054
l	l_ɑ	0.053
l	l_d	0.043
m	m	0.55
m	m_ɑ	0.254
m	m_ɔːː	0.089
m	m_i	0.052
m	mː	0.045
n	n	0.875
n	nː	0.054
n	m	0.039
n	l	0.029
p	p	0.396
p	pː	0.17
s	t	0.539
s	s	0.361
s	s_ɑ̃	0.09
t	t	0.378
t	ð_ɑ̃	0.088
t	θ_ɑ̃	0.088
t	d	0.083
t	d_ɑ	0.065
tʰ	t	0.493
v	w	0.578
v	β	0.224
v	xʷ	0.078
v	ɸ	0.059
v	x	0.05
w	w	1.0
z	s	0.828
z	s_w	0.162
ŋ	ŋ	0.639
ŋ	n	0.142
ŋ	x	0.142
ŋ	-	0.064
ɐ	r	0.264
ɐ	ɔː	0.115
ɐ	r_ɑ̃	0.098
ɐ	ɛː	0.085
ɐ	i_z	0.073
ɕ	x	0.381
ɕ	z	0.149
ɕ	ɣ_ɑ	0.146
ɕ	k	0.108
ɕ	k_s	0.094
ə	ɑ	0.492
ə	-	0.196
ə	j_ɑ	0.116
ə	i	0.062
ə	u	0.054
ə_n	ɑ̃	1.0
ɡ	ɣ	0.916
ɡ	-	0.08
ʀ	r	0.844
ʀ	r_n	0.077
ʀ	j	0.041
ʀ	-	0.038
ʃ	s	0.568
ʃ	s_k	0.394
ʃ	x	0.038
ʑ	j	0.5
ʑ	ɣ	0.5
ʦ	t	1.0
ˈaː	ˈɑ	0.59
ˈaː	ˈɑu̯	0.196
ˈaː	ˈɑ_r	0.127
ˈaː	ˈu	0.077
ˈe	ˈe	0.388
ˈe	ˈi	0.311
ˈe	ˈu	0.135
ˈe	ˈɔː	0.102
ˈeː	ˈɑi̯	0.84
ˈeː	ˈe	0.092
ˈeː	ˈɑu̯	0.057
ˈi	ˈu	0.466
ˈi	ˈeu̯	0.169
ˈi	ˈɔ	0.169
ˈi	ˈe	0.151
ˈiə̯	ˈe	0.768
ˈiə̯	ˈɑ	0.09
ˈiə̯	ˈi	0.086
ˈiː	ˈe	0.334
ˈiː	r	0.187
ˈiː	ˈeu̯	0.187
ˈiː	ˈĩː	0.124
ˈiː	ˈu	0.124
ˈo	ˈu	0.914
ˈo	ˈeu̯	0.085
ˈoː	ˈɛː	0.677
ˈoː	ˈɑ_ɣ	0.12
ˈoː	ˈɑ	0.078
ˈoː	ˈe	0.074
ˈu	ˈɔː	0.326
ˈu	ˈu	0.242
ˈu	ˈɑ	0.205
ˈu	ˈɑi̯	0.118
ˈu	ˈuː	0.083
ˈuə̯	ˈɑ	0.668
ˈuə̯	ˈu	0.326
ˈuː	ˈu	1.0
ˈæ	ˈɑ	1.0
ˈæɪ̯	ˈiː	0.493
ˈæːɪ̯	ˈiː	0.662
ˈæːɪ̯	ˈi	0.221
ˈæːɪ̯	ˈiu̯	0.08
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈɑ	0.424
ˈɑ	ˈi	0.386
ˈɑ	ˈɛː	0.06
ˈɑ	ɑi̯	0.053
ˈɑ	ˈe	0.045
ˈɑɪ̯	ˈu	0.144
ˈɑɪ̯	ˈuː	0.144
ˈɑɪ̯	ˈiu̯	0.117
ˈɑɪ̯	ˈiː	0.108
ˈɑɪ̯	ˈeː	0.105
ˈɔ	ˈu	0.74
ˈɔ	ˈuː	0.136
ˈə	ˈi	0.564
ˈə	ˈe	0.219
ˈə	ˈu	0.162
ˈə	ˈɑ	0.052
ˈəɪ̯	ˈɑu̯	0.246
ˈəɪ̯	ˈeu̯	0.207
ˈəɪ̯	ˈeu̯_ɣ	0.13
ˈəɪ̯	w	0.114
ˈəɪ̯	ˈɔː	0.094
ˈəʊ̯	ˈɑu̯	0.62
ˈəʊ̯	ˈɔː	0.116
ˈəʊ̯	ˈuː	0.108
ˈəʊ̯	ˈɛː	0.108
ˈɛ	ˈɑ	0.608
ˈɛ	ˈɑi̯	0.129
ˈɛ	ˈe	0.079
ˈɛː	ˈe	1.0
ˈʊ	ˈɔː	0.675
ˈʊ	ˈu	0.304
ˈʊɪ̯	ˈu	0.493
χ	k	0.416
χ	x	0.416
χ	ɣ	0.101
