Middle Chinese	Middle Chinese	probability
˧˥_#>	#>	1.0
˧˥	l_ʔ	1.0
˦_#>	#>	1.0
˥˩_#>	#>	1.0
ʨ	-	1.0
ʦ	ʔ_s	1.0
ʥ	d	1.0
ʤ	z_r	1.0
ʣ	-	1.0
ʔˠ	q	1.0
ʔ	q	1.0
ʑ	l̥ʰ	1.0
ʌ_˧˥	ʔ	1.0
ʉ_ɐ	o	1.0
ʉ	-	1.0
ʈˠ	r_t	1.0
ʈ	t	1.0
ʃˠ	s_r	1.0
ʃ	s_r	1.0
ɳ	-	1.0
ɪ_˧˥	i_ʔ	1.0
ɨ_ʌ	a	1.0
ɨ_ɐ	a	1.0
ɨ_o	o	1.0
ɦˠ	-	1.0
ɦ_ʉ	ɢʷ	1.0
ɦ_w	ɡʷ	1.0
ɡˠ_i	ɡ_r	1.0
ɡ	ɡ	1.0
ɛ	eː	1.0
ə_u	oː	1.0
ə	ɯː	1.0
ɖ	-	1.0
ɕˠ	qʰʷ	1.0
ɕ	h	1.0
ɑ_˦	l	1.0
ɐ	a	1.0
ȵ_i	ŋ_i	1.0
ȵ	n	1.0
ŋˠ	-	1.0
ŋ_˧˥	ŋ_ʔ	1.0
ŋ_˥˩	ŋ_s	1.0
æ	r_aː	1.0
w_e	eː	1.0
w	-	1.0
u_˦_#>	u_#>	1.0
u_ɛ	o	1.0
u_ɑ	oː	1.0
t̚_#>	d_#>	1.0
t̚	ɡ	1.0
t	-	1.0
sˠ	h_l	1.0
p̚	b	1.0
pˠ	p_r	1.0
pʰˠ	pʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
o_˧˥	ʔ	1.0
n_˧˥	n_ʔ	1.0
n_˥˩	n_s	1.0
m_˧˥	m_ʔ	1.0
m	m	1.0
l	r	1.0
kˠ	-	1.0
kʰˠ	-	1.0
kʰ	kʰ	1.0
i_˧˥	ʔ	1.0
i_˦_#>	l_#>	1.0
i_˥˩	d_s	1.0
hˠ_w	hʷ	1.0
bˠ	b	1.0
b	b	1.0
a_˦_#>	#>	1.0
a	r_aː	1.0
<#_s	<#_s	1.0
<#	<#_ɡ	1.0
k̚	ɡ	0.944
ŋ	ŋ	0.926
n	n	0.9
ʦʰ	sʰ	0.8
ɑ	aː	0.789
ʨʰ	kʰ_l	0.667
tʰ	l̥ʰ	0.667
k	k	0.667
h	h	0.667
<#_ɦ	<#_ɡ	0.667
u_˧˥	ʔ	0.6
d	d	0.6
ʌ	ɯː	0.556
ɪ	i	0.538
ɨ_u	u	0.538
ɨ_u	ɯ	0.462
ʌ	uː	0.444
ɨ	ɯ	0.4
u_˧˥	u_ʔ	0.4
d	lʼ	0.4
e	e	0.389
ʨʰ	tʰ	0.333
tʰ	r̥ʰ	0.333
k	kʷ	0.333
h	-	0.333
e	eː	0.333
<#_ɦ	<#	0.333
i	i	0.321
u	-	0.286
u	u	0.238
u	oː	0.238
u	aː	0.238
ɪ	ɯ	0.231
ɪ	-	0.231
i	l	0.214
ɑ	uː	0.211
ʦʰ	ʦʰ	0.2
ɨ	l	0.2
ɨ	i	0.2
ɨ	a	0.2
i	r	0.179
e	iː	0.167
i	e	0.143
i	-	0.143
e	-	0.111
n	ŋ	0.1
ŋ	ŋʷ	0.074
k̚	w	0.056
