German	Proto-Germanic	probability
a	ɔː	1.0
b	b	0.699
b	β	0.274
d	θ	0.865
d	d	0.135
eː	e	1.0
f	ɸ	0.714
f	p	0.162
f	p_ɑ̃	0.061
h	x	0.95
j	j	1.0
k	ɣ	0.333
k	ɣ_ɑ	0.225
k	k	0.186
k	x	0.091
k	ɣ_j	0.066
k	kʷ	0.059
kʰ	k	0.953
l	l	0.719
l	l_ɑ	0.098
l	l_i	0.053
m	m	0.656
m	m_ɑ	0.187
m	-	0.051
n	n	0.869
n	nː	0.062
p	β_ɑ	0.547
p	β_ɑ̃	0.38
p͡f	p	0.91
s	t	0.561
s	s	0.339
s	s_ɑ̃	0.088
t	t	0.243
t	ð_ɑ	0.102
t	ð_ɑ̃	0.083
t	ð	0.082
t	θ	0.076
t	d_ɑ	0.074
t	ð_i	0.065
t	θ_ɑ̃	0.057
t	θ_ɑ	0.056
t	d	0.052
tʰ	d	0.842
tʰ	θ	0.095
tʰ	t	0.062
v	w	0.87
v	xʷ	0.13
x	x	0.677
x	k_i	0.265
x	k	0.058
z	s	1.0
ç	z	0.31
ç	x	0.284
ç	k	0.282
ç	ɡ	0.095
ŋ	ŋ_ɡ	0.57
ŋ	ŋ	0.376
ŋ	n	0.054
ɐ	r	0.491
ɐ	ɛː	0.069
ɐ	ɔː	0.063
ɐ	ɔːː	0.061
ɐ	r_i	0.055
ə	ɑ	0.282
ə	ɔ̃ː	0.136
ə	j_ɑ	0.108
ə	ɔːː	0.1
ə	u	0.073
ə	ɔː	0.063
ə	j_ɔː	0.054
ə	i_z	0.052
ɡ	ɣ	0.92
ɡ	k	0.057
ɪ	ɑ	0.638
ɪ	i	0.362
ʁ	r	0.891
ʃ	s_k	0.584
ʃ	s	0.385
ʦ	t	0.957
ˈa	ˈɑ	0.936
ˈaɪ̯	ˈɑi̯	0.472
ˈaɪ̯	ˈiː	0.382
ˈaɪ̯	ˈi	0.094
ˈaʊ̯	ˈuː	0.44
ˈaʊ̯	ˈɑu̯	0.371
ˈaʊ̯	ˈu	0.093
ˈaʊ̯	ɔ̃ː	0.057
ˈaː	ˈɑ	0.793
ˈaː	ˈɛː	0.165
ˈeː	ˈe	0.488
ˈeː	ˈɑi̯_w	0.299
ˈeː	ˈɑ	0.09
ˈeː	ˈi	0.07
ˈiː	ˈeu̯	0.648
ˈiː	ˈe	0.134
ˈiː	ˈeː	0.075
ˈiː	ˈiː	0.075
ˈiː	ˈi	0.053
ˈoː	ˈu	0.352
ˈoː	ˈɑu̯	0.312
ˈoː	ˈɛː	0.233
ˈoː	ˈɑi̯	0.103
ˈuː	ˈɔː	0.827
ˈuː	ˈuː	0.173
ˈyː	ˈɔː	0.486
ˈyː	ˈu	0.402
ˈyː	ˈɔ	0.112
ˈøː	ˈɑu̯	0.502
ˈøː	ˈu	0.498
ˈœ	ˈu	0.824
ˈœ	ˈɑ	0.176
ˈɔ	ˈu	0.812
ˈɔ	ˈe	0.096
ˈɔ	ˈɑu̯	0.053
ˈɔʏ̯	ˈiu̯	0.208
ˈɔʏ̯	j	0.192
ˈɔʏ̯	ˈe	0.192
ˈɔʏ̯	ˈɑu̯	0.192
ˈɔʏ̯	ˈɔː	0.095
ˈɔʏ̯	wː	0.062
ˈɔʏ̯	ˈuː	0.058
ˈɛ	ˈe	0.576
ˈɛ	ˈɑ	0.371
ˈɛː	ˈɑ_x	0.832
ˈɛː	ˈe	0.168
ˈɪ	ˈi	0.855
ˈɪ	ˈe	0.118
ˈʊ	ˈu	0.894
ˈʊ	ˈuː	0.056
ˈʏ	ˈu	0.881
ˈʏ	ˈi	0.11
