Scots	American English	probability
b	b	0.963
d	d	0.985
e	oʊ̯	1.0
f	f	1.0
h	h	1.0
i	i	1.0
iː	i	1.0
j	j	0.779
j	-	0.154
j	ˈu	0.067
k	k	0.913
k	ʧ	0.059
kʰ	kʰ	1.0
l	l	0.593
l	ɫ	0.407
m	m	0.954
n	n	1.0
p	p	1.0
pʰ	pʰ	1.0
r	ɹ	0.591
r	ɚ	0.34
r	-	0.069
s	s	0.909
s	ʃ	0.054
t	t	0.928
t	ɾ	0.054
tʰ	tʰ	0.974
v	v	1.0
w	w	0.988
x	-	0.714
x	f	0.286
z	z	1.0
ç	f	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ə	ɚ	0.682
ə	ə	0.137
ə	-	0.103
ə	d_ɚ	0.079
əi̯	i	0.836
əi̯	ə	0.164
ɡ	ɡ	0.854
ɡ	ʤ	0.146
ɪ	ɪ	0.645
ɪ	-	0.186
ɪ	ɚ	0.169
ɫ	ɫ	1.0
ɹ	ɹ	1.0
ʃ	ʃ	1.0
ʍ	w	1.0
ʧ	ʧ	1.0
ˈa	ˈɛ	1.0
ˈaːɪ̯	ˈaɪ̯	1.0
ˈe	ˈoʊ̯	0.27
ˈe	ˈeɪ̯	0.24
ˈe	ˈɛ	0.143
ˈe	ˈi	0.119
ˈe	ˈæ	0.06
ˈei̯	ˈi	0.567
ˈei̯	ˈɛ	0.38
ˈei̯	ˈeɪ̯	0.053
ˈeː	ˈeɪ̯	0.508
ˈeː	ˈoʊ̯	0.368
ˈeː	ˈæ	0.124
ˈi	ˈi	0.731
ˈi	ˈɪ	0.269
ˈiː	ˈi	0.765
ˈiː	ˈaɪ̯	0.086
ˈiː	ˈɛ	0.081
ˈoe̯	-	1.0
ˈø	ˈu	0.761
ˈø	ˈʊ	0.169
ˈø	ˈʌ	0.07
ˈɑ	ˈæ	0.363
ˈɑ	ˈɑ	0.258
ˈɑ	ˈɔ	0.153
ˈɑ	ˈeɪ̯	0.125
ˈɑː	ˈæ	0.56
ˈɑː	ˈoʊ̯	0.211
ˈɑː	ˈeɪ̯	0.064
ˈɑː	ˈɑ	0.064
ˈɑː	ˈaɪ̯	0.054
ˈɔ	ˈɔ	0.548
ˈɔ	ˈʌ	0.23
ˈɔ	ˈɝ	0.092
ˈɔ	ˈɑ	0.07
ˈəi̯	ˈaɪ̯	0.976
ˈɛ	ˈɛ	0.345
ˈɛ	ˈɑ	0.295
ˈɛ	ˈi	0.262
ˈɪ	ˈɪ	0.633
ˈɪ	ˈaɪ̯	0.125
ˈɪ	ˈɝ	0.115
ˈɪ	ˈʌ	0.081
ˈʉ	ˈaʊ̯	0.717
ˈʉ	ˈʌ	0.103
ˈʉ	-	0.067
ˈʉ	ˈi	0.067
ˈʉː	ˈʌ	1.0
ˈʌ	ˈʌ	0.947
ˈʌ	ˈæ	0.053
ˈʌʉ̯	ˈoʊ̯	0.705
ˈʌʉ̯	ˈɔ	0.295
θ	θ	1.0
