Pennsylvania German	Upper Franconian	probability
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ʦ	ʦ	1.0
ʋ_ə	m	1.0
ɣ_ə	ŋ	1.0
ɣ	-	1.0
ɡ	ɡ̊	1.0
ɑ_d̥	ɐ_d̥	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
t	d̥	1.0
s_ə	z̥_n	1.0
p	-	1.0
n_ə	n_a	1.0
m	m	1.0
l	l	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
f_ə	v̥_n	1.0
f	f	1.0
d̥	d̥	1.0
d_ˈɪ	d̥_ˈɪ	1.0
b̥	b̥	1.0
b	b̥	1.0
<#	<#_ˈɒ	1.0
#>	ɐ_#>	1.0
n	n	0.952
ʋ	v	0.935
ɾ	r	0.933
k	ɡ̊	0.92
ˈaɪ̯	ˈaɪ̯	0.917
ʃ	ʃ	0.912
s	s	0.911
d	d̥	0.868
ˈɔ	ˈɔ	0.833
ˈaʊ̯	ˈaʊ̯	0.833
x	x	0.818
ˈʊ	ˈʊ	0.8
ɪ	-	0.8
ˈɛ	ˈɛ	0.789
ˈɪ	ˈɪ	0.786
ˈa	ˈɒ	0.742
ç	ç	0.647
ˈɛː	ˈɛ	0.6
ɾ_ə	ɐ	0.6
ˈɔː	ˈoː	0.55
ˈoː	ˈuː	0.533
ə	n	0.478
ˈoː	ˈoː	0.467
ˈeː	ˈaː	0.444
ɡ̊	x	0.429
ɾ_ə	ɐ_n	0.4
ˈɔː	ˈaː	0.35
ˈaː	ˈɔ_ɐ	0.333
ə	a	0.304
ɡ̊	ɡ̊	0.286
ɡ̊	-	0.286
ˈeː	ˈeː	0.259
ç	-	0.235
ˈeː	ˈiː	0.222
ˈaː	ˈʊ	0.222
ˈaː	ɐ	0.222
ˈaː	-	0.222
ˈɪ	ˈiː	0.214
ˈɛ	ˈeː	0.211
ˈʊ	-	0.2
ˈɛː	ˈɛː	0.2
ˈɛː	-	0.2
ɪ	ɪ	0.2
x	-	0.182
ˈɔ	-	0.167
ˈaʊ̯	-	0.167
ˈa	-	0.161
d	ɾ	0.132
ə	ŋ	0.13
ç	x	0.118
ˈɔː	-	0.1
ˈa	ˈɔ	0.097
ʃ	-	0.088
ə	ə	0.087
ˈaɪ̯	-	0.083
k	ɡ̊_n	0.08
ˈeː	-	0.074
ɾ	ɐ	0.067
ʋ	β	0.065
