Friulian	Bellunese	probability
a	a	0.729
a	e	0.079
a	ˈa	0.079
a	o	0.05
aː	-	1.0
b	b	1.0
c	k	0.844
c	t	0.062
c	θ	0.057
d	d	0.946
e	a	0.863
e	e	0.134
f	f	0.801
f	v	0.166
i	e	0.552
i	o	0.192
i	ˈe	0.096
i	i	0.067
i	-	0.05
j	-	0.498
j	j	0.309
j	i	0.178
k	k	0.849
k	ɡ	0.151
l	l	0.692
l	j	0.123
l	ʧ	0.085
l	-	0.068
m	m	0.872
m	ŋ	0.119
n	n	0.543
n	ŋ	0.434
o	o	0.575
o	ˈo	0.254
o	-	0.115
o	ˈe	0.051
p	p	0.953
r	r	0.935
r	-	0.065
s	s	0.879
t	t	0.866
t	-	0.092
u	o	0.643
u	u	0.173
u	a	0.096
u	i	0.088
v	v	0.926
v	-	0.053
w	ˈɔ	0.403
w	ˈo	0.274
w	-	0.156
w	w	0.086
w	o	0.081
z	z	1.0
ŋ	ŋ	0.87
ŋ	-	0.13
ɟ	ɲ	0.5
ɟ	ɡ	0.5
ɡ	ɡ	0.787
ɡ	w	0.123
ɲ	ɲ	0.722
ɲ	n	0.278
ʤ	ð	1.0
ʧ	θ	0.7
ʧ	ð	0.113
ʧ	z	0.112
ʧ	j	0.063
ˈa	ˈa	0.843
ˈa	-	0.157
ˈaː	ˈa	0.925
ˈaː	-	0.051
ˈe	ˈe	0.867
ˈe	-	0.071
ˈe	ˈɛ	0.062
ˈeː	ˈe	1.0
ˈi	ˈi	0.574
ˈi	-	0.234
ˈi	ˈe	0.127
ˈi	ˈɛ	0.064
ˈiː	j	0.652
ˈiː	ˈi	0.27
ˈiː	e	0.078
ˈo	ˈo	0.835
ˈo	o	0.08
ˈoː	ˈo	0.617
ˈoː	o	0.36
ˈu	ˈu	0.752
ˈu	ˈe	0.1
ˈu	-	0.07
ˈu	ˈo	0.067
ˈuː	ˈu	0.463
ˈuː	ˈo	0.461
ˈuː	ˈɛ	0.075
ˈɔ	ˈo	0.473
ˈɔ	ˈɔ	0.426
ˈɔ	-	0.101
ˈɛ	ˈe	0.457
ˈɛ	e	0.222
ˈɛ	ˈɛ	0.216
ˈɛ	-	0.083
ˈɛː	ˈɛ	1.0
