East Low German	Dutch	probability
b	b	0.908
b	p	0.058
b	v	0.049
d	d	0.574
d	t	0.345
d	-	0.073
f	v	0.735
f	f	0.264
h	ɦ	1.0
j	χ	0.744
j	j	0.197
k	k	0.63
k	k_ə	0.166
k	-	0.123
k	χ	0.068
kʰ	k	1.0
l	ɫ	0.893
l	ɫ_ə	0.052
m	m	0.724
m	ə_n	0.155
m	m_ə	0.09
m	f	0.039
n	n	0.974
p	p	1.0
r	ɾ	1.0
s	s	0.938
s	z	0.067
t	t	0.871
t	t_ə	0.079
tʰ	t	1.0
v	ʋ	0.962
v	v	0.052
w	ʋ	1.0
x	χ	1.0
z	z	0.912
z	m	0.088
æ	ɾ	0.593
æ	ə	0.402
ç	χ	0.514
ç	χ_t	0.152
ç	ŋ	0.132
ç	w	0.076
ç	-	0.065
ç	k	0.065
ŋ	ŋ	0.745
ŋ	ə_n	0.254
ɡ	χ	0.714
ɡ	χ_ə	0.279
ɣ	χ	0.272
ɪ	ə	0.488
ɪ	ɪ	0.488
ɾ	-	0.5
ɾ	d	0.482
ʃ	s	0.675
ʃ	s_χ	0.182
ʃ	z	0.129
ˈa	ˈɑ	0.958
ˈa	ˈaː	0.049
ˈae̯	ˈi	0.491
ˈae̯	ˈeː	0.371
ˈae̯	ˈɛi̯	0.13
ˈaɪ̯	ˈi	0.521
ˈaʊ̯	ˈu	0.474
ˈaʊ̯	ˈoː	0.432
ˈaʊ̯	-	0.05
ˈaʊ̯	ˈɑ	0.047
ˈaː	ˈɑ_ɾ	0.503
ˈaː	ˈɛ_ɾ	0.223
ˈaː	ˈɑ	0.133
ˈeː	ˈeː	0.699
ˈeː	ˈi	0.165
ˈiː	ˈɛi̯	0.67
ˈiː	ˈi	0.218
ˈiː	ˈɛ	0.106
ˈoː	ˈaː	0.397
ˈoː	ˈoː	0.195
ˈoː	ˈeː	0.127
ˈoː	ˈɔ	0.127
ˈuː	ˈœy̯	0.513
ˈuː	ˈoː	0.304
ˈuː	ˈɔ	0.105
ˈuː	ˈɑu̯	0.069
ˈyː	ˈyː	0.243
ˈyː	ˈœy̯	0.243
ˈyː	ˈoː	0.23
ˈøː	ˈoː	0.683
ˈøː	-	0.235
ˈœ	ˈoː	0.292
ˈœ	ˈɛ	0.255
ˈœ	ˈaː	0.152
ˈœː	ˈoː	0.561
ˈœː	ˈeː	0.133
ˈœː	ˈʏ	0.133
ˈɒː	ˈaː	0.891
ˈɒː	ˈoː	0.102
ˈɔ	ˈɔ	0.813
ˈɔ	ˈoː	0.186
ˈɔ_l	ˈɑu̯	1.0
ˈɔʏ̯	ˈu	0.71
ˈɔʏ̯	ˈoː	0.22
ˈɛ	ˈɛ	0.721
ˈɛ	ˈeː	0.278
ˈɛɪ̯	ˈaː	0.272
ˈɛː	ˈeː	0.639
ˈɛː	ˈøː	0.179
ˈɛː	ˈɑ	0.179
ˈɪ	ˈɪ	0.828
ˈɪ	ˈɛi̯	0.087
ˈɪ	-	0.05
ˈɪ	ˈɛ	0.05
ˈʊ	ˈɔ	0.892
ˈʊ	ˈu	0.07
ˈʊ	ˈœy̯	0.056
ˈʏ	ˈʏ	0.66
ˈʏ	ˈi	0.168
ˈʏ	ˈɛ	0.109
